"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence11","Answer.sentence12","Answer.sentence13","Answer.sentence14","Answer.sentence15","Answer.sentence16","Answer.sentence17","Answer.sentence18","Answer.sentence19","Answer.sentence2","Answer.sentence20","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"3GMLHYZ0LERDZWW03BYH5YKVZB2YUQ","3J2GQK7M7PP834SLAUV5DHSJMJ5POB","Create a dialog on baseball for twenty sentences","Create a dialog on baseball for twenty sentences","dialog, chat, baseball, sports","$0.70","Fri May 19 07:03:22 PDT 2017","9","BatchId:2808773;OriginalHitTemplateId:920937340;","7200","259200","Fri May 26 07:03:22 PDT 2017","","","31LVTDXBL8445PVE64JNVZQ2O0GLRT","A2VNR6984SDFGQ","Approved","Sat May 20 15:14:27 PDT 2017","Sat May 20 15:18:29 PDT 2017","Tue May 23 15:18:29 PDT 2017","Sat May 20 17:33:45 PDT 2017","","","242","100% (6/6)","100% (6/6)","100% (5/5)","0","Do you like the New York Yankees?","I like that the games are exciting for kids.","How so?","I like the Phillies Phanatic and so do the kids.","Yes, they are family friendly.","They also have a great new stadium.","I heard it has a lot of fun things for the family.","Yes, it does have new features that are fun for all.","That's cool.  I hope I can go there sometime.","Yes, they have had some great players through the years.","Yes, they have some new prospects as well.","I used to as a kid, but not anymore.","I love to see the new prospects playing a great game.","What happened?","Well, they lost the World Series and I gave up on them.","Well, they won a lot more after that.","Yes, but I started to like the Phillies instead.","Yes, they are a fun team.","I like to go to see them play.","What do you like about them?","",""
"3GMLHYZ0LERDZWW03BYH5YKVZB2YUQ","3J2GQK7M7PP834SLAUV5DHSJMJ5POB","Create a dialog on baseball for twenty sentences","Create a dialog on baseball for twenty sentences","dialog, chat, baseball, sports","$0.70","Fri May 19 07:03:22 PDT 2017","9","BatchId:2808773;OriginalHitTemplateId:920937340;","7200","259200","Fri May 26 07:03:22 PDT 2017","","","32ZKVD547GH09EO041TXZYRH6RKB3O","A3UJVTH2ZKYBGU","Approved","Fri May 19 16:22:11 PDT 2017","Fri May 19 16:29:44 PDT 2017","Mon May 22 16:29:44 PDT 2017","Sat May 20 17:33:45 PDT 2017","","","453","100% (43/43)","100% (43/43)","100% (43/43)","0","Did you see the game last night Between the Astros and cubs?","I did.","You lie.","I am. Johnson really knew where he was going. That saved the inning.","The cubs had bases loaded.","A grounder spoils of opened the game.","Did you see how it ended?","No,I had to use the restroom.","It ended with a grand slam.","By Jones?","No, Sanchez hit this one.","Yeah,I did but not the end.","Sweet,I missed it.","Did you catch the second inning?","Oh yeah, that was an awesome play.","I've never seen someone jump into the crowd and go up 3 rows to catch a foul ball.","I have.","When ?","When I played baseball in the minors.","Who did it?","",""
"3GMLHYZ0LERDZWW03BYH5YKVZB2YUQ","3J2GQK7M7PP834SLAUV5DHSJMJ5POB","Create a dialog on baseball for twenty sentences","Create a dialog on baseball for twenty sentences","dialog, chat, baseball, sports","$0.70","Fri May 19 07:03:22 PDT 2017","9","BatchId:2808773;OriginalHitTemplateId:920937340;","7200","259200","Fri May 26 07:03:22 PDT 2017","","","3A1PQ49WVIBEQOD7HPPAXGFI3LKH1T","A1EANHB3WAIFA1","Approved","Fri May 19 21:46:57 PDT 2017","Fri May 19 22:11:53 PDT 2017","Mon May 22 22:11:53 PDT 2017","Sat May 20 01:28:50 PDT 2017","","","1496","100% (1/1)","100% (1/1)","100% (1/1)","0","Did you see that Game last night? 13 innings is insane! I can't believe how it ended!","I'd like to get back to a game soon, but its been so difficult with work. I think between Trumbo, Davis, and Machado, it would be so much fun this season. They really are in their zone.","I know, Davis is holding the record so far with all his extra inning home runs. Guy can hit!","Right- and I can't believe what happened to Jones a few weeks ago at Fenway.. someone threw a bag of peanuts at him in the pen and called out racial slurs.","I know, sometimes fans are horrible- they get so drunk they dont think half the time. Plus, theres no real consquencs.. guy shouldve been arrested or fined for that type of behavior.. throwing stuff on the field is dangerous.","Also all that drama against the red sox was ridiculous too.. throwing balls at each other, cussing each other out.. what are they, toddlers?","I know, I hope that their managers got em straightened out so all that bs can stop and the O's can focus on the game. They are doing to well to ruin their season with crap like that.","no players needs intentional throwing, it can be detrimental to anyone. I get they were upset at Macado's slide that one game, saying he was trying to hurt the sox guy on purpose.","Well hopefully all that stuff has stopped and the Red Sox and O's will be civil in the next game against each other.","I hope to get to see the O's play Tampa in June, but depends on work.. I don't hear much about them or the Marlins, and I live in Florida! Like they just dont exist in the news realm.","I don't know much about those teams either.. I don't think they are ranked well. I've heard that they have been holding their own.","Yea, that homer by Davis was awesome.","Well, the season is just starting- you know it always gets exciting! Come over to my house and watch the game this weekend, okay?","What do you think about Trumbo's hit?","I still cant belive Machado got out that early in the inning- he's better than that!","And how it was so close until the 11th inning- Tigers sure knew how to hold em.","Hey, speaking of the Tigers, they have a new owner.. guy named Ilitch. Not sure how thats going to go based on reports.","But the team stayed in the family, so thats a good thing- you know when new owners come on, its always difficult for the players.. and it affects the game.","Have you ever been to Comerica Park? I was there a couple years ago- but I prefer Camden Yards any day","Yea, I got to go for my birthday one year when the birds were in town and I was there for work.. crystal clear view of the field and pitcher. Loved it.","",""
"3GMLHYZ0LERDZWW03BYH5YKVZB2YUQ","3J2GQK7M7PP834SLAUV5DHSJMJ5POB","Create a dialog on baseball for twenty sentences","Create a dialog on baseball for twenty sentences","dialog, chat, baseball, sports","$0.70","Fri May 19 07:03:22 PDT 2017","9","BatchId:2808773;OriginalHitTemplateId:920937340;","7200","259200","Fri May 26 07:03:22 PDT 2017","","","3MB8LZR5BGNIILIJGKAQUN4OT7MKLX","A40NQ0BN8JXTD","Approved","Fri May 19 17:15:15 PDT 2017","Fri May 19 17:26:38 PDT 2017","Mon May 22 17:26:38 PDT 2017","Sat May 20 17:33:45 PDT 2017","","","683","100% (2/2)","100% (2/2)","100% (2/2)","0","Did you see CC Sabathia's last start? He was lights out.","The Yankees did a beautiful job, like always.  It was a very moving ceremony.","I love that Joe Girardi is still coaching the Yanks.  They really take care of their own.","That team always seems like a family to me.  It must be great to play for them.","Boy, I really love Aaron Judge!  Every time he comes up to bat, I hold my breath waiting to see if he hits a homer.","I really like him.  He is so aggressive at bat.  They found another good one.","Matt Holliday is a great player.  He makes up some much spade in the outfield.","He is so fast.  He gets to all those balls that I don't think he will.  He is really impressive.","Gary Sanchez caught a heck of a game last night.  I thought the ball was going to go right past him.","He made that tag at home too.  That guy should have been safe, but Sanchez put the glove in the right place.","Is Ben Heller pitching this weekend?  I want to go to a game and would really like to see him throw.","I had to work late and missed the first half.  The second half was great.","I am not sure, but would happy to look it up for you.  If you need someone to go with you, let me know.  I am free this weekend and would love to see the Yanks.","Did Matt Harvey start last night?  I heard they won but didn't see who got the W.","Yeah, he went 5 innings.  He got lit up.  They went to the bullpen early.","Did you see the shot David Wright took last night?  I bet they are still looking for that ball!","That was a heck of a blast.  I think car windows in the parking lot got shattered.","Brett Gardener stole 2 bases again last night.  That boy can run!","I didn't see the game.  Sounds like I missed a good one.","Did you see the Derek Jeter retirement ceremony the other night?  I was crying.","",""
"3GMLHYZ0LERDZWW03BYH5YKVZB2YUQ","3J2GQK7M7PP834SLAUV5DHSJMJ5POB","Create a dialog on baseball for twenty sentences","Create a dialog on baseball for twenty sentences","dialog, chat, baseball, sports","$0.70","Fri May 19 07:03:22 PDT 2017","9","BatchId:2808773;OriginalHitTemplateId:920937340;","7200","259200","Fri May 26 07:03:22 PDT 2017","","","3MX2NQ3YCAOA0WE5NG983SGT3S65XS","AO33H4GL9KZX9","Approved","Sat May 20 18:50:16 PDT 2017","Sat May 20 19:04:14 PDT 2017","Tue May 23 19:04:14 PDT 2017","Sun May 21 03:02:53 PDT 2017","","","838","100% (36/36)","100% (36/36)","100% (20/20)","0","MLB clubs had a total revenue of over $10 billion last year.","Alex Rodriguez. He made over 399 million over his career. So since 1994, that's 22 years, so that's like 18 mill a year","That's gotta be nice.","To imagine. Play the game you love. get paid 18 mil a year for that","That's nice.","That's an understatement. That's fantastic. That's the dream life for many. It's the American dream. Too bad he's a an immigrant from Dominican Republic, wait. that make it even more of the American Dream","NO he was born in New York, but moved to Dominican Republic when he was young.","Is that right?","yep","But he didn't get 18 mil every year, he started with 2.3 mill at Mariners.","Back in 1994, what's that worth now?","That's a lot of omney","It's about 3,85 mill. Still respectable even to this date.","More money than we will ever see, dream, or do anything with .","Oh I can dream.","But more than what we know what to do with.","Maybe.","See, how much do these players make tops?","Every year? or over their careers?","I don't know. Whichever. What do they make? Who's the highest paid baseball player over his career?","",""
"3GMLHYZ0LERDZWW03BYH5YKVZB2YUQ","3J2GQK7M7PP834SLAUV5DHSJMJ5POB","Create a dialog on baseball for twenty sentences","Create a dialog on baseball for twenty sentences","dialog, chat, baseball, sports","$0.70","Fri May 19 07:03:22 PDT 2017","9","BatchId:2808773;OriginalHitTemplateId:920937340;","7200","259200","Fri May 26 07:03:22 PDT 2017","","","3PWWM24LHTSSMYUAXPVIPMWOS6M82W","A8RDXT4ZILHQT","Approved","Fri May 19 07:25:47 PDT 2017","Fri May 19 07:27:08 PDT 2017","Mon May 22 07:27:08 PDT 2017","Sat May 20 17:33:45 PDT 2017","","","81","100% (22/22)","100% (22/22)","100% (13/13)","0","I don't know about the NHL.","Maybe changing the rules with shooting.","For what?","To make the game more dynamic.","Like, less long range and mid range play?","Yeah.","That's gross.","Like you don't like the fights.","I like the tactics.","You like the blood.","I mean.","The league's weird recently.","Both of us do.","It's the rules.","They were considering changes, yeah?","They were debating it.","Hot takes about changes.","The hottest takes.","Would it be so wrong though?","For what?","",""
"3GMLHYZ0LERDZWW03BYH5YKVZB2YUQ","3J2GQK7M7PP834SLAUV5DHSJMJ5POB","Create a dialog on baseball for twenty sentences","Create a dialog on baseball for twenty sentences","dialog, chat, baseball, sports","$0.70","Fri May 19 07:03:22 PDT 2017","9","BatchId:2808773;OriginalHitTemplateId:920937340;","7200","259200","Fri May 26 07:03:22 PDT 2017","","","3X0H8UUIT2IWHY7QP7QUUKCE89CWSU","ATADQXPHL10Y8","Approved","Sat May 20 02:40:18 PDT 2017","Sat May 20 02:53:26 PDT 2017","Tue May 23 02:53:26 PDT 2017","Sat May 20 17:33:45 PDT 2017","","","788","100% (122/122)","100% (122/122)","100% (62/62)","0","How about Chris Sale?","Think he gets the next mega contract?","I dont know I feel like hes going to have to negotiate his deal every year.","Yeah he might be one of those guys that only runs the 3 year deal every time.","He really talked his way into it.","I am sure the White Sox are glad hes not around anymore.","Not only them but the AL Central.","Well they only faced him every 5th day and the White Sox are good.","I am shocked Pedoria doesnt keep him in line.","Hes not a huge team leader.","I think he is","The guy is on fire right now.","Not in the sense he would ruffle the pitchers feathers.","He is still a headache to front offices.","Yeah but his talent.","He definitely has it but he pains people.","I think they look the other way.","I dont know eventually they wont do it.","8th straight 10 strikeout game.","Thats hard to pass up.","",""
"3GMLHYZ0LERDZWW03BYH5YKVZB2YUQ","3J2GQK7M7PP834SLAUV5DHSJMJ5POB","Create a dialog on baseball for twenty sentences","Create a dialog on baseball for twenty sentences","dialog, chat, baseball, sports","$0.70","Fri May 19 07:03:22 PDT 2017","9","BatchId:2808773;OriginalHitTemplateId:920937340;","7200","259200","Fri May 26 07:03:22 PDT 2017","","","3X3OR7WPZ0UYNKGI7VDN4IVXY6CL8X","A1IPD4WBT3A5GG","Approved","Fri May 19 07:07:43 PDT 2017","Fri May 19 07:13:04 PDT 2017","Mon May 22 07:13:04 PDT 2017","Sat May 20 17:33:45 PDT 2017","","","321","100% (2/2)","100% (2/2)","100% (1/1)","0","Where did the Tigers play baseball last night?","Yes, it was close though.","How close was that baseball game?","The final was 6 to 5.","Wow, you got to love baseball!","How so?","Baseball games are always close!","Yes, I love it when they go into extra innings.","Yes, it makes you feel like you got your money's worth.","I should hope so!","What do you mean?","They were at home.","Baseball games cost and arm and a leg to attend!","Who did they play?","They played Baltimore.","What's their record so far?","The Tigers?","No, the Orioles.","They were 23 and 15. Now, it's 23 and 16.","Oh, you mean they lost last night?","",""
"3GMLHYZ0LERDZWW03BYH5YKVZB2YUQ","3J2GQK7M7PP834SLAUV5DHSJMJ5POB","Create a dialog on baseball for twenty sentences","Create a dialog on baseball for twenty sentences","dialog, chat, baseball, sports","$0.70","Fri May 19 07:03:22 PDT 2017","9","BatchId:2808773;OriginalHitTemplateId:920937340;","7200","259200","Fri May 26 07:03:22 PDT 2017","","","3XM0HYN6NLT5N657CQSUD903EL6EPM","A17I88FWG7XU6A","Approved","Sat May 20 07:19:54 PDT 2017","Sat May 20 07:26:42 PDT 2017","Tue May 23 07:26:42 PDT 2017","Sat May 20 17:33:45 PDT 2017","","","408","100% (27/27)","100% (27/27)","100% (27/27)","0","That was an impressive win by the Brewers against the Cubs.","Yeah the game was for almost 2 hours at the top of the 6th inning.","That is a long wait to try and complete a game.","It really is, but the Brewers are looking good. They have won 10 out of their last 12 games.","Yeah they got a great game from Orlando Arcia.","I believe he had 3 hits and a RBI","In contrast the Cubs pitchers were wild.","They walked 10 batters yesterday.","That's not going to win you a lot of games.","Even with that they were in a good position to win until reliever Mike Montgomery blew it.","Yeah he came in and immediately loaded the bases","Yeah the Brewers did a great job of taking over that game","The Cubs have Arrieta going tomorrow, so maybe they can right the ship.","That was a tough game to play in with all of the rain","I think Major League Baseball should have probably stopped the game a little sooner","Yeah the conditions were getting a little crazy out there","But to the Brewers' credit, they were resilient and found a way to get the win.","That's what good ball clubs do","I couldn't agree more. I mean it was 46 degrees out there and 37 degrees with the wind chill factored in.","Sounds more like football weather instead of baseball weather","",""
"3VCK0Q0PO5837BG6Y2BMZBYHF2V0N0","3J2GQK7M7PP834SLAUV5DHSJMJ5POB","Create a dialog on baseball for twenty sentences","Create a dialog on baseball for twenty sentences","dialog, chat, baseball, sports","$0.70","Fri May 19 07:03:22 PDT 2017","9","BatchId:2808773;OriginalHitTemplateId:920937340;","7200","259200","Fri May 26 07:03:22 PDT 2017","","","32EYX73OY137OFI8FIBOMMML1R2URP","A3OWGVIP4VYSPV","Approved","Sat May 20 12:01:25 PDT 2017","Sat May 20 12:06:51 PDT 2017","Tue May 23 12:06:51 PDT 2017","Sat May 20 17:37:51 PDT 2017","","","326","100% (44/44)","100% (44/44)","100% (22/22)","0","The bases are loaded.","This is the best game I've ever seen.","Baseball normally bores me but this was awesome in the end.","I like it OK but you are right about this being one of the best games.","At first I thought the Asteroids would win but the Vipers took it in the end. Can you believe how sudden the turn was?","It was really crazy.","Marcus is coming over here.","Look at that grin.","Oh, he is so happy.","He also looks kind of tired.","Baseball is good exercise like other sports.","I bet the Vipers will win.","Maybe I should play a sport then.","It would be so awesome.","Marcus wants to win so badly and ever since he joined this team they haven't done so well.","I know. It's sad.","Oh, my gosh, a home run!","Look at Marcus run!","This game is so amazing. They are going to win. There's only a minute left of the game.","Marcus is going to be thrilled. He just made it home.","",""
