"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence11","Answer.sentence12","Answer.sentence13","Answer.sentence14","Answer.sentence15","Answer.sentence16","Answer.sentence17","Answer.sentence18","Answer.sentence19","Answer.sentence2","Answer.sentence20","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"3B0MCRZMBRO6YDW3V234I14KNKZPP9","32KI9HN0SI20ZHTGLEWOBR2A1PMU1O","Create a dialog on basketball for twenty sentences","Create a dialog on basketball for twenty sentences","dialog, dialogue, chat, basketball, sports","$0.50","Sat May 13 04:30:55 PDT 2017","9","BatchId:2801526;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:30:55 PDT 2017","","","38YMOXR4MVTRU09TIUNRTFGMQ3I6WN","AO33H4GL9KZX9","Approved","Sat May 13 21:49:07 PDT 2017","Sat May 13 21:58:00 PDT 2017","Tue May 16 21:58:00 PDT 2017","Sun May 14 05:06:09 PDT 2017","","","533","100% (16/16)","100% (16/16)","100% (16/16)","0","Ok then how much money do the D league players make?","Not really considering many read at a 5th grader's level.","Get out... no way, they went to college?","No, for real. They focus on playing the sports from middle school and on. And their academic development gets stalled and schools don't really do anythign about it","That's just plain wrong.","So you see why they're willing to get paid 13000 for a dream of being able to play in the big league.","Yeah...","See for me that's what's sad to me. Not that they're rejected and then still holding on to their dreams. But rather, they think they don't have much other options.","Oh my god stop. You're gonna make me cry.","Well if they make it, it's all good and well, but many of them don't. And what do you think they're capable of doing? Their communications degree won't get them a job in a corporate world.","I wonder what happens to those who don't get picked in the D leagues. What do they do after a couple of years?","Well consiering NBA players are some of the best payed athletes in the world, in comparison it won;t seem much","Some get jobs, doing things unrelated to Basketball, others get basketball coaching jobs, and high schools, community colleges, universities. etc.","How much? On the average?","Well, they range. From something like 25000 to 13000","That's not much at all.","No. It's a barely a life sustaining wage considering the amount of food they have to eat to stay healthy.","Why do they do it? It's amazing.","Again, for the chance. If they perform well, they might make it to the big league. It's their dream.","That's a big gamble.","",""
"3B0MCRZMBRO6YDW3V234I14KNKZPP9","32KI9HN0SI20ZHTGLEWOBR2A1PMU1O","Create a dialog on basketball for twenty sentences","Create a dialog on basketball for twenty sentences","dialog, dialogue, chat, basketball, sports","$0.50","Sat May 13 04:30:55 PDT 2017","9","BatchId:2801526;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:30:55 PDT 2017","","","3FTF2T8WLSCECJBRG1Q3DP7OG4PW9N","A8RDXT4ZILHQT","Approved","Sat May 13 21:27:00 PDT 2017","Sat May 13 23:05:16 PDT 2017","Tue May 16 23:05:16 PDT 2017","Sun May 14 05:06:09 PDT 2017","","","5896","100% (9/9)","100% (9/9)","100% (9/9)","0","They need to change the three point line.","Really?","Like, the actual movement.","I don't think the movement is fine at all.","It's just that they need to encourage cleverer play.","Not really.","Like, more loops and careful movement.","Well. I guess?","They can move as slow as they want.","Well, I suppose.","As long as it encourages decent movement and complexity, like? It's fine.","Why?","I suppose.","It disincentivizes fun play.","What kind of play?","It ruins fast play.","It means players have to be less aggressive?","Kind of.","I could see that.","I think the movement is fine.","",""
"3B0MCRZMBRO6YDW3V234I14KNKZPP9","32KI9HN0SI20ZHTGLEWOBR2A1PMU1O","Create a dialog on basketball for twenty sentences","Create a dialog on basketball for twenty sentences","dialog, dialogue, chat, basketball, sports","$0.50","Sat May 13 04:30:55 PDT 2017","9","BatchId:2801526;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:30:55 PDT 2017","","","3HMVI3QICKM0CJ3WRPTYJGALT1RY17","A2VNR6984SDFGQ","Approved","Sun May 14 18:57:59 PDT 2017","Sun May 14 19:01:29 PDT 2017","Wed May 17 19:01:29 PDT 2017","Mon May 15 01:15:51 PDT 2017","","","210","100% (2/2)","100% (2/2)","100% (2/2)","0","Did you watch the 76ers last night?","Yeah, I loved him.","How are the 76ers doing today?","They are in 2nd place and strong.","That's great.  They are my favorite team.","Mine too.","Have have you seen them in person?","Yes, a few times.","They are so fun to watch in person.","I bet.  Are the seats expensive.","Yes, they are expensive but have a great view.","Yes, did you?","I would love to go some day.","Yes, it was a great game.","Who won last night?","The 76er's won.","They sure have some great players.","Yes they do.  They are amazing.","Who is your favorite player?","My favorite player already retired.  He was Michael Jordan.","",""
"3B0MCRZMBRO6YDW3V234I14KNKZPP9","32KI9HN0SI20ZHTGLEWOBR2A1PMU1O","Create a dialog on basketball for twenty sentences","Create a dialog on basketball for twenty sentences","dialog, dialogue, chat, basketball, sports","$0.50","Sat May 13 04:30:55 PDT 2017","9","BatchId:2801526;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:30:55 PDT 2017","","","3HMVI3QICKM0CJ3WRPTYJGALTZ81YN","ATADQXPHL10Y8","Approved","Sat May 13 06:40:23 PDT 2017","Sat May 13 06:44:55 PDT 2017","Tue May 16 06:44:55 PDT 2017","Sat May 13 07:03:11 PDT 2017","","","272","100% (79/79)","100% (79/79)","100% (73/73)","0","Will an expansion team ever come to the NBA?","Well back to Vegas, do you think a 2nd team will come in?","With the way games are scheduled I dont think you need to have 2 teams.","Yeah they could probably do with just 1.","How do you staff a team like that?","Let them pick 1, 2, and 3 in the NBA draft and then make 5 selections from the best 5 teams in the league.","Why punish a team for having a good roster?","Well you want the franchise to be good, to increase attendance.","I dont see that being an issue in Vegas.","Its more of a tourist place though.","Yeah but to catch a sporting event out there? People would do it.","I think Vegas could be next","They may but you need a winner on the court right away.","Do they really need expansion though?","Not really, the qaulity of rosters isnt that great right now.","Yeah I think they need to tell future players they have to wait 3 years out of high school.","The problem is theyll just go overseas.","Then they should say 3 years in college.","How do you tell a player they have to go to school though when they have free will?","I dont know they have to figure that out.","",""
"3B0MCRZMBRO6YDW3V234I14KNKZPP9","32KI9HN0SI20ZHTGLEWOBR2A1PMU1O","Create a dialog on basketball for twenty sentences","Create a dialog on basketball for twenty sentences","dialog, dialogue, chat, basketball, sports","$0.50","Sat May 13 04:30:55 PDT 2017","9","BatchId:2801526;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:30:55 PDT 2017","","","3KB8R4ZV1F113Q0OZG0HISGQAG6GBM","A2DZQW708M6IEZ","Approved","Sun May 14 07:38:31 PDT 2017","Sun May 14 07:53:09 PDT 2017","Wed May 17 07:53:09 PDT 2017","Sun May 14 11:23:23 PDT 2017","","","878","100% (4/4)","100% (4/4)","100% (4/4)","0","Okay, I have a confession about my sudden basketball interest.","How does that make any sense-","As well as my absolute favorite: the player who no one really notices and who uses misdirection to basically be invisible!","...I'm really not sure how that works. Does he at least look fairly typical so that kind of make sense?","No, he actually has blue hair.","How can people not notice someone with blue hair?!","I'm not too sure to be honest. I've been getting the sense that real basketball is not like this show.","Yeah, that almost sounds like superheros playing basketball as opposed to normal people.","You're probably right. I've also been missing the focus on emotional arcs in the real life basketball.","Er, why would that be featured?","There are also so many meaningful speeches in anime!","What is it?","Maybe you should just stick to watching sports anime instead of actual sports then.","The only reason I have suddenly become intrigued by basktball . . . is because of the manga/anime series Kuroko's Basketball.","Really? Is that the one with the boys with oddly colored hair?","Ha, that description could apply to a lot of anime. But yeah, it's a basketball anime featuring talented basketball athletes with goofy hair.","Well, what did you enjoy about basketball in the series?","I loved the guy who could always make three pointers and could even perfectly make shots from over half the court if he wasn't blocked.","Uh, that doesn't sound realistic -","Oh, and there was the person who could perfectly copy any other player's move as soon as he saw it.","",""
"3B0MCRZMBRO6YDW3V234I14KNKZPP9","32KI9HN0SI20ZHTGLEWOBR2A1PMU1O","Create a dialog on basketball for twenty sentences","Create a dialog on basketball for twenty sentences","dialog, dialogue, chat, basketball, sports","$0.50","Sat May 13 04:30:55 PDT 2017","9","BatchId:2801526;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:30:55 PDT 2017","","","3KYQYYSHYW1IA0F61V4VIRDS4NROD6","A214JTAHTAWUKA","Approved","Sun May 14 13:39:31 PDT 2017","Sun May 14 13:43:35 PDT 2017","Wed May 17 13:43:35 PDT 2017","Mon May 15 01:14:40 PDT 2017","","","244","100% (16/16)","100% (16/16)","100% (16/16)","0","Do you like basketball?","I would have to go with Lebron James.","I thought he was retired?","Not really not yet. Maybe he will pull a Jordan.","I could see him plating pro in other stuff, who is your favorite old school or retired player?","Shaq, and you?","I would go with Jordan.","Do you think Curry will get traded any time soon?","No, he is doing really well I wonder if James Harden will though.","You think so? I doubt it. He is pretty solid.","You may be right. Do you follow his team alot?","Yeah, I do I used to play?","I do, I think I like his as well.","Really, at what level?","Just college. Do you follow pro ball?","Yes, I do. Who is your favorite team?","I like the Jazz alot. How about you?","I do not really have one, but maybe the Lakers.","Oh yeah, they are great. Do you have a favorite current player?","Steph Curry for sure, how about you?","",""
"3B0MCRZMBRO6YDW3V234I14KNKZPP9","32KI9HN0SI20ZHTGLEWOBR2A1PMU1O","Create a dialog on basketball for twenty sentences","Create a dialog on basketball for twenty sentences","dialog, dialogue, chat, basketball, sports","$0.50","Sat May 13 04:30:55 PDT 2017","9","BatchId:2801526;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:30:55 PDT 2017","","","3OVHNO1VE7VU94TD34FCYPKWOQFZD2","A3LARK2XWBY8BI","Approved","Sat May 13 08:01:54 PDT 2017","Sat May 13 08:22:10 PDT 2017","Tue May 16 08:22:10 PDT 2017","Sat May 13 10:40:01 PDT 2017","","","1216","100% (5/5)","100% (5/5)","100% (5/5)","0","Yo you wanna go see that basket ball game?","Let me check my schedule","It's going to be this saturday, btw","Yeah I should be free","When you want me to come pick you up","When's it start?","I think around 5","Ok cool, well it's a 2 hour drive, want to leave at 1?","Heck yeah man, wanna get food before the game?","Sure dude, where at?","How about buffalo wild wings?","Bruh that is vague question, which game?","I'm down for that!","The Atlanta Hawks game!","Oh sure who they playing?","I think the Celtics.","Oh cool I haven't seen THEM play","What do you mean THEM","I ment the Celtics, dummy","Ah ok, cool! You free for it saturday?","",""
"3B0MCRZMBRO6YDW3V234I14KNKZPP9","32KI9HN0SI20ZHTGLEWOBR2A1PMU1O","Create a dialog on basketball for twenty sentences","Create a dialog on basketball for twenty sentences","dialog, dialogue, chat, basketball, sports","$0.50","Sat May 13 04:30:55 PDT 2017","9","BatchId:2801526;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:30:55 PDT 2017","","","3P1L2B7AD2J18C3YEC2J14LXDW3OLW","A2GSIQYXC3SFMI","Rejected","Sat May 13 12:38:01 PDT 2017","Sat May 13 12:38:37 PDT 2017","Tue May 16 12:38:37 PDT 2017","","Sun May 14 05:03:01 PDT 2017","You are submitting multiple identical HITs.","36","26% (6/23)","26% (6/23)","26% (6/23)","0","Did you see the Celtics and the Wizards game?","I really liked Manu Ginobili's block on James Harden.","Yeah. He totally destroyed him.","Now the Spurs play the Warriors, right?","Yeah.","And if Celtics win the series then they play the Cavs.","That's only if they win.","Oh they'll win.","Yeah.","I think  the Celtics will go 4 to 3.","You think they'll win?","Yeah man.","Yeah.","The Celtics totally ruled them.","I know that was a good game.","If the Celtics don't win today, then they better win their home game.","Did you see the Spurs an the Wizards last two games?","Yeah.","I totally thought that the Rockets were going to sweep the Spurs.","Me too.","",""
"3B0MCRZMBRO6YDW3V234I14KNKZPP9","32KI9HN0SI20ZHTGLEWOBR2A1PMU1O","Create a dialog on basketball for twenty sentences","Create a dialog on basketball for twenty sentences","dialog, dialogue, chat, basketball, sports","$0.50","Sat May 13 04:30:55 PDT 2017","9","BatchId:2801526;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:30:55 PDT 2017","","","3WYGZ5XF3X95MYD90T7R69IJLMYSKT","A1YV31LYI26TT5","Approved","Sun May 14 23:14:29 PDT 2017","Sun May 14 23:32:30 PDT 2017","Wed May 17 23:32:30 PDT 2017","Mon May 15 01:13:33 PDT 2017","","","1081","100% (1/1)","100% (1/1)","100% (1/1)","0","Hey man, did you check out that Warriors vs Spurs game earlier today?","You may be right, but I still do not think it's wise to doubt the spurs. After all, they are a great organization that knows what it takes to be champions.","It is going to be the warriors and cavs in the finals; I can not wait for that one!","Yea me either, Lebron will be going for his second straight NBA championship. I think he will get it but it is going to be a battle.","There is no question about that, I think that series will go seven for sure.","It should be the best finals we have ever seen, who do you have winning it?","That is a very hard question, I could really see this one going back and forth! I just do not know who will take home the trophy,","Come on man, you have to pick a winner! Who ya got?","Alright I will pick a winner, it is just really hard! I think I am going to go with the Warriors, they just have to many weapons for anyone to deal with.","Yea having just Durant and Curry would make any team special. However, adding Draymond Green and Klay Thompson makes them almost unbeatable!","Either way it is going to be a fun series to watch. I am sure looking forward to it!","I sure did, it was game 1 of the Western Conference Finals and that crowd was going crazy!","Me and you both buddy, we will just have to set back and see what happens.","The warriors were down big time in the first half. In fact, I think they actually fell behind by like twenty five points.","I know, I could not believe that the warriors were able to come back and win the game!","It did not really surprise me to be honest with you. I mean, they do have Steph Curry and Kevin Durant at their disposal so anything is possible for them.","That is true, but I was still very surprised. It sure did not help things when Kawhi Leonard went down with that ankle injury though.","Yea Kawhi is gonna have to get that ankle taken care of, the spurs have no chance without him!","I dont know dude, the spurs have some other really good players. I think they could still give Golden State a run for their money.","I feel ultimatley the warriors will just be to much and beat the spurs in five games. Mark my words, they will not need six games to end this series.","",""
"3QE4DGPGBR5EW7HLUZLTLUFXVXH4GU","32KI9HN0SI20ZHTGLEWOBR2A1PMU1O","Create a dialog on basketball for twenty sentences","Create a dialog on basketball for twenty sentences","dialog, dialogue, chat, basketball, sports","$0.50","Sat May 13 04:30:55 PDT 2017","9","BatchId:2801526;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:30:55 PDT 2017","","","30MVJZJNHN7S6ZBS927OOZDGE7OJ9L","AP20RSEMZHC4H","Approved","Sat May 13 09:02:55 PDT 2017","Sat May 13 09:08:38 PDT 2017","Tue May 16 09:08:38 PDT 2017","Sat May 13 10:40:02 PDT 2017","","","343","100% (10/10)","100% (10/10)","100% (10/10)","0","Did you watch the game between the Celtics and Wizards last night?","Agreed.  He hit the game winner.","I don't think Wall gets the recognition he deserves like other point guards.","Agreed.  It's all about Harden and Westbrook this season, but Wall might be a more complete pure point guard.","Even in this series, it's mostly been about Isaiah Thomas.","I mean that's fair, Thomas has been absolutely amazing.","But so has Wall, right?","Yes, both have been playing some amazing basketball.","Okay, so what do you think happens in Game 7?","You have to go with the home team, especially in Boston.  All that history!","That being said, Game 7s are always a bit of a crapshoot.","Of course! It was the only NBA game on last night.","Agreed.  All I know is I will be watching!","Yes, that's right.  All the other series are decided.","Yes.  It was a great game though.","Did you think the Wizards would be able to pull it out?","It was really looking bad for them at the end there.  The Celtics had the lead.","I agree.  I thought the Wizards season was over at that point.","Yes, it was some extremely clutch basketball by them at the end of the game.","John Wall is just an amazing player.","",""
