"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence11","Answer.sentence12","Answer.sentence13","Answer.sentence14","Answer.sentence15","Answer.sentence16","Answer.sentence17","Answer.sentence18","Answer.sentence19","Answer.sentence2","Answer.sentence20","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"32TZXEA1OLEHSSRICG0QE7BRT6E416","32KI9HN0SI20ZHTGLEWOBR2A1PMU1O","Create a dialog on basketball for twenty sentences","Create a dialog on basketball for twenty sentences","dialog, dialogue, chat, basketball, sports","$0.50","Thu May 11 08:21:58 PDT 2017","9","BatchId:2799287;OriginalHitTemplateId:920937340;","7200","259200","Sat May 13 04:28:54 PDT 2017","","","374TNBHA8CPOTNNDC4JDKHIT1ADQYI","AKFXZ8W27YI43","Approved","Fri May 12 21:26:40 PDT 2017","Fri May 12 21:35:53 PDT 2017","Mon May 15 21:35:53 PDT 2017","Sat May 13 02:28:27 PDT 2017","","","553","100% (1/1)","100% (1/1)","100% (1/1)","0","NBA playoffs are unreal this year. Are you watching it?","That shot, with the game on the line is amazing. The guy has ice water in his veins.","Have you ever hit a game winning shot in a basketball game?","No. When I was in high school I took a shot at the end of a game to win, but I missed it.","Heart breaker! What position did you play in basketball.","I was shooting guard.","Were you a good shooter?","Not really. I wasn't a very good dribbler so I couldn't be a point guard. But I also wasn't tall, so I couldn't be a power forward or center.","I played center. I was tall but not very coordinated.","I still like to play basketball. I just don't have as much time.","Same with me. I try to watch the NBA whenever I can though.","Yes I am. I can't believe all that has happened so far.","I sure hope it is the warriors and cavs in the finals.","The only problem is that all the top seeds are winning. Exciting games but boring results on paper.","I'm actually not a fan of upsets.","Are you serious? Don't you find this stuff boring when no under dogs win?","From what I see, under dogs winning makes for exciting first couple of rounds. But boring in the finals.","Good point. At least the games are exciting. Game winning shots, big players stepping up.","Did you see John Wall hit that three last night?","I know! He isn't even a three point shooter!","",""
"32TZXEA1OLEHSSRICG0QE7BRT6E416","32KI9HN0SI20ZHTGLEWOBR2A1PMU1O","Create a dialog on basketball for twenty sentences","Create a dialog on basketball for twenty sentences","dialog, dialogue, chat, basketball, sports","$0.50","Thu May 11 08:21:58 PDT 2017","9","BatchId:2799287;OriginalHitTemplateId:920937340;","7200","259200","Sat May 13 04:28:54 PDT 2017","","","3KB8R4ZV1F113Q0OZG0HISGQA9UBGR","ATADQXPHL10Y8","Approved","Fri May 12 06:04:33 PDT 2017","Fri May 12 06:07:12 PDT 2017","Mon May 15 06:07:12 PDT 2017","Fri May 12 08:48:30 PDT 2017","","","159","100% (41/41)","100% (41/41)","100% (41/41)","0","So are the Spurs the best ever?","Yeah so the teams were better and more stacked.","True but the Celtics just won year after year.","This is true but the Spurs have won in an era that has one and done mega stars.","Yeah I just dont see it.","Think about it, the Spurs havent created a 3 man team like the Cavaliers and Warriors.","The Warriors drafted all their guys much like the Spurs.","Yeah Cleveland and Miami and Boston all did it with free agency.","So are you ready to crown the Spurs.","Once they win 5 in a row.","Could they beat MJs Bulls?","Like as a team or a franchise or what?","Never, he was the GOAT!","I mean like all around.","Well theyve been doing this for 20 years so theyre the current dynasty.","Change the players, dont change the winning.","Its amazing in todays world.","So are they the best dynasty ever?","I dont know the Celtics and Lakers won alot more.","Different time, not as many teams.","",""
"32TZXEA1OLEHSSRICG0QE7BRT6E416","32KI9HN0SI20ZHTGLEWOBR2A1PMU1O","Create a dialog on basketball for twenty sentences","Create a dialog on basketball for twenty sentences","dialog, dialogue, chat, basketball, sports","$0.50","Thu May 11 08:21:58 PDT 2017","9","BatchId:2799287;OriginalHitTemplateId:920937340;","7200","259200","Sat May 13 04:28:54 PDT 2017","","","3R9WASFE20AR7O79UAA2MPNH01GFZA","A264DM5HSNI3MU","Approved","Fri May 12 14:12:59 PDT 2017","Fri May 12 15:31:55 PDT 2017","Mon May 15 15:31:55 PDT 2017","Sat May 13 02:28:27 PDT 2017","","","4736","100% (1/1)","100% (1/1)","100% (1/1)","0","Did you think that anyone can beat Golden State in the playoffs.","It's going to be tough!  If someone like Harden or Westbrook can play late into their 30s, it's possible.","Are there too many flagrant fouls in the NBA?","I don't think so; it's just that they're recording them as such now.","Will Golden State be able to stay dominent in the West for a long time?","I'm guessing no, since their top players will all want max contracts.","What do you think about advertising on jerseys, like Philadelphia wants to do?","Heck no, Philadelphia's ownership has pulled enough shenanigans in the last few years.","Who will be the surprise team in the east next year?","I think the Knicks have a chance to make the playoffs if they can get a good player for Carmelo Anthony.","Who will be the surprise team in the west next year?","Cleveland beat them last year, and San Antonio has a surprising strong team in the playoffs.","No question, it's Phoenix, led by Devin Booker.","Who should get the MVP, Russell Westbrook or James Harden.","Even though neither player was enough to push their own team deep into the finals, Westbrook had a legendary regular season.","Will the NBA East continue to be weak versus the West?","As long as there are perennial big market, bad teams like the Knicks, 76ers, I think that's a yes.","Who is going to win this year's championship?","No doubt, it's time for the Warriors to take it back to Oakland, after losing the title last year.","Will anyone ever beat Kareem Abdul-Jabbar's scoring record?","",""
"32TZXEA1OLEHSSRICG0QE7BRT6E416","32KI9HN0SI20ZHTGLEWOBR2A1PMU1O","Create a dialog on basketball for twenty sentences","Create a dialog on basketball for twenty sentences","dialog, dialogue, chat, basketball, sports","$0.50","Thu May 11 08:21:58 PDT 2017","9","BatchId:2799287;OriginalHitTemplateId:920937340;","7200","259200","Sat May 13 04:28:54 PDT 2017","","","3RANCT1ZVGBK881JJLPYM7HGI8BBU8","A1HWI4N1RJGKYY","Approved","Thu May 11 08:54:58 PDT 2017","Thu May 11 09:23:02 PDT 2017","Sun May 14 09:23:02 PDT 2017","Thu May 11 09:37:27 PDT 2017","","","1684","100% (44/44)","100% (44/44)","100% (44/44)","0","Hi.","For college or pros?","Either.","Hmm let me think.","I like the Golden State Warriors I guess.","Yeah a lot of people like them.","Steph Curry is a great player.","Can't argue there.","I think they'll win it all this year.","We'll see what Lebron has to say about that.","Yeah you're right, but I still think they will beat them.","Good day.","Guess we'll find out.","How are you.","Well, you?","Not bad.  Any interest in basketball?","Yeah I like it okay.","Do you like college or NBA.","Both I guess.","Do you have a team.","",""
"32TZXEA1OLEHSSRICG0QE7BRT6E416","32KI9HN0SI20ZHTGLEWOBR2A1PMU1O","Create a dialog on basketball for twenty sentences","Create a dialog on basketball for twenty sentences","dialog, dialogue, chat, basketball, sports","$0.50","Thu May 11 08:21:58 PDT 2017","9","BatchId:2799287;OriginalHitTemplateId:920937340;","7200","259200","Sat May 13 04:28:54 PDT 2017","","","3UWN2HHPUZZ6U4YCX6Z7Y1ZMEZQSNI","A1LQHI9L1DXN13","Approved","Thu May 11 08:22:58 PDT 2017","Thu May 11 09:59:24 PDT 2017","Sun May 14 09:59:24 PDT 2017","Thu May 11 12:28:07 PDT 2017","","","5786","100% (1/1)","100% (1/1)","100% (1/1)","0","Whats the west looking like in the NBA?","Well the next games at home so perhaps, i doubt it though.","Has it been a good series so far?","Yea its been pretty good. game five went to overtime.","Oh, then its been really good, a coin toss really.","Yea, i guess so. Gonna be hard for Houston to win two games in a row though.","What was the score in the other series?","Which?","The one that golden state won.","Oh. They beat the jazz four to nothing.","Wow, looks like they are the team to beat.","The usual. The teams youd expect to be there are and the ones that arnt, arnt.","I guess we will see.","Yea, what do you mean by that.","Exactly what i said.","Ok, can you be more specific. Like with team names and all?","Golden State is in the western conference finals and the Spurs are winning vs the Rockets.","Whats the score vs the Rockets?","3-2 Spurs","Do you think the Rockets have a chance?","",""
"36D1BWBEHNV4L3YK1O005K2W73CM2Z","32KI9HN0SI20ZHTGLEWOBR2A1PMU1O","Create a dialog on basketball for twenty sentences","Create a dialog on basketball for twenty sentences","dialog, dialogue, chat, basketball, sports","$0.50","Thu May 11 08:21:57 PDT 2017","9","BatchId:2799287;OriginalHitTemplateId:920937340;","7200","259200","Sat May 13 04:28:54 PDT 2017","","","386PBUZZXGRN71C1YZAET84ADLFJLT","A358YR7MWC6LRH","Approved","Thu May 11 08:28:47 PDT 2017","Thu May 11 08:32:40 PDT 2017","Sun May 14 08:32:40 PDT 2017","Thu May 11 09:37:27 PDT 2017","","","233","100% (12/12)","100% (12/12)","100% (12/12)","0","I am so sick of Lebron.","Possibly, or at least Reddick.","Yeah I wonder where he will go then.","I hope he goes to Milwaukee to add some shooting.","Oh I love that idea too.  Riddick in Milwaukee would be fun.","Yeah that might make the East a little better too.","Well, I don't know about that.  The bucks seem fake to me.","Yeah I could see that but I think you are only saying that since you are a Chicago fan.","Don't get me started  on my dumpster fire.","What? You aren't happy with Butler?","Well, I just think he is over rated.","Yeah me too.  He just keeps crushing the terrible East.","I could see that.  He definitely loves ISO ball too much.","Yeah like that is some huge accomplishment.","Yeah I mean Isiah Thomas at 5 foot 9 also has been killing the East.","Kind of shows you just how terrible the East is.","Yeah and soon Carmelo is going to head West too.","You think so?","Yeah he is going to end up on the Clippers I bet.","Oh! I like the idea of that. You think they will have to get rid of Blake?","",""
"36D1BWBEHNV4L3YK1O005K2W73CM2Z","32KI9HN0SI20ZHTGLEWOBR2A1PMU1O","Create a dialog on basketball for twenty sentences","Create a dialog on basketball for twenty sentences","dialog, dialogue, chat, basketball, sports","$0.50","Thu May 11 08:21:57 PDT 2017","9","BatchId:2799287;OriginalHitTemplateId:920937340;","7200","259200","Sat May 13 04:28:54 PDT 2017","","","3IXEICO793DZ2J5ZNPIG6V9NM4YT68","A3OWGVIP4VYSPV","Approved","Fri May 12 10:07:22 PDT 2017","Fri May 12 10:12:04 PDT 2017","Mon May 15 10:12:04 PDT 2017","Fri May 12 13:32:26 PDT 2017","","","282","100% (17/17)","100% (17/17)","100% (17/17)","0","What is your strongpoint in basketball?","OK. This sounds like fun.","I agree. Basketball is good exercise.","I need to get back in shape so that's good.","We all need to get more in shape I bet.","Probably. All that running and jumping should help.","I hope it does. I want to lose thirty pounds.","I'm so glad there will be a team because I've missed playing.","So have I.","I haven't played in a while.","Neither have I but we'll get back in the swing of things soon.","Probably just making baskets even from a distance.","I'm sure.","Me too. I'm looking for members to start a team.","I'd be interested.","OK. We're meeting at Jordan's tomorrow at seven. Can you be there?","Yep. Can I bring Frankie and Luke?","Bring anyone you can think of.","What if we get too many members?","We'll hold tryouts then.","",""
"36D1BWBEHNV4L3YK1O005K2W73CM2Z","32KI9HN0SI20ZHTGLEWOBR2A1PMU1O","Create a dialog on basketball for twenty sentences","Create a dialog on basketball for twenty sentences","dialog, dialogue, chat, basketball, sports","$0.50","Thu May 11 08:21:57 PDT 2017","9","BatchId:2799287;OriginalHitTemplateId:920937340;","7200","259200","Sat May 13 04:28:54 PDT 2017","","","3QILPRALQ6POBKJ3J8T2HAZL25L8N0","A1HWI4N1RJGKYY","Approved","Thu May 11 08:27:55 PDT 2017","Thu May 11 08:29:50 PDT 2017","Sun May 14 08:29:50 PDT 2017","Thu May 11 08:30:50 PDT 2017","","","115","100% (44/44)","100% (44/44)","100% (44/44)","0","Hello.","Yeah he is the man.","I am a fan of the Cavs.","Oh really?","Yep, we'll probably be playing yall in the finals.","I think so too.","I don't think there is much competition for either of our teams.","Nope, it looks like the playoffs are leading to that final again.","I think it'll be a great series.","Me too, can't wait.","Well, best of luck.","Hi.","You too.","How are you doing?","Well thank you, and you?","Good.  Are you a basketball fan?","Yes I am.","Who is your team?","I am fan of Golden State.","Oh nice.  Have to love Steph.","",""
"3Y3N5A7N4G3UMORRU97VEO31MI7YMS","32KI9HN0SI20ZHTGLEWOBR2A1PMU1O","Create a dialog on basketball for twenty sentences","Create a dialog on basketball for twenty sentences","dialog, dialogue, chat, basketball, sports","$0.50","Thu May 11 08:21:58 PDT 2017","9","BatchId:2799287;OriginalHitTemplateId:920937340;","7200","259200","Sat May 13 04:28:54 PDT 2017","","","337RC3OW06WWYWCVFOOXWWF488KVLO","A1Z4N3YCR37HME","Approved","Thu May 11 10:16:13 PDT 2017","Thu May 11 10:17:35 PDT 2017","Sun May 14 10:17:35 PDT 2017","Sat May 13 07:04:33 PDT 2017","","","82","100% (2/2)","100% (2/2)","100% (2/2)","0","Did you see the March Madness games this year?","{}","{}","{}","{}","{}","{}","{}","{}","{}","{}","Na, I don't really watch college ball.","{}","{}","{}","{}","{}","{}","{}","{}","",""
"3Y3N5A7N4G3UMORRU97VEO31MI7YMS","32KI9HN0SI20ZHTGLEWOBR2A1PMU1O","Create a dialog on basketball for twenty sentences","Create a dialog on basketball for twenty sentences","dialog, dialogue, chat, basketball, sports","$0.50","Thu May 11 08:21:58 PDT 2017","9","BatchId:2799287;OriginalHitTemplateId:920937340;","7200","259200","Sat May 13 04:28:54 PDT 2017","","","3CCZ6YKWR8DKZ0W7K03UNPUAVRF95E","A1HWI4N1RJGKYY","Approved","Thu May 11 08:55:02 PDT 2017","Thu May 11 09:32:14 PDT 2017","Sun May 14 09:32:14 PDT 2017","Thu May 11 09:37:29 PDT 2017","","","2232","100% (44/44)","100% (44/44)","100% (44/44)","0","Hi.","I didn't make it that far.","How far?","I played JV a little bit.","Were you any good?","No, that's the reason I never made varsity.","Oh I see.","Were you?","I was okay, but was in a tiny high school.","Oh I see.","Yeah.","Hi.","ok, bye.","How are you.","Good, you?","Good.  Do you like watching basketball?","Yeah I do.","Did you play basketball at all?","I did a little bit.","Me too, I played up until high school.","",""
