"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence2","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"3WRKFXQBOB18Q5109U93MVWK62BIY7","3ZYIH7REHF45MC9JPSKFCLALJ371OR","Create a dialog on the Beatles' music for ten sentences","Create a dialog on the Beatles' music for ten sentences","dialog, chat, pop, the Beatles, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:09:36 PDT 2017","9","BatchId:2842589;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:09:36 PDT 2017","","","30LSNF239VPLB46N6B792BQ2X862IR","A1B76WYZ47BQJ","Approved","Tue Jun 20 18:54:54 PDT 2017","Tue Jun 20 19:08:07 PDT 2017","Fri Jun 23 19:08:07 PDT 2017","Fri Jun 23 02:00:31 PDT 2017","","","793","100% (12/12)","100% (12/12)","100% (12/12)","0","Can you tell me anything about the Beatles Hamburg,Germany experience?","They were the main clubs the Beatles performed in during the Hamburg period.  Historically, I would love to go back in a time machine to see the Beatles play those clubs.","Sure,they played there from 1960 to 62.","Why was this a crucial period for them?","They played there for hours which honed their skills to get to be the best.","Didn't a member die there?","Yes, sadly Stu Sutcliffe died of a brain hemorage there at the young age of 21.","What about Pete Best?","He was the drummer who played in Hamburg for the Beatles. Ringo came along and replaced him a little later.","Anything about The Top Ten andThe Star-Club?","x",""
"3WRKFXQBOB18Q5109U93MVWK62BIY7","3ZYIH7REHF45MC9JPSKFCLALJ371OR","Create a dialog on the Beatles' music for ten sentences","Create a dialog on the Beatles' music for ten sentences","dialog, chat, pop, the Beatles, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:09:36 PDT 2017","9","BatchId:2842589;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:09:36 PDT 2017","","","35GMH2SV3FBN26T6XQFFO9VD7WLOEP","A1YOQTO8WJC7FI","Submitted","Fri Jun 23 20:04:03 PDT 2017","Fri Jun 23 20:06:13 PDT 2017","Mon Jun 26 20:06:13 PDT 2017","","","","130","0% (0/0)","0% (0/0)","0% (0/0)","0","Who was your favorite beatle?","No, I didn't know they made a movie!","I liked George Harrison the most, he was always referred to as the gentle beatle.","What is your favorite beatles album?","I think Sgt Pepper's lonely hearts club band was groundbreaking.","Have you ever seen one of the beatles in concert?","Yes, I saw Paul McCartney a few years ago.","Do you think the beatles are overrated?","No, I actually think they are one of the best bands of all time.","Did you ever see the beatle's movie a hard day's night?","x",""
"3WRKFXQBOB18Q5109U93MVWK62BIY7","3ZYIH7REHF45MC9JPSKFCLALJ371OR","Create a dialog on the Beatles' music for ten sentences","Create a dialog on the Beatles' music for ten sentences","dialog, chat, pop, the Beatles, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:09:36 PDT 2017","9","BatchId:2842589;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:09:36 PDT 2017","","","3A4TN5196LCYDRN5XMEUECY9AV3HC4","A1LFOS4GL90HWU","Approved","Thu Jun 22 13:52:36 PDT 2017","Thu Jun 22 13:55:21 PDT 2017","Sun Jun 25 13:55:21 PDT 2017","Fri Jun 23 02:00:31 PDT 2017","","","165","100% (11/11)","100% (11/11)","100% (11/11)","0","I love the Beatles music.","I believe in yesterday.","I especially like Ringo.","Love love me do.","You know I love you.","Do you think they ever lived in a Yellow Submarine?","Nah but they probably did a lot of acid.","I saw a Cirque du Soleil show that was a Beatles tribuye.","I bet that was fun.","Yesterday had a sad vibe to it.","x",""
"3WRKFXQBOB18Q5109U93MVWK62BIY7","3ZYIH7REHF45MC9JPSKFCLALJ371OR","Create a dialog on the Beatles' music for ten sentences","Create a dialog on the Beatles' music for ten sentences","dialog, chat, pop, the Beatles, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:09:36 PDT 2017","9","BatchId:2842589;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:09:36 PDT 2017","","","3GA6AFUKOPIA0RRM4T3TL9UF3BC3HZ","A29AX5O8KL48F8","Approved","Wed Jun 21 13:34:37 PDT 2017","Wed Jun 21 13:39:07 PDT 2017","Sat Jun 24 13:39:07 PDT 2017","Fri Jun 23 02:00:31 PDT 2017","","","270","100% (205/205)","100% (188/188)","100% (173/173)","0","Do you know the beatles song Real Love?","Yes same them, will you still love me when... I am old.","I don't think I know that one.","I think a lot of people don't.. which is too bad. It is such a nice message.","They have so many songs it is hard to keep track of them all.","Well I do see your point. Do you know when I'm 64?","I do know that. I enjoy it very much.","Ya it is a cute one. Kind of on the short side though.","I never noticed if it is. I will say the lana del rey song young and beautiful song lyrics make me think back to When I'm 64.","Never made that connection before but that is very true.","x",""
"3WRKFXQBOB18Q5109U93MVWK62BIY7","3ZYIH7REHF45MC9JPSKFCLALJ371OR","Create a dialog on the Beatles' music for ten sentences","Create a dialog on the Beatles' music for ten sentences","dialog, chat, pop, the Beatles, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:09:36 PDT 2017","9","BatchId:2842589;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:09:36 PDT 2017","","","3GM6G9ZBKOR1RMQRA5PXVR69EVKMT2","A1HWI4N1RJGKYY","Approved","Wed Jun 21 06:41:48 PDT 2017","Wed Jun 21 06:42:54 PDT 2017","Sat Jun 24 06:42:54 PDT 2017","Fri Jun 23 02:00:31 PDT 2017","","","66","100% (308/308)","100% (205/205)","100% (185/185)","0","Hi there.","Oh interesting.","Hi.","Do you have a favorite Beatles song of all time?","I liked that remake they did in the 90's.","Free as a Bird?","Yeah that's the one.","Well, it wasn't really a remake?","What do you mean?","It was an unfinished track and they found some of John's vocals for the track.","x",""
"3WRKFXQBOB18Q5109U93MVWK62BIY7","3ZYIH7REHF45MC9JPSKFCLALJ371OR","Create a dialog on the Beatles' music for ten sentences","Create a dialog on the Beatles' music for ten sentences","dialog, chat, pop, the Beatles, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:09:36 PDT 2017","9","BatchId:2842589;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:09:36 PDT 2017","","","3QXNC7EIPJPL4TA6NUXI6UYKHMW09N","A1WBGYZ6Y8NJ9","Approved","Wed Jun 21 17:08:19 PDT 2017","Wed Jun 21 17:09:12 PDT 2017","Sat Jun 24 17:09:12 PDT 2017","Fri Jun 23 02:00:31 PDT 2017","","","53","100% (484/484)","100% (441/441)","100% (400/400)","0","I am so sick of people praising the beatles music","Yes way","Why","Because it blows","But not really","Yes really","How so","They all suck","Never you are low man","Nah no way","x",""
"3WRKFXQBOB18Q5109U93MVWK62BIY7","3ZYIH7REHF45MC9JPSKFCLALJ371OR","Create a dialog on the Beatles' music for ten sentences","Create a dialog on the Beatles' music for ten sentences","dialog, chat, pop, the Beatles, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:09:36 PDT 2017","9","BatchId:2842589;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:09:36 PDT 2017","","","3RU7GD8VPPN6XPAPDLCZ2Q4IHGSPSL","A1YBZWXXW358IF","Approved","Tue Jun 20 15:14:30 PDT 2017","Tue Jun 20 15:20:11 PDT 2017","Fri Jun 23 15:20:11 PDT 2017","Fri Jun 23 02:00:31 PDT 2017","","","341","100% (80/80)","100% (80/80)","100% (80/80)","0","Was hey Jude an album?","Those two fed off of each other. They were amazing.","I think it was thrown together on Capital records to fulfill a commitment.","I believe it wasn't a preconceived album. Paul wrote it for John's son Julian who he felt bad before because his parents were divorcing.","Correct,and obviously it was a huge hit,but not an album they planned.","I think Capital just took some singles and put them together on an,album and hey Jude became the title track because of its success.","I think I read the same thing. What a great classic song.","It sure was at that. One of my all time favorites.","John actually loved the song.","He did love it and helped paul get through some lyrics he didn't like.","x",""
"3WRKFXQBOB18Q5109U93MVWK62BIY7","3ZYIH7REHF45MC9JPSKFCLALJ371OR","Create a dialog on the Beatles' music for ten sentences","Create a dialog on the Beatles' music for ten sentences","dialog, chat, pop, the Beatles, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:09:36 PDT 2017","9","BatchId:2842589;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:09:36 PDT 2017","","","3SLE99ER0O71U7VTP8O63ZWWNQCBZO","APF1EAZT104LQ","Approved","Tue Jun 20 10:51:01 PDT 2017","Tue Jun 20 10:55:17 PDT 2017","Fri Jun 23 10:55:17 PDT 2017","Fri Jun 23 02:00:32 PDT 2017","","","256","100% (262/262)","100% (255/255)","100% (247/247)","0","How many people are in The Beatles?","It's one of the best.","4","Cool, whoch one was married to Yoko Ono?","John Lennon","Weren't they a pop band?","They started out that way, but then became studio musicians","What is one of their hits?","Hey Jude","Is that a good song?","x",""
"3WRKFXQBOB18Q5109U93MVWK62BIY7","3ZYIH7REHF45MC9JPSKFCLALJ371OR","Create a dialog on the Beatles' music for ten sentences","Create a dialog on the Beatles' music for ten sentences","dialog, chat, pop, the Beatles, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:09:36 PDT 2017","9","BatchId:2842589;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:09:36 PDT 2017","","","3UJ1CZ6IZIJ24FS6T63L4KZ1QHVS58","AG1TKYUKS97EV","Approved","Wed Jun 21 10:06:02 PDT 2017","Wed Jun 21 10:08:32 PDT 2017","Sat Jun 24 10:08:32 PDT 2017","Fri Jun 23 02:00:32 PDT 2017","","","150","100% (56/56)","100% (56/56)","100% (56/56)","0","Did you see the Beatles Cirque show?","I didn't even know that he covered it!","I haven't, no. Did you like it?","I haven't seen it either, but I bought the soundtrack.","Was it as good as the soundtrack to Across the Universe?","Yeah, it's really good. But it's hard to compare to the originals.","Well the originals are so good.","Do you have any favorite Beatles tracks?","Norwegian Wood is my all-time favorite.","I liked Sergio Mendes's cover of that one too.","x",""
"3TRB893CSJ4BFUZ4WXJ0O6Z7NQAG7C","3ZYIH7REHF45MC9JPSKFCLALJ371OR","Create a dialog on the Beatles' music for ten sentences","Create a dialog on the Beatles' music for ten sentences","dialog, chat, pop, the Beatles, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:09:36 PDT 2017","9","BatchId:2842589;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:09:36 PDT 2017","","","31UV0MXWNR6DA1PAOU970ITEIW75IY","A1YFHXP2P16T3G","Submitted","Sun Jun 25 06:03:52 PDT 2017","Sun Jun 25 06:09:15 PDT 2017","Wed Jun 28 06:09:15 PDT 2017","","","","323","100% (21/21)","100% (11/11)","100% (11/11)","0","What's your favorite Beatles song?","Yeah, the differences between each part are quite overt, but somehow it all fits together and works.","I've always loved Yellow Submarine.","That's interesting. What do you like about that song?","I like the atmosphere and vibe of it.","Oh, because of the sound effects and all that?","Right, it's put together very well. The song tells a story with the music, lyrics, and the sounds effects.","My favorite song is A Day in the Life.","Yeah, that's a great one.","I like how experimental it is. I also like seeing the clear contrast between John and Paul contained in one song.","x",""
