"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence2","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"33KMQD9OFJ8SM1O33UF6ITMEOMU771","36872VQHZ5WZBER2GPKVZN3ZMFF9MS","Create a dialog on comedy movies for ten sentences","Create a dialog on comedy movies for ten sentences","dialog, chat, movies, film, entertainment, fun, arts, conversation, writing, comedy, creative","$0.40","Mon Jun 19 10:42:26 PDT 2017","9","BatchId:2840982;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:42:26 PDT 2017","","","31UV0MXWNR6DA1PAOU970ITEHEH5I7","ATADQXPHL10Y8","Submitted","Mon Jun 19 12:27:46 PDT 2017","Mon Jun 19 12:59:51 PDT 2017","Thu Jun 22 12:59:51 PDT 2017","","","","1925","100% (262/262)","100% (121/121)","100% (44/44)","0","Is Adam Sandler the funniest comedian of all time?","They were but not greatest of all time","No he had a couple good movies 20 years ago.","Right but most comics dont go on that long","Sure they do","Like who?","Will Ferrell has had way more funnier movies","I think Billy Madison was the funniest comedy ever","Thats being a little crazy!","Why? The one liners were great","",""
"33KMQD9OFJ8SM1O33UF6ITMEOMU771","36872VQHZ5WZBER2GPKVZN3ZMFF9MS","Create a dialog on comedy movies for ten sentences","Create a dialog on comedy movies for ten sentences","dialog, chat, movies, film, entertainment, fun, arts, conversation, writing, comedy, creative","$0.40","Mon Jun 19 10:42:26 PDT 2017","9","BatchId:2840982;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:42:26 PDT 2017","","","32AT8R96GM3JPUILU7BTCWRHPVFUSD","A3MG9U0TT7WGYR","Submitted","Mon Jun 19 18:01:38 PDT 2017","Mon Jun 19 18:07:36 PDT 2017","Thu Jun 22 18:07:36 PDT 2017","","","","358","100% (11/11)","100% (7/7)","100% (6/6)","0","Did you like Zoolander? I really thought it was funny.","Bet there are real hand models that do that in California.","Which one? The first was funny. The second one not so funny.","Yeah the first one cracks me up....I love that blue steel.","Ben Stiller and Owen Wilson were so funny.","Yeah, I loved it when they were getting the info out of the computer.","Aww, man! I had that computer!","Oh and the hand model?","Wasn't that the dude from the X-files?","Yeah, man. That was so funny.","",""
"33KMQD9OFJ8SM1O33UF6ITMEOMU771","36872VQHZ5WZBER2GPKVZN3ZMFF9MS","Create a dialog on comedy movies for ten sentences","Create a dialog on comedy movies for ten sentences","dialog, chat, movies, film, entertainment, fun, arts, conversation, writing, comedy, creative","$0.40","Mon Jun 19 10:42:26 PDT 2017","9","BatchId:2840982;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:42:26 PDT 2017","","","37TD41K0AI3N301L8GQTIQ5BIVASC3","AO33H4GL9KZX9","Submitted","Mon Jun 19 18:27:23 PDT 2017","Mon Jun 19 18:32:00 PDT 2017","Thu Jun 22 18:32:00 PDT 2017","","","","277","100% (79/79)","100% (39/39)","100% (7/7)","0","i think, of all the genres, comedy changes the most, if you ask me.","And that will be the charm of Billy Crystal. he just acts that way. He talks that way in real life too. So it becomes believable.","Um, I don't think so. Sci Fi changes the most.","Oh, yeah, you're right. With all the effects and CGI and everything.","Yep, we can still laugh at comedies from the 70s. Sci fi from the 70s look silly.","Tell that to all the start trek fans.","Star trek is not merely a sci fi. It's a part of Americana.","Whatever. anyway. I think humor in the 70s were different from now. Look at Woody Allen's movies.","Well, that's not really representative of 70s comedy. That's just Woody Allen. And he's the one who set the standards for the romatic comedy genre","And I don't like romatic comedies. it's usually acted badly, even with famous comedians. Look at Billy Crystal movies. He has a weird awkward cadence.","",""
"33KMQD9OFJ8SM1O33UF6ITMEOMU771","36872VQHZ5WZBER2GPKVZN3ZMFF9MS","Create a dialog on comedy movies for ten sentences","Create a dialog on comedy movies for ten sentences","dialog, chat, movies, film, entertainment, fun, arts, conversation, writing, comedy, creative","$0.40","Mon Jun 19 10:42:26 PDT 2017","9","BatchId:2840982;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:42:26 PDT 2017","","","3BWI6RSP7H3GH017G4YDDN9IGTB7EP","A2R3YFUNAT892R","Submitted","Mon Jun 19 18:34:48 PDT 2017","Mon Jun 19 18:37:30 PDT 2017","Thu Jun 22 18:37:30 PDT 2017","","","","162","100% (8/8)","100% (8/8)","100% (8/8)","0","Do you like romantic comedies?","Yeah, that was great.","Yes! I love Notting Hill.","That's a great movie.  Hugh Grant is adorable.","And so is Julia Roberts.","I don't really like her, but I like her there.","The bookstore is so cute.","I love the end, with them at the park with the gate.","Yes, that's like a fantasy.","I think the part about the painting was funny.","",""
"33KMQD9OFJ8SM1O33UF6ITMEOMU771","36872VQHZ5WZBER2GPKVZN3ZMFF9MS","Create a dialog on comedy movies for ten sentences","Create a dialog on comedy movies for ten sentences","dialog, chat, movies, film, entertainment, fun, arts, conversation, writing, comedy, creative","$0.40","Mon Jun 19 10:42:26 PDT 2017","9","BatchId:2840982;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:42:26 PDT 2017","","","3HSYG7LRBKS7YF01VKYPFNR96AWKKH","A3RYTY3QHRXNIY","Submitted","Mon Jun 19 16:27:50 PDT 2017","Mon Jun 19 16:36:32 PDT 2017","Thu Jun 22 16:36:32 PDT 2017","","","","522","100% (180/180)","100% (163/163)","100% (59/59)","0","Lets talk about comedy movies.","I liked that one too","Sounds great.","I love every melissa mccarthy movie","She is so funny","She is and a great actress","Her movies are good","The Heat is one of my favorites","Mine too and i liked The Boss","And Tammy was funny","",""
"33KMQD9OFJ8SM1O33UF6ITMEOMU771","36872VQHZ5WZBER2GPKVZN3ZMFF9MS","Create a dialog on comedy movies for ten sentences","Create a dialog on comedy movies for ten sentences","dialog, chat, movies, film, entertainment, fun, arts, conversation, writing, comedy, creative","$0.40","Mon Jun 19 10:42:26 PDT 2017","9","BatchId:2840982;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:42:26 PDT 2017","","","3ITXP059PXDABE7RI87F5UI68GVJSM","A121HFPU2RMP97","Submitted","Tue Jun 20 01:07:09 PDT 2017","Tue Jun 20 01:10:34 PDT 2017","Fri Jun 23 01:10:34 PDT 2017","","","","205","100% (5/5)","100% (5/5)","100% (5/5)","0","What's your favorite movie?","Yeah, I laughed the whole time.","I like Rush Hour alot.","That's a funny movie. Who was in it?","Jackie Chan and Chris Rock were there.","It's a pretty funny police movie.","Yeah, I like how laid back the movie was.","They played very well off of each other.","You could really tell by watching the movie.","Was it a laugh out loud movie?","",""
"33KMQD9OFJ8SM1O33UF6ITMEOMU771","36872VQHZ5WZBER2GPKVZN3ZMFF9MS","Create a dialog on comedy movies for ten sentences","Create a dialog on comedy movies for ten sentences","dialog, chat, movies, film, entertainment, fun, arts, conversation, writing, comedy, creative","$0.40","Mon Jun 19 10:42:26 PDT 2017","9","BatchId:2840982;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:42:26 PDT 2017","","","3IX2EGZR7CDYAZ7E3J7AFKDAMELRJF","A31XNLA9REVGXL","Submitted","Tue Jun 20 06:35:21 PDT 2017","Tue Jun 20 06:38:49 PDT 2017","Fri Jun 23 06:38:49 PDT 2017","","","","208","100% (10/10)","100% (10/10)","0% (0/0)","0","So what is your favorite comedy movie?","Yes I know the movie spooked her that much.","Knocked Up","Oh my goodness I love that movie.","Katherine Heigl and Seth Rogen were great.","Yes they were.","I heard Katherine Heigl adopted after that movie. She didn't want to get pregnant.","Are you serious?","Yes I heard it on tv once.","That is hilarious.","",""
"33KMQD9OFJ8SM1O33UF6ITMEOMU771","36872VQHZ5WZBER2GPKVZN3ZMFF9MS","Create a dialog on comedy movies for ten sentences","Create a dialog on comedy movies for ten sentences","dialog, chat, movies, film, entertainment, fun, arts, conversation, writing, comedy, creative","$0.40","Mon Jun 19 10:42:26 PDT 2017","9","BatchId:2840982;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:42:26 PDT 2017","","","3STRJBFXOXL61YQOPTCHGEE5PO1TKC","A1WBGYZ6Y8NJ9","Submitted","Tue Jun 20 11:41:30 PDT 2017","Tue Jun 20 11:50:31 PDT 2017","Fri Jun 23 11:50:31 PDT 2017","","","","541","100% (138/138)","100% (124/124)","100% (54/54)","0","Who is that actor i see that looks like donald trump you know that old guy who was on that investment tv show","You gotta show it to me","Who","He is in a lot of movies with ben stiller","Comedy movies","Yeah he is blonde","You mean owen wilson?","Yeah him","He looks nothing like him...","I saw a picture and he did","",""
"33KMQD9OFJ8SM1O33UF6ITMEOMU771","36872VQHZ5WZBER2GPKVZN3ZMFF9MS","Create a dialog on comedy movies for ten sentences","Create a dialog on comedy movies for ten sentences","dialog, chat, movies, film, entertainment, fun, arts, conversation, writing, comedy, creative","$0.40","Mon Jun 19 10:42:26 PDT 2017","9","BatchId:2840982;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:42:26 PDT 2017","","","3VFJCI1K40TOJXHDVDM7I7LUUMQGRM","ADJUMNMLC8H1I","Submitted","Tue Jun 20 12:29:52 PDT 2017","Tue Jun 20 12:35:11 PDT 2017","Fri Jun 23 12:35:11 PDT 2017","","","","319","0% (0/0)","0% (0/0)","0% (0/0)","0","I'm planning to stream some comedies this weekend, got any recommendations?","I do too -- my favorite of his is ""Best in Show."" So funny!","Yes! Watch ""Popstar""!","Oh, the one with the Lonely Island Boys? I think they're hilarious!","Not exactly the Lonely Island Boys. Similar concept, but Andy Samberg plays this silly, vain popstar and he has sidekicks, which are the other two guys in Lonely Island.","Sounds funny. So there are a lot of songs too?","Yes, the songs are hilarious! I was crying.","They're that funny? Were there any cameos?","Yeah, tons, like Ringo Starr, Pink, Usher. It's sort of like a mockumentary.","I love mockumentaries, like ""Waiting for Guffman"" and all of Christopher Guest's movies.","",""
"3IYI9285WSURIDK1VKCE15J1GSLCJ6","36872VQHZ5WZBER2GPKVZN3ZMFF9MS","Create a dialog on comedy movies for ten sentences","Create a dialog on comedy movies for ten sentences","dialog, chat, movies, film, entertainment, fun, arts, conversation, writing, comedy, creative","$0.40","Mon Jun 19 10:42:26 PDT 2017","9","BatchId:2840982;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:42:26 PDT 2017","","","32VNZTT0A8Y87HOT0CK69IOR4I84RG","AEWPAZBYA7XE","Submitted","Tue Jun 20 14:22:19 PDT 2017","Tue Jun 20 14:24:28 PDT 2017","Fri Jun 23 14:24:28 PDT 2017","","","","129","100% (129/129)","100% (116/116)","100% (42/42)","0","Did you see the latest Dumb and Dumber?","You speak the truth!","Total waste.","Yeah, wish I had known.","They should have let the original stand.","You know studios can't help themselves.","Jim Carrey should have known better.","True, but what has he got going on these days.","Fair enough.","The first one was so good. How could a sequel stack up.","",""
