"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence2","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"356ZPKYPUHB07RO4MPZNVSXWSHHYPC","3EI427GH2XA057XYUL2TT8LJA4Z0VQ","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Thu Jun 22 00:36:44 PDT 2017","9","BatchId:2844892;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:36:44 PDT 2017","","","3018Q3ZVOJKN964A9DUXMLARX2RRAM","A1U37XNO6J1R9G","Approved","Thu Jun 22 16:23:00 PDT 2017","Thu Jun 22 16:33:49 PDT 2017","Sun Jun 25 16:33:49 PDT 2017","2017-06-25 23:34:08 UTC","","","649","100% (11/11)","100% (11/11)","100% (11/11)","0","I could watch Tangled every day of my life!","Yes, such a happy moment.","It is such an underrated movie!","I am Rapunzel! I just need the magical hair now.","Could you imagine having magical hair!","And having Flynn Rider being your boyfriend?","His smolder is the greatest.","And having little Pascal as a buddy.","I love the lantern scene when they are in the boat.","My favorite is when she is reunited with her family.","x",""
"356ZPKYPUHB07RO4MPZNVSXWSHHYPC","3EI427GH2XA057XYUL2TT8LJA4Z0VQ","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Thu Jun 22 00:36:44 PDT 2017","9","BatchId:2844892;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:36:44 PDT 2017","","","3BGYGHDBBYEH0JSLH8MHFVJL9M122T","A2Y23D9C3JIWGB","Approved","Fri Jun 23 03:00:16 PDT 2017","Fri Jun 23 03:09:14 PDT 2017","Mon Jun 26 03:09:14 PDT 2017","2017-06-26 10:10:08 UTC","","","538","100% (75/75)","100% (63/63)","100% (42/42)","0","I love how complex Disney movies are getting.","I didn't realize that.  It makes sense that two SNL alum would play such funny characters!","I think complexity was always present.  But now it's evolving.","That is what I meant.  Take the movie 'Inside Out,' for instance.","I thoroughly enjoyed that film.","The whole thing was an allegory for puberty and growing up in the world.","I never looked at it that way, but you're right.","The voice acting was also spot on.","Who were some of the actors and actresses?","Amy Poehler and Bill Hader were two of the main voices.","x",""
"356ZPKYPUHB07RO4MPZNVSXWSHHYPC","3EI427GH2XA057XYUL2TT8LJA4Z0VQ","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Thu Jun 22 00:36:44 PDT 2017","9","BatchId:2844892;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:36:44 PDT 2017","","","3I33IC7ZWGW65MNPUNFWLD2JK492A3","ATADQXPHL10Y8","Approved","Thu Jun 22 02:30:25 PDT 2017","Thu Jun 22 02:31:52 PDT 2017","Sun Jun 25 02:31:52 PDT 2017","2017-06-25 09:32:08 UTC","","","87","100% (431/431)","100% (261/261)","100% (213/213)","0","Hard to believe The Pacifier is a Disney film.","An action movie centered around a babys pacifier is not believable either","That does not surprise me one bit.","Why would you think that?","I mean think about the title.","I guess you could say that.","The Rock didnt do a bad job with it either.","He played a funny role.","It was a bit campy in all fairness.","Yeah I can see where you would say that.","x",""
"356ZPKYPUHB07RO4MPZNVSXWSHHYPC","3EI427GH2XA057XYUL2TT8LJA4Z0VQ","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Thu Jun 22 00:36:44 PDT 2017","9","BatchId:2844892;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:36:44 PDT 2017","","","3JWH6J9I9T77DIHAMKDC8CPNENRBNH","A3CKOLEQE7FP5H","Approved","Thu Jun 22 18:21:47 PDT 2017","Thu Jun 22 18:28:00 PDT 2017","Sun Jun 25 18:28:00 PDT 2017","2017-06-26 01:28:08 UTC","","","373","100% (4/4)","100% (4/4)","100% (4/4)","0","So what did you think about Frozen?","Meh. There was too much singing and all the songs get stuck in my head.","I was really surprised that Anna was more a main character than Elsa.","Yeah that was odd but Oloaf was my favorite.","Definatly. He was so funny. Some things he said when he was dreaming about summer.","Or when kristoff said ""I'm going to tell him""","Yeah that was funny too.","I still don't understand how all of a sudden she could contol her power at the end.","Yeah that was odd. And every one in the kingdom had turned on her and then poof everything is back to normal.","Yeah oh well I still think it was a good movie.","x",""
"356ZPKYPUHB07RO4MPZNVSXWSHHYPC","3EI427GH2XA057XYUL2TT8LJA4Z0VQ","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Thu Jun 22 00:36:44 PDT 2017","9","BatchId:2844892;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:36:44 PDT 2017","","","3KMS4QQVK3KWIT8NU97SZAZ4ZOFFKV","AEWPAZBYA7XE","Approved","Thu Jun 22 07:07:09 PDT 2017","Thu Jun 22 07:09:03 PDT 2017","Sun Jun 25 07:09:03 PDT 2017","2017-06-25 14:09:08 UTC","","","114","100% (270/270)","100% (217/217)","100% (183/183)","0","What is your favorite Disney flick?","True that!","Toy Story, for sure.","That was Pixar.","Disney owns Pixar.","Huh, seems like they trying to monopolize the movie industry.","They are a veritble Goliath.","How they've chaged since I was a kid.","Yeah, for better or worse.","In some ways better, some wasys worse.","x",""
"356ZPKYPUHB07RO4MPZNVSXWSHHYPC","3EI427GH2XA057XYUL2TT8LJA4Z0VQ","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Thu Jun 22 00:36:44 PDT 2017","9","BatchId:2844892;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:36:44 PDT 2017","","","3OXV7EAXLFKU32758ACPOI5PV5736Q","AKM6CK7MY7LOE","Submitted","Fri Jun 23 06:43:33 PDT 2017","Fri Jun 23 06:45:23 PDT 2017","Mon Jun 26 06:45:23 PDT 2017","","","","110","100% (149/149)","100% (120/120)","100% (82/82)","0","My son and I were talking about his favorite childhood movies.","That's cute.","Really, and he remembers them.","Some of them. He does remember his favorite.","What was that?","A Goofy Movie.","Do you mean Goofy as from Mickey Mouse.","Yes, but Goofy had his own movie.","I never knew that.","It was okay, but my son loved Goofy so we bought it.","x",""
"356ZPKYPUHB07RO4MPZNVSXWSHHYPC","3EI427GH2XA057XYUL2TT8LJA4Z0VQ","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Thu Jun 22 00:36:44 PDT 2017","9","BatchId:2844892;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:36:44 PDT 2017","","","3P59JYT76MEBKIMY0N6DGISB9ZS2TZ","A2RXPHOE9V9634","Approved","Thu Jun 22 15:33:17 PDT 2017","Thu Jun 22 16:14:04 PDT 2017","Sun Jun 25 16:14:04 PDT 2017","2017-06-25 23:14:08 UTC","","","2447","100% (3/3)","100% (2/2)","100% (2/2)","0","So have you told your girls about the new Frozen movie?","Well my girls can't wait to see Ana and Elsa","Yes I told them at dinner last night.","What did they think about it?","They were excited. They can hardly wait to see it.","I told Marsha about it but she didn't seem tto thrilled.","Oh really, why?","She says she's getting too old for movies like that.","She's only eleven years old, how can she be too old.","I don't know, you know kids growup so fast these days.","x",""
"356ZPKYPUHB07RO4MPZNVSXWSHHYPC","3EI427GH2XA057XYUL2TT8LJA4Z0VQ","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Thu Jun 22 00:36:44 PDT 2017","9","BatchId:2844892;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:36:44 PDT 2017","","","3RYC5T2D74NUWAACYWCUCGZMWNOPRV","AT2KU0YYNHSH6","Approved","Thu Jun 22 09:24:39 PDT 2017","Thu Jun 22 09:26:16 PDT 2017","Sun Jun 25 09:26:16 PDT 2017","2017-06-25 16:27:08 UTC","","","97","100% (7/7)","100% (7/7)","100% (7/7)","0","Did you hear that Moana is on Netflix now?","This is gonna be so fun!","No I didn't! That's exciting!","I agree, I've been wanting to see it.","Even better, we can watch it at home now!","Would you like to watch it together tonight?","Yes, I would enjoy that. I've heard the music is very good.","It is, Moana's song sounds good.","I want to hear the song the crab sings.","Oh yeah, I think it's called Shiny.","x",""
"356ZPKYPUHB07RO4MPZNVSXWSHHYPC","3EI427GH2XA057XYUL2TT8LJA4Z0VQ","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Thu Jun 22 00:36:44 PDT 2017","9","BatchId:2844892;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:36:44 PDT 2017","","","3X73LLYYQ28H4VKWMCN8UNSL9ZKNHV","A3RYTY3QHRXNIY","Approved","Thu Jun 22 08:05:59 PDT 2017","Thu Jun 22 08:18:13 PDT 2017","Sun Jun 25 08:18:13 PDT 2017","2017-06-25 15:19:08 UTC","","","734","100% (479/479)","100% (413/413)","100% (358/358)","0","Do you watch disney movies?","Yes, love your mother!","Yes my family and I love them","Mine too","Have you seen Brave?","Yes it was a good movie","Those three litlle boys were adorable as bear cubs","Yes they were","It was such a good movie","With a good message at the end","x",""
"3PKJ68EHDNQIZLVHHCQFCWGHTMYHJW","3EI427GH2XA057XYUL2TT8LJA4Z0VQ","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Thu Jun 22 00:36:44 PDT 2017","9","BatchId:2844892;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:36:44 PDT 2017","","","37TD41K0AI3N301L8GQTIQ5BJ7ZSCH","A14OPFM8OFA4WF","Approved","Thu Jun 22 18:35:56 PDT 2017","Thu Jun 22 18:40:24 PDT 2017","Sun Jun 25 18:40:24 PDT 2017","2017-06-26 01:41:08 UTC","","","268","100% (11/11)","100% (11/11)","100% (11/11)","0","I was watching Cars the other night, my favorite is still Sally.","That was sad and sweet at the same time.","I'm more partial to Doc. That scene where he puts on his old race tires and is my favorite.","That's when Lightening realizes that he was in the presence of greatness.","It was. The colors in that part of the film were amazing, and the blue on Doc, well...it reminded me so much of Paul Newman's eyes.","I just loved seeing Doc on the stand, at the race.","My favorite part in that scene was when Mator finally said goodbye.","Red, Lizzy and Sally gathered around that old black and white tv was adorable. I think they stayed behind for Lizzie.","I do too. She is a great character, I liked when she slapped that bumper sticker on Lightening.","Me too! And, when she said goodnight to Stanley.","x",""
