"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence2","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"3G57RS03HHZ6DWDE9PJEOIRAM6Q52T","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","33PPUNGG39ZOAECIL5AW3E106UDRZG","AD014490IELW8","Submitted","Mon Jun 26 13:43:39 PDT 2017","Mon Jun 26 13:54:54 PDT 2017","Thu Jun 29 13:54:54 PDT 2017","","","","675","100% (19/19)","100% (19/19)","100% (19/19)","0","I can't get that song ""Let it Go"" out of my head, and the movie Frozen came out years ago!","But it was totally funny. And super catchy.","Maybe by the time the new one comes out you will have a new song in your head!","I wasn't even a big fan of the movie.  It definitely wasn't my favorite Disney movie.","It wasn't my favorite, but I did not see the plot twist with Hans coming.","I totally thought he was a good guy the whole time!  I loved Kristoff though so I'm not mad.","Olaf was pretty cute too.  His song made me crack up.","He had some of the best lines in the movie!","I did love the song with the rock trolls though, it was pretty cute.","That scene was great!  But I would feel totally awkward if that was me.","x",""
"3G57RS03HHZ6DWDE9PJEOIRAM6Q52T","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","33TIN5LC054I1O6RV28RYMS4UEAY9G","A2XHHILT60PH3H","Submitted","Mon Jun 26 14:18:42 PDT 2017","Mon Jun 26 14:22:29 PDT 2017","Thu Jun 29 14:22:29 PDT 2017","","","","227","100% (11/11)","100% (11/11)","100% (11/11)","0","Who is your favorite superhero?","Yea he was hilarious. Easily my favorite sidekick of all time.","Mulan.","Mulan from the Disney movie?","Yea, she's pretty much a superhero plus she's my favorite princess.","What makes her a superhero?","Well she's super stealthy, and took out like an entire army. Plus she has a dragon.","Oh right! The one voiced by Eddie Murphy. What was his name again?","Mushu.","Right! He was awesome.","x",""
"3G57RS03HHZ6DWDE9PJEOIRAM6Q52T","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","34S6N1K2ZWDRGVHBAZ7THVOW4DMLHB","AQH6FQJVOPNBY","Submitted","Mon Jun 26 15:12:30 PDT 2017","Mon Jun 26 15:16:08 PDT 2017","Thu Jun 29 15:16:08 PDT 2017","","","","218","0% (0/0)","0% (0/0)","0% (0/0)","0","You know in Snow White, does she just break into a random house.","Yeah that was really weird but it's not like she had anywhere else to go due to the aforementioned homicidal witch.","Yes.","And then doesn't she just act like its her house and sleeps in the first bed she finds despite the fact there are clearly already occupants.","Yes.","That's so rude.","Yeah but she was really tired and had a hard day running away from a homicidal witch.","True.","Something that did always bother me was how chilled the dwarves were to find a trespasser.","Didn't they just make her their maid or something.","x",""
"3G57RS03HHZ6DWDE9PJEOIRAM6Q52T","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","35GCEFQ6I6IWRCRGAF90LGYK0GOZ3B","AZEVSTNXMQOM6","Submitted","Mon Jun 26 13:22:43 PDT 2017","Mon Jun 26 13:24:19 PDT 2017","Thu Jun 29 13:24:19 PDT 2017","","","","96","100% (7/7)","100% (5/5)","100% (5/5)","0","Do you like the new Disney movies?","Also, Aladdin. The genie was so funny.","Like Frozen? Not really.  I  like some of the earlier stuff, like Mulan.","That was a great movie- girl power!","Yes, although the really early ones, like Snow White and Cinderella were about rescuing the princess!","They were old fashioned-but the music was great in Snow White","Although when I was a kid Bambi made me so sad.","It still makes me sad, and so does Dumbo.","You know what else I like? Pocahontas.","I love that one.  Colors of the Wind is a great song!","x",""
"3G57RS03HHZ6DWDE9PJEOIRAM6Q52T","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","3AQF3RZ559CPJENYS5DRPRUMY3R6FX","A1WBGYZ6Y8NJ9","Submitted","Mon Jun 26 16:16:37 PDT 2017","Mon Jun 26 16:17:20 PDT 2017","Thu Jun 29 16:17:20 PDT 2017","","","","43","100% (484/484)","100% (441/441)","100% (386/386)","0","Hey","I guess","Hey man","Disney is getting good with releases","Have they always been though","Eh","What?","Sometimes they were bad","How","They took forever","x",""
"3G57RS03HHZ6DWDE9PJEOIRAM6Q52T","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","3R6P78PK7L51ZCU5Z2R2IMMCJQUGT9","ANELWTCGZNFHI","Submitted","Mon Jun 26 14:59:50 PDT 2017","Mon Jun 26 15:13:37 PDT 2017","Thu Jun 29 15:13:37 PDT 2017","","","","827","0% (0/0)","0% (0/0)","0% (0/0)","0","Hey! Have you ever seen 'Finding Dory'?","Nice, let's plan to watch it this weekend.","No, I still haven't watched it. Did you like it?","Yes, It's one of my favorite movies- lets watch it sometime together.","Yeah, that would be great!","Ellen Degeneres voices the character Dory, and Ty Burrell voices a beluga whale named Bailey.","Oh, cool. I love Ellen! Did you like this movie as much as Finding Nemo?","I actually liked it a little better than Finding Nemo if you can believe it!","Awesome, now I'm really excited to see it.","Yes, I just loved the story and message about family. Great for adults and children.","x",""
"3G57RS03HHZ6DWDE9PJEOIRAM6Q52T","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","3RU7GD8VPPN6XPAPDLCZ2Q4IIX0SPV","A2BJULD0NVFD30","Submitted","Mon Jun 26 14:37:50 PDT 2017","Mon Jun 26 14:45:34 PDT 2017","Thu Jun 29 14:45:34 PDT 2017","","","","464","0% (0/0)","0% (0/0)","0% (0/0)","0","hey do you want to go swimming with me?","the bad guys will never succeed, but once i become a mermaid ill talk to you about swimming","no ill have to pass im not very good at swimming","oh that sucks to hear, i can teach you","possibly but ill just wish so i can become a mermaid","oh wow, like ariel?","yes from the little mermaid, i love that movie","it sounds like you do, but it was a good movie","yes i just hated the bad lady ursula","oh yeah she was up to no good","x",""
"3G57RS03HHZ6DWDE9PJEOIRAM6Q52T","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","3S4AW7T80CCX4JTGVSNAN6FSZ8XL4M","A1EX951NW7YPG6","Submitted","Mon Jun 26 14:43:16 PDT 2017","Mon Jun 26 14:45:58 PDT 2017","Thu Jun 29 14:45:58 PDT 2017","","","","162","100% (20/20)","100% (20/20)","100% (20/20)","0","The Mighty Ducks made me want to play hockey","I need to watch that movie again soon !","same here! I did play hockey in middle school","what type? was it ice hockey or floor hockey","I played floor hockey, I have also played ice hockey, it is fun","I liked how the team did so well but started out rough","so did I , they really worked hard for what they got","hockey is a rough sport though, lots of injuries","remember that big kid on their team?","Yes, he was in charge of knocking people over","x",""
"3G57RS03HHZ6DWDE9PJEOIRAM6Q52T","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","3XXU1SWE8NPZ9CKBF0BI2P94OKKA0F","APF1EAZT104LQ","Submitted","Mon Jun 26 15:02:22 PDT 2017","Mon Jun 26 15:28:57 PDT 2017","Thu Jun 29 15:28:57 PDT 2017","","","","1595","100% (290/290)","100% (283/283)","100% (241/241)","0","Who is the most beautiful Disney princess?","She has a beautiful voice as well.","Ariel","Really?","Yes. I love her","What about Belle?","Belle is beautiful too. But, my number one is Ariel","She is a great character","I love her red hair","Yeah, that is very unique","x",""
"3UQ1LLR26A29KOB3ERS0BP65KKIALT","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","32SVAV9L3G3VQ4J8YNT14N7BRW8A3E","A2SNX8GORIS8FN","Submitted","Mon Jun 26 15:35:02 PDT 2017","Mon Jun 26 15:37:16 PDT 2017","Thu Jun 29 15:37:16 PDT 2017","","","","134","100% (47/47)","100% (29/29)","100% (24/24)","0","There's something about Aladdin that is just so charming.","We should totally watch Aladdin this weekend.","Truly one of the best Disney movies, no contest.","I love Aladdin and Jasmin as characters and the animation is so great.","Really good setting for a film too, we don't get many of those.","Agreed, especially in a children's animation.","Jafar is one of my favorite villains, so sinister looking.","Indeed, the movie has a great balance of characters.","Yeah and we're even forgetting the best of all, can you guess it?","The genie, man, how can I not guess it?","x",""
