"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence11","Answer.sentence12","Answer.sentence13","Answer.sentence14","Answer.sentence15","Answer.sentence16","Answer.sentence17","Answer.sentence18","Answer.sentence19","Answer.sentence2","Answer.sentence20","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"31JUPBOORNYV10IOHT8MFY0ATW2L8J","3XMLB3JQD71MPW3MVHOMRZA2U6IK0E","Create a dialog on fashion for twenty sentences","Create a dialog on fashion for twenty sentences","dialog, chat, fashion","$0.40","Tue May 09 07:36:27 PDT 2017","9","BatchId:2796411;OriginalHitTemplateId:920937340;","7200","259200","Thu May 11 08:32:30 PDT 2017","","","32SVAV9L3G3VQ4J8YNT14N7ANCU3AJ","A3UNUH7D8FKJ3L","Approved","Thu May 11 08:28:00 PDT 2017","Thu May 11 08:41:46 PDT 2017","Sun May 14 08:41:46 PDT 2017","Thu May 11 08:49:21 PDT 2017","","","826","100% (2/2)","100% (2/2)","100% (2/2)","0","Have you ever heard of the brand ripndip?","I agree with that. H&m is more comfortable and easier to wear.","I think you should wear h&m if you are trying to dress casually","Well i think ripndip could be worn casually as well.","Yes i agree, whats your opinion on nike?","I love nike, nike is an anytime kind of clothing.","Absolutely. I wear nike almost all the time wherever i go.","i do not wear it THAT much, but it is good.","Have you thought about buying more clothes from them?","I think about it sometimes, but its so expensive.","yeah it is pretty expensive, you should buy it from a secondary source","Is that with the alien and the pockets?","i will try, thank you very much","Yes thats the one, do you like it?","I think its okay, its a little childish to me.","I think its supposed to represent being free, not connected.","Yeah i guess, do you know of any other brands?","I think the store h&m is very good, nice clothes","Yes! i've shopped there many times and i have a lot of clothing from them","I know, its a little more mature than ripndip i think.","",""
"31JUPBOORNYV10IOHT8MFY0ATW2L8J","3XMLB3JQD71MPW3MVHOMRZA2U6IK0E","Create a dialog on fashion for twenty sentences","Create a dialog on fashion for twenty sentences","dialog, chat, fashion","$0.40","Tue May 09 07:36:27 PDT 2017","9","BatchId:2796411;OriginalHitTemplateId:920937340;","7200","259200","Thu May 11 08:32:30 PDT 2017","","","3N2BF7Y2VROBMDZWAB88H83K0PDHMI","AUV22AP8KIWK8","Approved","Wed May 10 18:50:07 PDT 2017","Wed May 10 18:58:59 PDT 2017","Sat May 13 18:58:59 PDT 2017","Thu May 11 00:16:40 PDT 2017","","","532","100% (2/2)","100% (2/2)","100% (2/2)","0","Who is your favorite supermodel?","Wait, I change my favorite. I forgot about Iman.","Oh yes, Iman was stunning like a queen.","Yes, she's my favorite 1970s model. Wait though, you wanted me to name Americans.","It's okay. You can name Somalian models.","Talking about African models, I love Liya Kebede for a modern-day model.","Where in Africa is Liya from?","She's from Ethiopia. I think she did Revlon ads.","I wonder if Iman did Revlon ads. I did see her back in the 90s promoting her make-up line at the mall.","Yes, I remember that make-up line. It was a line geared to minority skin tones.","Yes, I guess Iman's line was like MAC.","Bruna Tenorio is my favorite.","I heard MAC make-up caters more to diverse racial and ethnic skin tones compared to other make-up lines.","I've never heard of Bruna Tenorio. What is she like?","She's a gorgeous exotic waifish Brazilian model with a long neck.","Kate Moss was my favorite waif model. Adriana Lima is my favorite Brazilian model.","I like Adriana too. Bruna is just not that famous.","What about American models? Which American ones do you like?","For the 1970s models, I like Janice Dickenson. She was so exotic.","Janice was gorgeous. Marisa Berenson was my favorite from that decade though.","",""
"31JUPBOORNYV10IOHT8MFY0ATW2L8J","3XMLB3JQD71MPW3MVHOMRZA2U6IK0E","Create a dialog on fashion for twenty sentences","Create a dialog on fashion for twenty sentences","dialog, chat, fashion","$0.40","Tue May 09 07:36:27 PDT 2017","9","BatchId:2796411;OriginalHitTemplateId:920937340;","7200","259200","Thu May 11 08:32:30 PDT 2017","","","3TY7ZAOG5GE5LPTXRRO7W3CZPN60KO","A1VVY6OM5X5N0C","Approved","Tue May 09 16:27:59 PDT 2017","Tue May 09 17:05:11 PDT 2017","Fri May 12 17:05:11 PDT 2017","Wed May 10 00:50:36 PDT 2017","","","2232","100% (2/2)","100% (2/2)","100% (2/2)","0","So who do you think will be on the Met Gala worst dressed list","I like the fullness of it and how it fluttered in the wind","It was refreshing to see her go in opposite direction of what she typical wears","I loved the Moroccan inspired vibe it gave.","With her hair in that high pony tail and the dress it seemed like she was a genie.","Her jewelry was just right.","On the other hand I really loved Zendayas Marchesa gown.","The floral pattern was gorgeous.","Especially against the red bright red silk background","The background really made the dress pop","The fullness of the dress, without any slits was so chic.","I am definitely putting my vote in for Solange and her dress coat","She really has a chic, edgy way with fashion","The designer of her dress was Calvin Klein","I think the dress is a miss this year.","Although I somewhat admire her fashion bravery","She does take a stand, especially with this black Patent leather dress.","I also have to say that Jennifer Lopez' dress did not live up to expectation","I kind of agree but the color of the Oscar De Larenta dress was beautiful","I just thought the cut of the dress was unflattering","",""
"31JUPBOORNYV10IOHT8MFY0ATW2L8J","3XMLB3JQD71MPW3MVHOMRZA2U6IK0E","Create a dialog on fashion for twenty sentences","Create a dialog on fashion for twenty sentences","dialog, chat, fashion","$0.40","Tue May 09 07:36:27 PDT 2017","9","BatchId:2796411;OriginalHitTemplateId:920937340;","7200","259200","Thu May 11 08:32:30 PDT 2017","","","3XXU1SWE8NPZ9CKBF0BI2P93J77A05","A27HDPRLE3Q24K","Approved","Tue May 09 10:29:00 PDT 2017","Tue May 09 10:34:45 PDT 2017","Fri May 12 10:34:45 PDT 2017","Tue May 09 11:09:19 PDT 2017","","","345","75% (3/4)","75% (3/4)","75% (3/4)","0","How come 90's fashion is coming back?","God! That was a terrible look.","Can't believe our parents let us do that.","It was the in thing to do.","Why do they have to bring it back though?","Next thing you know we will all be looking like we just came off the set of Buffy","Lord, please no.","Lisa Frank will come back into style.","Can you even imagine?","Everyone walking around looking like crap","Someone has to do something.","Right?! I thought I would never see this come again.","You first.","Honestly. It's the worst.","I know. I saw a velore shirt the other day.","Well, I saw raised sandels.","I don't know what peeople are thinking","It's not like the stuff was cute even when we were wearing it.","I know!!! I don't care what anyone says. Those boob stripe shirts were awful.","Or how about wearing dresses that literally looks like lengire?","",""
"3HRWUH63QUW22I27V8HYG6U8W125N4","3XMLB3JQD71MPW3MVHOMRZA2U6IK0E","Create a dialog on fashion for twenty sentences","Create a dialog on fashion for twenty sentences","dialog, chat, fashion","$0.40","Tue May 09 07:36:27 PDT 2017","9","BatchId:2796411;OriginalHitTemplateId:920937340;","7200","259200","Thu May 11 08:32:31 PDT 2017","","","337RC3OW06WWYWCVFOOXWWF48VVVL9","A30KJAZCNCECX2","Approved","Wed May 10 10:07:58 PDT 2017","Wed May 10 10:52:50 PDT 2017","Sat May 13 10:52:50 PDT 2017","Wed May 10 12:59:03 PDT 2017","","","2692","80% (4/5)","80% (4/5)","80% (4/5)","0","Did you see the photos of everyone's outfits from the Met Gala?","Yeah. But that's society for you.","Do you remember Taylor swift's look from the last met gala?","The metallic dress with the lace up shows, platinum blonde hair and lipstick?","Yeah, that one. I can't decide if I liked it or hated it.","She coordinated well with Zayn, even though they weren't there together.","Yeah. With his bionic arm. I think the Hadid sisters had diamonds in their manicure.","Of course they did.","I am really a fan of long, flowy dresses that are simple and timeless.","I think anything can look good as long as the person is happy in it.","Selena and The Weeknd looked interesting.","Yes! Rihanna definitely stole the show there.","Her outfit made her look very young,","I agree. Did you see the exchange she had with Zendaya?","No, what happened?","She posted a photo of Zendaya's beautiful dress and called her a goddess.","Aw, that's so sweet. What other dresses did you like?","So many of them. I didn't like any of the Kardashian's though.","I agree. I wasn't a huge fan.","I think it's interesting to see the lengths to which female celebrities dress up, and  the men just wear standard suits.","",""
"3HUR21WDDUJ5G0QV8G94P5JZTKFXYV","3XMLB3JQD71MPW3MVHOMRZA2U6IK0E","Create a dialog on fashion for twenty sentences","Create a dialog on fashion for twenty sentences","dialog, chat, fashion","$0.40","Tue May 09 07:36:27 PDT 2017","9","BatchId:2796411;OriginalHitTemplateId:920937340;","7200","259200","Thu May 11 08:32:31 PDT 2017","","","37ZHEEHM6XGD72LARKHHUW5KMPU374","A2CC7ZAK1ZULHR","Approved","Wed May 10 08:19:38 PDT 2017","Wed May 10 08:36:21 PDT 2017","Sat May 13 08:36:21 PDT 2017","Wed May 10 12:59:03 PDT 2017","","","1003","100% (4/4)","100% (4/4)","100% (4/4)","0","I need help choosing a dress for the wedding next weekend. Can you go shopping with me on Friday?","Oh no, you'd better pick me up at three. We're going to have to go shoe shopping too!","But I wasn't planning on buying shoes too!","You cannot wear a short sexy dress with low heels! Short dresses draw attention to your legs!","This wedding invitation is becoming expensive. Maybe I just won't go...","No, no, no. Relax! I know a great store for dresses that always has good sales.","Don't you have a dress or a pair of shoes I can borrow? You go out a lot.","Actually, yeah, I do! Now that I think about it, I have the perfect dress for you!","What color is it?","It's a sassy red! It'll look great on you!","Are you sure? Sassy red? That sounds a bit extravagant for me, don't you think?","Yeah, sure! I love shopping for dresses! What time do you want to go?","Don't worry. Leave it to me. Come on over tonight after work.","Around five. I'll pick you up.","Sounds great! So, are you thinking about using a long dress or short dress?","Well, I'm not quite sure but I think a long dress will look more elegant, considering the occasion. Don't you think?","True. Long dresses do look more elegant but a short dress will draw more attention from the single bachelors!","Oh yeah! I didn't think about that! Maybe I should buy a short dress instead.","Do you have a nice high heel pair of shoes?","Uhm, I have a pair of shoes with heels but they're not very high.","",""
"3HUR21WDDUJ5G0QV8G94P5JZTKFXYV","3XMLB3JQD71MPW3MVHOMRZA2U6IK0E","Create a dialog on fashion for twenty sentences","Create a dialog on fashion for twenty sentences","dialog, chat, fashion","$0.40","Tue May 09 07:36:27 PDT 2017","9","BatchId:2796411;OriginalHitTemplateId:920937340;","7200","259200","Thu May 11 08:32:31 PDT 2017","","","3D4CH1LGEBNIFXLR1WMLRMLZLYGG9M","A5JTJGAPTDSEK","Approved","Thu May 11 06:42:24 PDT 2017","Thu May 11 06:46:08 PDT 2017","Sun May 14 06:46:08 PDT 2017","Thu May 11 08:26:50 PDT 2017","","","224","100% (2/2)","100% (2/2)","100% (2/2)","0","If you could have only one outfit, what would it be?","But is it really a good idea to walk around in boots all the time?","No. But you CAN walk around in boots all the time. That's the point.","Ahh right. For me, I'd probably choose this shirt, jeans, and a coat.","What coat?","Well, probably a peacoat.","But wouldn't you get hot?","Huh? I don't have to wear the this outfit all the time, do I?","Ahhh, you're right. You don't.","For shoes, I feel like normal tennis shoes are pretty flexible.","Really?","What do you mean?","Yeah, I wear those during the winter even. They're great.","I mean if you threw out all your clothes, but could only keep one outfit, what would you keep?","Ahh, right. That's a challenge. I need a moment to think about it.","No problem. For me, though, I think I'd keep my shirt, jeans, and also one coat.","Which coat?","Probably my trench coat. I think I can get away with wearing that in any weather.","Ahhh, right. Outerwear is often more flexible.","For shoes, I think I'd have to pick boots. You can also wear those in any weather.","",""
"3HUR21WDDUJ5G0QV8G94P5JZTKFXYV","3XMLB3JQD71MPW3MVHOMRZA2U6IK0E","Create a dialog on fashion for twenty sentences","Create a dialog on fashion for twenty sentences","dialog, chat, fashion","$0.40","Tue May 09 07:36:27 PDT 2017","9","BatchId:2796411;OriginalHitTemplateId:920937340;","7200","259200","Thu May 11 08:32:31 PDT 2017","","","3M0NZ3JDP2SZ5REKOYXT0DW3A375ZB","A2XJAGYVNVPCP0","Approved","Tue May 09 13:42:02 PDT 2017","Tue May 09 15:22:58 PDT 2017","Fri May 12 15:22:58 PDT 2017","Wed May 10 00:50:36 PDT 2017","","","6056","100% (13/13)","100% (13/13)","100% (13/13)","0","Have you seen the Jennifer Lawrence Dior handbag ad?","The one in which she is wearing a pink sweater and that white coat?","Those outfits she was wearing in those ads are stunning.","Yeah, she can make dirt look good.","Did you notice that big bracelet she had on?","Yeah. I was wondering if it was real.","With all the money she makes, I bet it is.","I guess. It sure was big enough in any case.","What did you think of the sleeves on that shirt/ dress?","The kinda reminded me of bell bottoms.  I liked them.","I'm trying to remember if she was wearing any other jewelry in that ad.","I'm not sure. Is that the one where she is wearing a white sweater?","I don't think she was. I just remember that huge gold looking bracelet.","Finally. Someone who also thinks her outfit was weird.","Baby, you are not the only one. What was that anyway?","While she is hanging it over the back of a white sofa. Yes that's the one.","I just love that black bag!","So do I, but my purse doesn't.","Tell me about. Designer prices are getting out of hand.","That small red bag she was holding in another ad has my name all over it.","",""
"3UL5XDRDNCDHZBF3P6SFY94D76385J","3XMLB3JQD71MPW3MVHOMRZA2U6IK0E","Create a dialog on fashion for twenty sentences","Create a dialog on fashion for twenty sentences","dialog, chat, fashion","$0.40","Tue May 09 07:36:27 PDT 2017","9","BatchId:2796411;OriginalHitTemplateId:920937340;","7200","259200","Thu May 11 08:32:31 PDT 2017","","","3FTF2T8WLSCECJBRG1Q3DP7NF8YW91","A2C27YTQSQ1GXS","Approved","Wed May 10 07:44:14 PDT 2017","Wed May 10 07:56:02 PDT 2017","Sat May 13 07:56:02 PDT 2017","Wed May 10 12:59:03 PDT 2017","","","708","100% (5/5)","100% (5/5)","100% (5/5)","0","Which Italian fashion designer launched the first virtual online museum in December 2011?","I think I read somewhere that twiggy was","Do you happen to know the headquarters of fashion house Hardy Amies is in which London street?","I believe that Savile Row is where the headquarters is located","Shantung is a type of which fabric?","I use that all the time. The answer to that is silk","Which Italian-born fashion designer introduced the colour ‘Shocking Pink’ in 1936?","Elsa Schiaparelli is the one who introduced the colour.","Actress Brooke Shields modelled jeans for which designer in the 1980's?","I happen to be a fan. She modelled Calvin Klein.","On which part of the body would a terai be worn?","Valentino was the fashion designer that launched the first virtual online museum","They are supposed to be worn on your head","Where did you get those new sandals","Payless was having a sale. So I went and got these","Vestiophobia is the irrational fear of which items?","I heard that it is the fear of clothes. Crazy right!","Achille Maramotti founded which Italian fashion house in 1951?","I'm pretty sure it was Max Mara","Which British model was named ‘The Face of '66' by the Daily Express newspaper?","",""
"3XU9MCX6VO6VIJBC6WWHRJW6DO02RO","3XMLB3JQD71MPW3MVHOMRZA2U6IK0E","Create a dialog on fashion for twenty sentences","Create a dialog on fashion for twenty sentences","dialog, chat, fashion","$0.40","Tue May 09 07:36:27 PDT 2017","9","BatchId:2796411;OriginalHitTemplateId:920937340;","7200","259200","Thu May 11 08:32:32 PDT 2017","","","354GIDR5ZC038ZMTNYEPDJXQBDO00I","A3CASL9TO35MI6","Approved","Thu May 11 06:26:35 PDT 2017","Thu May 11 06:39:40 PDT 2017","Sun May 14 06:39:40 PDT 2017","Thu May 11 08:26:51 PDT 2017","","","785","100% (2/2)","100% (2/2)","100% (2/2)","0","Who wore it better on the red carpet, Jessica Findlay or Andie MacDowell?","Yea I guess Jessica's dress does look more red carpet and Andie's looks more like a ball gown","I just think Andie's has to much fabric . The bottom looks heavy and plain.","Yea Jessica's dress is more slimming.","It's a more modern style too!","Well she is much younger","That's true, I think both dresses look beautiful given each individual's style, but I personally like Jessica's better","Yea I guess if I was to wear one I would probably wear Jessica's, I think they're both nice though.","They're probably both equally as expensive too","oh definitely! I couldn't wear them even if I wanted to","That scarlet color is really gorgeous and would look great on you though!","I personally liked Andie MacDowell's dress better.","Yea I really love the color, it's extremely eye-catching","I like Jessica's dress better, its more fitted and gives a lot more shape than Andie's dress.","But the black belt on Andie's really ties the whole dress together.","I think the black belt reminds me too much of a kid's dress.","Really? I think its a really good accent and allows the bottom of the dress to flare nicely.","I just like the black straps on Jessica's dress more. I think its a much more subtle statement.","Yea it's nice, but I guess I just like more of a statement. I think belts look more professional","Exactly! This is red carpet not a business ball!","",""
