"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence11","Answer.sentence12","Answer.sentence13","Answer.sentence14","Answer.sentence15","Answer.sentence16","Answer.sentence17","Answer.sentence18","Answer.sentence19","Answer.sentence2","Answer.sentence20","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"3XAOZ9UYRZLOHXEGAD73HACWP0G1Q9","3VXAMLAOARX8BVHYY0AHHLLJ4HKZFJ","Create a dialog on fashion for twenty sentences","Create a dialog on fashion for twenty sentences","dialog, chat, fashion","$0.50","Sat May 13 04:14:53 PDT 2017","9","BatchId:2801524;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:14:53 PDT 2017","","","373ERPL3YP2SO23JFDLEHQ0JIW9RTB","AVFEF3TMBLERO","Rejected","Sat May 13 13:30:47 PDT 2017","Sat May 13 13:31:37 PDT 2017","Tue May 16 13:31:37 PDT 2017","","Sun May 14 05:11:21 PDT 2017","Unfortunately you keep submitting multiple identical HITs. Copy-pasting will not be accepted.","50","29% (11/38)","29% (11/38)","29% (11/38)","0","Who was the best dressed at the Met Gala?","Yes but I fell in love with Adele and that sunday hat she wore that was done to match her Vera Wang dress.","Vera Wang definitely knows who will wear her dresses to impress","I am amazed to see Pharrel rocking that Tommy Hilfiger outfit","That truly was bold, but not as bold as the sweat suit Snoop Dogg put on with a gold chain.","Terrance Howard looks hansome in his Dolce and Gobana suit wearing money green.","This is truly an eye opener when it comes to the fashion industry tonight","Yes everyone is out in their Sunday best tonight","I love how John Legend and his wife are matching in their jewelry full of diamonds and emeralds tonight.","Clearly that was his wife who decided that they needed to shine bright tonight","What a great show we are seeing tonignt at the Met Gala right?","It was a tough match between Rhianna and Beyonce!","Yes this is truly a sight to see.","As far as wearing red goes, Lady Gaga takes the cake!","Yes and so did Taraji P Henson wearing that Oscar de la renta gown!","I think that Vivica A. Fox nailed it with that gold and blue Giorgio Armani dress.","Yes and doesnt Blakely Lively just rock that feather duster looking green dress?","I truly cannot get enough of the men and their suits.","Yes Brad Pitt surely outdid himself this year with his stylish  Gucci shoes that offset his pink suit","Did you see how Jay-Z  complimented Beyonce so well with his all white tux and orange bow tie?","",""
"3XAOZ9UYRZLOHXEGAD73HACWP0G1Q9","3VXAMLAOARX8BVHYY0AHHLLJ4HKZFJ","Create a dialog on fashion for twenty sentences","Create a dialog on fashion for twenty sentences","dialog, chat, fashion","$0.50","Sat May 13 04:14:53 PDT 2017","9","BatchId:2801524;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:14:53 PDT 2017","","","38SKSKU7R2RRCQSVGHPEH7PB1X2LIG","A3RYTY3QHRXNIY","Approved","Wed May 17 07:21:54 PDT 2017","Wed May 17 07:35:16 PDT 2017","Sat May 20 07:35:16 PDT 2017","Wed May 17 08:58:50 PDT 2017","","","802","100% (17/17)","100% (17/17)","100% (8/8)","0","Hi","I prefer to wear summer dresses and rompers in the summertime.","I always wear jeans, sandals, and tank tops. It's my favorite fashion statement.","That sounds cute, I do it when I got out, but not all the time.","Sometimes I wear leggins, with a tunic, when I want to look cute, but comfortable.","I love leggings, I'm pretty sure I have a pair in every color.","I only have black and brown. I don't like the pattern ones.","I like them. I have these camp leggings and I have a super cute black shirt that I wear with them.","That sounds like it looks good. I wanted to get a geometric design once, but I couldn't find a shirt I liked with them.","To pull it off it has to be a solid color shirt, it can't have anythng on it","Yea, I have trouble finding solid color shirts I like.","Hi, do you like fashion?","I have a pink pattern leggings and I wear a solid white shirt. Love it.","Yes I try and stay on top of the latest trends.","Me too, I just bought another romper.","Oh, I love rompers, I have one in black with pink flowers on it.","The one I just got is white, I love it. I got matching sandals too.","That sounds cute, I've been wanting a white romper.","I just got a pair of skinny jeans, with holes in them too, from Hollister.","I love their jeans, I have so many from there.","",""
"3XAOZ9UYRZLOHXEGAD73HACWP0G1Q9","3VXAMLAOARX8BVHYY0AHHLLJ4HKZFJ","Create a dialog on fashion for twenty sentences","Create a dialog on fashion for twenty sentences","dialog, chat, fashion","$0.50","Sat May 13 04:14:53 PDT 2017","9","BatchId:2801524;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:14:53 PDT 2017","","","3DYGAII7PM2UK9VCLHNU7QPHX7CPQT","A30S0F0TASNUJH","Approved","Sun May 14 14:12:53 PDT 2017","Sun May 14 14:25:05 PDT 2017","Wed May 17 14:25:05 PDT 2017","Mon May 15 02:19:42 PDT 2017","","","732","100% (12/12)","100% (12/12)","100% (12/12)","0","1990s fashion is really making a comeback right now.","I read that track pants are coming back into fashion as well.","Like the ones that Sporty Spice used to wear?","Yes, Rihanna just released similar track pants for her Fenty collection.","I'm definitely not attached to the track pants style.","I could take it or leave it.","I love the cuffed jeans style that is back now though.","Me too, I love a nice fitting pair of boyfriend jeans with a cuff at the bottom.","Yes, with a tank top and button down shirt.","Or a sweater, something that hangs nicely. Nothing too fitted.","That's one of my favorite outfits.","I know, it's really popular and shows no signs of slowing down.","Me too, through on a pair of converse sneakers and you're good to go.","I'm seeing a lot of neon accents and slip dresses.","Me too, Michelle Williams just recently wore a lace Louis Vuitton slip dress.","Remember Courtney Love used to always wear them with tiaras?","Yes, she really grunged it up.","A bob haircut with bangs is popular again too.","Drew Barrymore had the coolest bob and bangs combo in the 90s.","Taylor Swift has the bob and bangs combo hairstyle now.","",""
"3XAOZ9UYRZLOHXEGAD73HACWP0G1Q9","3VXAMLAOARX8BVHYY0AHHLLJ4HKZFJ","Create a dialog on fashion for twenty sentences","Create a dialog on fashion for twenty sentences","dialog, chat, fashion","$0.50","Sat May 13 04:14:53 PDT 2017","9","BatchId:2801524;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:14:53 PDT 2017","","","3LUY3GC630UKERQXPIEO7Z8MSHW7PP","A3OWGVIP4VYSPV","Approved","Sat May 13 16:37:13 PDT 2017","Sat May 13 16:40:58 PDT 2017","Tue May 16 16:40:58 PDT 2017","Mon May 15 02:19:43 PDT 2017","","","225","100% (33/33)","100% (33/33)","100% (27/27)","0","Want to help me design a dress for a competition I'm going to be in?","Do you actually sew it or just design it?","You actually make it.","Let's use something summery then, a light fabric.","I agree. Watermelon is a summer thing.","Yes. Want to go to the store for the materials together?","Yes. The deadline is in 30 days.","I can go whenever.","We need material and something for the black trim.","Not lace.","No, maybe just another kind of material.","Sure. Any special criteria?","This is going to be the cutest dress.","No. It can be any dress.","How about doing something with these cool watermelon shaped buttons I have?","Those are so cool? Where did they come from?","I saw them at a craft shop but never used them after I bought them. You may have them.","Thanks so much. They're so cute.","You're welcome. Let's do a red dress with some kind of black trim and those buttons.","That sounds amazing.","",""
"3XAOZ9UYRZLOHXEGAD73HACWP0G1Q9","3VXAMLAOARX8BVHYY0AHHLLJ4HKZFJ","Create a dialog on fashion for twenty sentences","Create a dialog on fashion for twenty sentences","dialog, chat, fashion","$0.50","Sat May 13 04:14:53 PDT 2017","9","BatchId:2801524;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:14:53 PDT 2017","","","3NPI0JQDAPZ7CPN42LHPCV04HOIPTY","A3UJVTH2ZKYBGU","Approved","Wed May 17 07:05:04 PDT 2017","Wed May 17 07:11:08 PDT 2017","Sat May 20 07:11:08 PDT 2017","Wed May 17 08:59:05 PDT 2017","","","364","100% (13/13)","100% (13/13)","100% (13/13)","0","Have you bought new white t shirts lately?","Nice, so do mine.","Does your neck line stretch out?","Yeah, it's a problem I have.","Mine to.","How long does it take for that to happen?","Maybe 15 washes.","That sounds about right.","Do you know of any other brand?","Not really? How about you?","Yeah, Simmons white.","Yes,I just did.","Thanks I'll check them out.","What kind did you buy?","I bought the Hanes brand.","I use the fruit of a loom.","How do you like them?","I like the way they feel after a free washes.","Oh yeah, how about the color.does it go yellow?","No they stay white.","",""
"3XAOZ9UYRZLOHXEGAD73HACWP0G1Q9","3VXAMLAOARX8BVHYY0AHHLLJ4HKZFJ","Create a dialog on fashion for twenty sentences","Create a dialog on fashion for twenty sentences","dialog, chat, fashion","$0.50","Sat May 13 04:14:53 PDT 2017","9","BatchId:2801524;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:14:53 PDT 2017","","","3OB0CAO74IJBGUOATEWJB3QSAPVYHC","A14HQNH7COGDK2","Approved","Sat May 13 17:11:22 PDT 2017","Sat May 13 17:24:30 PDT 2017","Tue May 16 17:24:30 PDT 2017","Mon May 15 02:19:43 PDT 2017","","","788","100% (12/12)","100% (12/12)","100% (12/12)","0","Those sunglasses the rapper Pitbull made famous are still popular. It's amazing.","I wonder if people will wear the ones he used to wear because of the publicity, or his new pick.","Because of that publicity, you mean.","Well, people always want to wear the newest thing.","That's true. The latest style is what they want.","So you're supposed to constantly update your look.","Sure. To show that you know what's going on in the world.","Well, I guess I don't. I wouldn't even recognize Pitbull.","But you'd recognize his sunglasses.","Yep. And I'd wear them, too.","Well, that's fashion.","It sure is, I see them everywhere I go. But I saw them on Amber Heard first.","Yes it is.","Did you really? Everybody calls them ""Pitbulls.""","I  know that. That's because he wore them first?","Yeah, and at one time he endorsed them.","You mean he doesn't any more?","No, he definitely doesn't. He's fighting with the company that produces them.","So he's wearing some other kind?","I guess so.","",""
"3XAOZ9UYRZLOHXEGAD73HACWP0G1Q9","3VXAMLAOARX8BVHYY0AHHLLJ4HKZFJ","Create a dialog on fashion for twenty sentences","Create a dialog on fashion for twenty sentences","dialog, chat, fashion","$0.50","Sat May 13 04:14:53 PDT 2017","9","BatchId:2801524;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:14:53 PDT 2017","","","3RXCAC0YISJI1S2HW4G7RQQP2B78G3","ATADQXPHL10Y8","Approved","Sun May 14 17:14:45 PDT 2017","Sun May 14 17:35:21 PDT 2017","Wed May 17 17:35:21 PDT 2017","Mon May 15 02:19:43 PDT 2017","","","1236","100% (79/79)","100% (79/79)","100% (73/73)","0","Do you ever find yourself wearing the same thing celebrities wear?","I'm not a big fan of that publication to be honest with you","They do post a lot of different styles which I like to get inspiration from","What would you rather wear clothes the celebrity endorsers or nothing at all","To be honest with you I choose my own fashion I don't need a celebrity tell me what to wear","Ouch it seems like you're throwing shade","No I'm not doing that I'm just saying I think each individual has their own likes and dislikes","But you do need some sort of direction to head in","Not necessarily you can go online and get a lot of ideas for a wardrobe","What sites do you use for that","I think Pinterest does a good job","I don't really have the money to keep up with their lifestyles","Yeah I'm not a fan of that at all","I'm not looking at the lifestyles and talking specifically about what they wear","I gotcha yeah I try to wear what they have but I don't think that they are trendsetters","Wow that's crazy I think they know what they're doing","What do you think is the best magazine for fashion","I would probably say Vogue","I would probably say Vogue","I'm not a big fan of that publication to be honest with you","",""
"3XAOZ9UYRZLOHXEGAD73HACWP0G1Q9","3VXAMLAOARX8BVHYY0AHHLLJ4HKZFJ","Create a dialog on fashion for twenty sentences","Create a dialog on fashion for twenty sentences","dialog, chat, fashion","$0.50","Sat May 13 04:14:53 PDT 2017","9","BatchId:2801524;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:14:53 PDT 2017","","","3WSELTNVR4W0PLH2D2ZSM0B9ISMTA6","AVATZZQZ0U741","Approved","Sat May 13 15:20:02 PDT 2017","Sat May 13 15:26:47 PDT 2017","Tue May 16 15:26:47 PDT 2017","Sun May 14 05:12:45 PDT 2017","","","405","80% (4/5)","80% (4/5)","100% (4/4)","0","How would you describe your style?","I like to sew on things, add patches, cut pants into shorts... whatever strikes my fancy!","Do you have a favorite piece of clothing?","Probably some old cutoff bleached men's levis. I think they've been around since 1990!","You'll have to show me the ropes of the thrift shop.","Totally. There's lots of great finds, no matter what your style.","As long as I can find something other than 20 year old shorts! haha","Definitely. But I hope they have some more for me!","What are you up to this weekend? My friend's and I are having a fashion swap!","Cool! I do have a bunch of stuff I never wear.","There's gonna be a ton of people, and we all have different styles, so you'll be able to find whatever!","Umm, I don't think I fit into a category haha.","Sweet! I'm in!","But if you had to chose one...","Maybe I'm a hipster? I just wear what I like.","What kinda stuff do you like?","It's gotta be unique and original. And better if it's vintage.","Where do you shop?","Mostly just thrift stores. I like to find stuff there and make it my own.","What do you mean?","",""
"3XAOZ9UYRZLOHXEGAD73HACWP0G1Q9","3VXAMLAOARX8BVHYY0AHHLLJ4HKZFJ","Create a dialog on fashion for twenty sentences","Create a dialog on fashion for twenty sentences","dialog, chat, fashion","$0.50","Sat May 13 04:14:53 PDT 2017","9","BatchId:2801524;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:14:53 PDT 2017","","","3ZAK8W07I58JOLY9L5S92QLYSTO0U2","ACNHKXWKZRUZ5","Approved","Tue May 16 17:53:22 PDT 2017","Tue May 16 17:59:46 PDT 2017","Fri May 19 17:59:46 PDT 2017","Wed May 17 09:01:28 PDT 2017","","","384","100% (2/2)","100% (2/2)","100% (2/2)","0","where do you like to shop for clothes , accessories and shoes?","my foot is extremely wide and it is hard to find some shoes that fit.","can you buy shoes online?","yes, but it is a not a good way for me.","why is that?","because I have to try shoes on to make sure they fit.","What is your favorite shoe store then?","Well, believe it or not I like to go to payless.","Do you think payless has cheap shoes?","yes, some are cheap, but I worry more about fit that quality.","I will check them out, I thought they were not worth it.","I like to shop at gap for clothes.","yes, please do, you will be surprised.","where do you like to shop for accessories?","I like to shop at target and aeropostale for accessories most of the time.","How about shoes , where do you shop for shoes?","Shoes are a problem for me.","why are they a problem?","because my size is unique.","what is unique about your foot?","",""
"3K2CEDRACBVY52SXK3KW67BM7I9MTF","3VXAMLAOARX8BVHYY0AHHLLJ4HKZFJ","Create a dialog on fashion for twenty sentences","Create a dialog on fashion for twenty sentences","dialog, chat, fashion","$0.50","Sat May 13 04:14:53 PDT 2017","9","BatchId:2801524;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:14:53 PDT 2017","","","31EUONYN2WX44HFSSG4PODJZ44BVOC","A3RYTY3QHRXNIY","Approved","Wed May 17 08:58:55 PDT 2017","Wed May 17 09:32:25 PDT 2017","Sat May 20 09:32:25 PDT 2017","Wed May 17 09:50:56 PDT 2017","","","2010","100% (17/17)","100% (17/17)","100% (8/8)","0","Hey","I like Sperrys to.  I have a pair that's grey and leopard, Sperrys are cute","I want the Sperrys that look more like flats. I don't have a pair of those yet","I just got a pair of those yesterday, I love them.","Are they comfortable?","Yes, they are very comfortable. I've been wearing them all day I need to go get me some of those then","Yes, you would really like them, and they are cute with my Jean Capris","That sounds nice","I can't them in black and white first then I want some new patterns.","I got the black ones","You cant go wrong with black.","Hi, do you want to talk about fashion.","No then you can wear them with everything","Sure that sounds good.","What kind of shoes do you like.","I love vans, I'm wearing black and white ones right now.","I prefer nikes, they have so many different kinds.","Vans do too, we'll different patterns.  I have some Mackey mouse ones.","Well nikes don't have patterns, but they have shocks and Jordan's and lots of different ones.","That's true, I don't really prefer athletic ones. I also like Sperrys.","",""
