"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence2","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"3M0556243SEU4FVW1KU72ILLMPIFNO","3NB4XF0P1W345COIV441PNGWG4EL29","Create a dialog on Fast & Furious movies for ten sentences","Create a dialog on Fast & Furious movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, fast & furious, fast and furious, creative, science fiction","$0.40","Mon Jun 19 10:43:52 PDT 2017","9","BatchId:2840986;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:43:52 PDT 2017","","","323Q6SJS8JA5G37FOO4VMIJC7EGHFC","A1VIEFZYI54JHP","Submitted","Mon Jun 26 07:26:43 PDT 2017","Mon Jun 26 07:28:18 PDT 2017","Thu Jun 29 07:28:18 PDT 2017","","","","95","100% (30/30)","100% (28/28)","100% (28/28)","0","Do you like the fast and the furious movies?","Yes, her! She's great.","To be honest I've never seen any past the first one.","Me either! But I do like the podcast how did this get made.","Me too! I love listening to them make fun of Vin Deisel.","That is the best part.","What did you think of Paul Walker?","Paul Walker was great.","I agree. I also like the girl who is kind of butch.","Michelle Rodriguez. Is that the one?","x",""
"3M0556243SEU4FVW1KU72ILLMPIFNO","3NB4XF0P1W345COIV441PNGWG4EL29","Create a dialog on Fast & Furious movies for ten sentences","Create a dialog on Fast & Furious movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, fast & furious, fast and furious, creative, science fiction","$0.40","Mon Jun 19 10:43:52 PDT 2017","9","BatchId:2840986;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:43:52 PDT 2017","","","34V1S5K3GTVGI4WLPJDZFV8BVZC699","APF1EAZT104LQ","Approved","Fri Jun 23 20:10:16 PDT 2017","Fri Jun 23 20:12:34 PDT 2017","Mon Jun 26 20:12:34 PDT 2017","2017-06-27 03:13:08 UTC","","","138","100% (377/377)","100% (370/370)","100% (328/328)","0","Is Paul Walker the main guy in The Fast and the Furious?","No. The first one was Rob Cohen and Mel City","Yes and Vin Diesel is the other main guy.","Is there only one movie?","No. There is quite a few.","Are the same people in them all?","Mostly, but they add new characters. The Rock is one of the new guys they put in it.","Was part 2 good?","It was decent.","Did the same guy direct them all?","x",""
"3M0556243SEU4FVW1KU72ILLMPIFNO","3NB4XF0P1W345COIV441PNGWG4EL29","Create a dialog on Fast & Furious movies for ten sentences","Create a dialog on Fast & Furious movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, fast & furious, fast and furious, creative, science fiction","$0.40","Mon Jun 19 10:43:52 PDT 2017","9","BatchId:2840986;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:43:52 PDT 2017","","","38BQUHLA9XULEULJEO3Y1H0MGWJMOF","A2ECRNQ3X5LEXD","Approved","Fri Jun 23 07:26:57 PDT 2017","Fri Jun 23 07:29:21 PDT 2017","Mon Jun 26 07:29:21 PDT 2017","2017-06-26 14:30:08 UTC","","","144","100% (238/238)","100% (205/205)","100% (171/171)","0","Do you like Fast and Furious?","Alright!","Yes!","Which is your favorite?","I love the first one.","Isn't Vin Diesel so good in those movies?","Totally he is!","I want to see it again.","We should see it together.","Sounds like a plan.","x",""
"3M0556243SEU4FVW1KU72ILLMPIFNO","3NB4XF0P1W345COIV441PNGWG4EL29","Create a dialog on Fast & Furious movies for ten sentences","Create a dialog on Fast & Furious movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, fast & furious, fast and furious, creative, science fiction","$0.40","Mon Jun 19 10:43:52 PDT 2017","9","BatchId:2840986;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:43:52 PDT 2017","","","3AQF3RZ559CPJENYS5DRPRUMXNCF6U","AD8JNBDMO3NED","Approved","Wed Jun 21 16:55:59 PDT 2017","Wed Jun 21 16:59:03 PDT 2017","Sat Jun 24 16:59:03 PDT 2017","Thu Jun 22 00:23:56 PDT 2017","","","184","100% (60/60)","100% (60/60)","100% (60/60)","0","what do you think about Fast & Furious?","God bless him","Well, I think it's fast and furious","haha, you're funny, but it's kinda true, the movie series has been fast and furious","indeed. All the car fans must be having an orgasm when watching the movies","I don't consider myself a car fan, but I'm visually stunned by those crazy effects","you remember the one where Paul Walker driving across a lifted draw bridge?","oh yeah, I remembe that one so vividly even today, I was watching that scene on my TV","me too, it's sad to see Paul Walker away, now we won't be able to see him again","at least now he rests in heaven now, God bless him","x",""
"3M0556243SEU4FVW1KU72ILLMPIFNO","3NB4XF0P1W345COIV441PNGWG4EL29","Create a dialog on Fast & Furious movies for ten sentences","Create a dialog on Fast & Furious movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, fast & furious, fast and furious, creative, science fiction","$0.40","Mon Jun 19 10:43:52 PDT 2017","9","BatchId:2840986;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:43:52 PDT 2017","","","3BXQMRHWK0SGRZ5GAAF70NSBX72UM8","A23NJOKU9E2EPA","Approved","Tue Jun 20 11:27:47 PDT 2017","Tue Jun 20 11:32:44 PDT 2017","Fri Jun 23 11:32:44 PDT 2017","Thu Jun 22 00:23:57 PDT 2017","","","297","100% (7/7)","100% (4/4)","100% (2/2)","0","Have you seen the movie Fast and Furious?","That's a long time ago.","Yes. It's been a while.","Who is in it? Name one person.","Van Diesel.","What year was it released?","2002.","Wrong.","2000?","No. It was released in the year 2001.","x",""
"3M0556243SEU4FVW1KU72ILLMPIFNO","3NB4XF0P1W345COIV441PNGWG4EL29","Create a dialog on Fast & Furious movies for ten sentences","Create a dialog on Fast & Furious movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, fast & furious, fast and furious, creative, science fiction","$0.40","Mon Jun 19 10:43:52 PDT 2017","9","BatchId:2840986;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:43:52 PDT 2017","","","3K3R2QNK8CX1KFMML1B2V1MRX8Q9UJ","A2TDEX0T7XEPLU","Approved","Tue Jun 20 09:29:24 PDT 2017","Tue Jun 20 09:32:45 PDT 2017","Fri Jun 23 09:32:45 PDT 2017","Thu Jun 22 00:23:57 PDT 2017","","","201","100% (96/96)","100% (96/96)","100% (84/84)","0","A lot of people I know are big fans of the Fast & Furious series.","I can agree with that much, sure.","I am not one of those people.","Are you serious? I really thought that everyone liked those.","I'm dead serious. I can't stand those films.","Oh, come on! What's so bad about them?","They literally took street racing to global warfare. It's just plain dumb if you ask me.","But it's super fun to watch.","Well, I've never found them fun. Just annoying.","They at least have a stacked cast, though.","x",""
"3M0556243SEU4FVW1KU72ILLMPIFNO","3NB4XF0P1W345COIV441PNGWG4EL29","Create a dialog on Fast & Furious movies for ten sentences","Create a dialog on Fast & Furious movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, fast & furious, fast and furious, creative, science fiction","$0.40","Mon Jun 19 10:43:52 PDT 2017","9","BatchId:2840986;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:43:52 PDT 2017","","","3YOH7BII0A1LEQUDUOCWHW2QM6SKVO","A1HWI4N1RJGKYY","Approved","Mon Jun 19 10:57:31 PDT 2017","Mon Jun 19 10:58:09 PDT 2017","Thu Jun 22 10:58:09 PDT 2017","Thu Jun 22 00:23:57 PDT 2017","","","38","100% (353/353)","100% (250/250)","100% (218/218)","0","Hi.","Me either.","Hey.","You see the new fast and furious movie yet?","No I haven't.","Me either.","What number are they up to now?","I think it's 8.","Wow 8 films.","Yeah didn't realize it was that many.","x",""
"3M0556243SEU4FVW1KU72ILLMPIFNO","3NB4XF0P1W345COIV441PNGWG4EL29","Create a dialog on Fast & Furious movies for ten sentences","Create a dialog on Fast & Furious movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, fast & furious, fast and furious, creative, science fiction","$0.40","Mon Jun 19 10:43:52 PDT 2017","9","BatchId:2840986;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:43:52 PDT 2017","","","3ZAZR5XV02CK4CNZ38K1EJ2E6MCZC6","A2Y23D9C3JIWGB","Approved","Fri Jun 23 02:55:55 PDT 2017","Fri Jun 23 03:04:05 PDT 2017","Mon Jun 26 03:04:05 PDT 2017","2017-06-26 10:04:08 UTC","","","490","100% (98/98)","100% (86/86)","100% (65/65)","0","There is something I don't fully understand about 'The Fate of the Furious.'","The action sequences were so well shot, and the set-pieces were executed flawlessly!","What would that be?","Why did Charlize Theron's character need Dominic Toretto for her plan?","I have no idea.","If you think about it, Dom's only skill is driving.  What use did a super hacker have of a driver?","Dom is also a good fighter, and is the only one who could stop his crew.","But if Charlize's character didn't recruit Dom in the first place, the crew never would have intervened.","Oh, and then her plan would not have been ruined.  I think you're onto something.","I'm glad I could get that off my chest.  The rest of the movie, after accepting that premise, was really fun.","x",""
"3G9UA71JVVOL6WP54343LJRNFHU7J8","3NB4XF0P1W345COIV441PNGWG4EL29","Create a dialog on Fast & Furious movies for ten sentences","Create a dialog on Fast & Furious movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, fast & furious, fast and furious, creative, science fiction","$0.40","Mon Jun 19 10:43:52 PDT 2017","9","BatchId:2840986;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:43:52 PDT 2017","","","30OG32W0SV55KLTUWBF29KV8HK5ENL","A3K767WJFJ95BB","Approved","Thu Jun 22 19:00:45 PDT 2017","Thu Jun 22 19:04:30 PDT 2017","Sun Jun 25 19:04:30 PDT 2017","Fri Jun 23 01:46:12 PDT 2017","","","225","100% (35/35)","100% (35/35)","100% (18/18)","0","so which one is your favorite fast and furious movie?","It was in post credit.","I think it is 2 fast 2 furious.","Oh, I think that is the only part in which there is no vin diesel","no, I think tokyo drift is another one without vin diesel","oh, are you sure?","yes, I am pretty sure.","I thought tokyo drift had vin diesel, may be briefly.","actually it is the first movie in which they show jason statham.","really? When did they show jason statham in tokyo drift?","x",""
"3G9UA71JVVOL6WP54343LJRNFHU7J8","3NB4XF0P1W345COIV441PNGWG4EL29","Create a dialog on Fast & Furious movies for ten sentences","Create a dialog on Fast & Furious movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, fast & furious, fast and furious, creative, science fiction","$0.40","Mon Jun 19 10:43:52 PDT 2017","9","BatchId:2840986;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:43:52 PDT 2017","","","39GHHAVOMGLR9T5GS7BX7R20VGMJ46","A1OQ3KL56KMQSU","Submitted","Mon Jun 26 09:57:16 PDT 2017","Mon Jun 26 10:00:28 PDT 2017","Thu Jun 29 10:00:28 PDT 2017","","","","192","100% (34/34)","100% (33/33)","100% (28/28)","0","Have you seen Fast & Furious 6 before?","Yea, it is one of my favorites too.","Which one is that?","It has all the main cast along with Luke Evans.","I may have seen it, does Evans play the villain?","Yea, he is Luke Hobbs and the crew get hired to take him down.","Is The Rock in this one?","Yea, he is the agent who offers them a deal if they help.","Yea, I remember that one, it was a fun watch.","Yea, one of my favorites of the series.","x",""
