"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence2","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"3O0M2G5VC6WZHXUDGTFJTDTASAS49Q","3X26MWKTBTREIYAW5YO0499JMEMMM4","Create a dialog on Harry Potter movies for ten sentences","Create a dialog on Harry Potter movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, harry potter, creative, science fiction","$0.40","Mon Jun 19 10:35:48 PDT 2017","9","BatchId:2840961;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:35:48 PDT 2017","","","378XPAWRUD7AG71RJQ0O8T909S1AI1","AEZSDZ4PS9CAC","Submitted","Mon Jun 19 10:44:52 PDT 2017","Mon Jun 19 10:47:30 PDT 2017","Thu Jun 22 10:47:30 PDT 2017","","","","158","100% (16/16)","100% (14/14)","100% (12/12)","0","Well, I let my kids watch all of the Harry Potter movies finally.","That he is.","Really? What did they think of them?","They were hooked from the first scene of Sorcerer's Stone.","That is not suprising. They are fantastic films.","I agree, I think that they're favorite one was Goblet of Fire.","They have good taste, that is also my favorite.","My daughter just about fell in love with Ron Weasley.","Really? Why him?","I am not sure. I think she just liked that he is kind of a goof ball.","",""
"3O0M2G5VC6WZHXUDGTFJTDTASAS49Q","3X26MWKTBTREIYAW5YO0499JMEMMM4","Create a dialog on Harry Potter movies for ten sentences","Create a dialog on Harry Potter movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, harry potter, creative, science fiction","$0.40","Mon Jun 19 10:35:48 PDT 2017","9","BatchId:2840961;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:35:48 PDT 2017","","","3BWI6RSP7H3GH017G4YDDN9IGUWE7J","A1XDVD860H3PX4","Submitted","Tue Jun 20 06:43:38 PDT 2017","Tue Jun 20 06:48:27 PDT 2017","Fri Jun 23 06:48:27 PDT 2017","","","","289","100% (22/22)","100% (22/22)","100% (22/22)","0","Have you seen Chamber of Secrets?","Yeah, it was pretty cool.  Gave a warm feeling to the end as well.","Yes I have, it was pretty good.","I agree, big improvement over the first, and a lot more mature.","Yeah, I liked the fight scene at the end.  And how it seems that Vodly is destined to come back.","I know what you mean.  And that book, how innocent people can just be controlled by Voldy.","And the part about parcil mouths.  It was cool how only a select few can speak to snakes.","That was one of Voldemort's best showings at the end.  Seems he got much closer to victory the second time around.","Yes, to see him young, and get a glimpse of his planning abilities.","I also liked the Griffendore sword.","",""
"3O0M2G5VC6WZHXUDGTFJTDTASAS49Q","3X26MWKTBTREIYAW5YO0499JMEMMM4","Create a dialog on Harry Potter movies for ten sentences","Create a dialog on Harry Potter movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, harry potter, creative, science fiction","$0.40","Mon Jun 19 10:35:48 PDT 2017","9","BatchId:2840961;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:35:48 PDT 2017","","","3EFE17QCRDZEK8C1U84UTH2RVLWHSE","A3A8P4UR9A0DWQ","Submitted","Mon Jun 19 11:15:02 PDT 2017","Mon Jun 19 11:30:05 PDT 2017","Thu Jun 22 11:30:05 PDT 2017","","","","903","100% (14/14)","100% (8/8)","100% (3/3)","0","We had a Harry Potter movie marathon this weekend.","I imagine that they all became very close when recording the movie.","That sounds like it was fun.","It was and it was relaxing too.","I need to do more of that kind of binge watching.","It makes all of the movies make sense when you watch them in order.","I think that is so true.","I love this series because the story is complex.","I think it works well with following Harry's Hogwart years.","Yes that takes talent to record them and make the actors seem like not a lot has passed.","",""
"3O0M2G5VC6WZHXUDGTFJTDTASAS49Q","3X26MWKTBTREIYAW5YO0499JMEMMM4","Create a dialog on Harry Potter movies for ten sentences","Create a dialog on Harry Potter movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, harry potter, creative, science fiction","$0.40","Mon Jun 19 10:35:48 PDT 2017","9","BatchId:2840961;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:35:48 PDT 2017","","","3EKVH9QMEZY43TQ1EX6YBEAP530D22","AEWPAZBYA7XE","Submitted","Tue Jun 20 13:00:48 PDT 2017","Tue Jun 20 13:02:45 PDT 2017","Fri Jun 23 13:02:45 PDT 2017","","","","117","100% (169/169)","100% (156/156)","100% (82/82)","0","Have you seen that new game, Bean Boozled?","Your right!","Yeah, the Jelly Belly game?","That's the one.","What of it?","It reminds me of Harry Potter.","How so?","You remember the first movie, when they're on the train?","Oh, yeah. With the gross flavored jelly beans?","Uh huh.","",""
"3O0M2G5VC6WZHXUDGTFJTDTASAS49Q","3X26MWKTBTREIYAW5YO0499JMEMMM4","Create a dialog on Harry Potter movies for ten sentences","Create a dialog on Harry Potter movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, harry potter, creative, science fiction","$0.40","Mon Jun 19 10:35:48 PDT 2017","9","BatchId:2840961;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:35:48 PDT 2017","","","3NVC2EB65RTWMMHBET7H79PIT4ZY3X","A214JTAHTAWUKA","Submitted","Tue Jun 20 12:19:13 PDT 2017","Tue Jun 20 12:22:43 PDT 2017","Fri Jun 23 12:22:43 PDT 2017","","","","210","100% (124/124)","100% (100/100)","100% (28/28)","0","Did you ever feel in the Order of the Phoenix that Harry would end up with Luna?","I loved when he just left the flying car sitting around. Like it was a normal machine.","You mean because of the ending of that one?","It was such a cute moment, and I thought for sure it meant that Harry and Luna would have a thing later on.","They were both from too sad of a background I think. But, I did like that moment.","There were some really small moments in the films that always got me.","I liked when Mr. Weasly was so excited to ask Haryy questions.","And he was so happy, he just over looked the fact that Harry was more of less a famous guy.","When he asked "" What exactly is the purpose of a rubber ducky?"", I crack up every time!","I think he was one of the best. He always made the show feel lighter.","",""
"3O0M2G5VC6WZHXUDGTFJTDTASAS49Q","3X26MWKTBTREIYAW5YO0499JMEMMM4","Create a dialog on Harry Potter movies for ten sentences","Create a dialog on Harry Potter movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, harry potter, creative, science fiction","$0.40","Mon Jun 19 10:35:48 PDT 2017","9","BatchId:2840961;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:35:48 PDT 2017","","","3OS4RQUCRA9VPQ4TOWUZ07GEBKFFBZ","A3RYTY3QHRXNIY","Submitted","Mon Jun 19 18:10:50 PDT 2017","Mon Jun 19 18:12:35 PDT 2017","Thu Jun 22 18:12:35 PDT 2017","","","","105","100% (243/243)","100% (226/226)","100% (122/122)","0","I like when they go to Hogsmeade","Me too","Its so cool that they get to take field trips when they are at hogwarts.","I agree","I feel bad when Harry doesnt have a permission slip so he cant go","Me too","But im glad he finally got to go.","Same here, they shouldnt punish him because his parents died","Exactly","I really like these movies","",""
"3O0M2G5VC6WZHXUDGTFJTDTASAS49Q","3X26MWKTBTREIYAW5YO0499JMEMMM4","Create a dialog on Harry Potter movies for ten sentences","Create a dialog on Harry Potter movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, harry potter, creative, science fiction","$0.40","Mon Jun 19 10:35:48 PDT 2017","9","BatchId:2840961;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:35:48 PDT 2017","","","3VE8AYVF8NRCNS6MLKAP95QD3HFF8R","A1WBGYZ6Y8NJ9","Submitted","Wed Jun 21 01:53:52 PDT 2017","Wed Jun 21 02:03:59 PDT 2017","Sat Jun 24 02:03:59 PDT 2017","","","","607","100% (180/180)","100% (166/166)","100% (96/96)","0","You know something","That is silly","What?","Hagrid is scary","From harry potter?","Yeah in the movies he scared me as a kid","Well i mean he is imposing","Yeah and huge","Well thats what i meant he did not scare me though","He sorta does still scare me a little though","",""
"3O0M2G5VC6WZHXUDGTFJTDTASAS49Q","3X26MWKTBTREIYAW5YO0499JMEMMM4","Create a dialog on Harry Potter movies for ten sentences","Create a dialog on Harry Potter movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, harry potter, creative, science fiction","$0.40","Mon Jun 19 10:35:48 PDT 2017","9","BatchId:2840961;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:35:48 PDT 2017","","","3XC1O3LBOTGHL486ATOIVERKEOYLTZ","AUFCBPDWGE42L","Submitted","Tue Jun 20 09:06:19 PDT 2017","Tue Jun 20 09:12:26 PDT 2017","Fri Jun 23 09:12:26 PDT 2017","","","","367","100% (5/5)","100% (2/2)","0% (0/0)","0","I just watched the last two Harry Potter movies.","It was something!","Oh my gosh! What did you think!?","I was really pleased with it. I'm glad they split it into two parts to cover more, since the book was so long.","Yeah, it's nice now that we can watch them together, but it was awful when part one had come out and part two hadn't yet!","Did you see them in theaters?","I saw part one on opening night, but I saw part two in theaters a few weeks after it came out.","What was it like when Dobby died at the end of part one?","The whole theater was crying! He was such a loved character, and opening night was full of die hard fans.","Man, I wished I hadn't missed that!","",""
"3O0M2G5VC6WZHXUDGTFJTDTASAS49Q","3X26MWKTBTREIYAW5YO0499JMEMMM4","Create a dialog on Harry Potter movies for ten sentences","Create a dialog on Harry Potter movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, harry potter, creative, science fiction","$0.40","Mon Jun 19 10:35:48 PDT 2017","9","BatchId:2840961;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:35:48 PDT 2017","","","3YW4XOSQKRFJVAJRHOW9GV48ZTM1UG","A1HWI4N1RJGKYY","Submitted","Mon Jun 19 11:23:48 PDT 2017","Mon Jun 19 11:25:05 PDT 2017","Thu Jun 22 11:25:05 PDT 2017","","","","77","100% (204/204)","100% (140/140)","100% (81/81)","0","Hi.","Agreed.","Hey.","If you could be a harry potter character who would you be?","Interesting question.","Take your time.","I would be Severus.","Oh really, why?","I enjoyed his character and thought he was misunderstood.","Well he definitely was yes.","",""
"385MDVINFC90WBQ6CBCFDZQ4882WJY","3X26MWKTBTREIYAW5YO0499JMEMMM4","Create a dialog on Harry Potter movies for ten sentences","Create a dialog on Harry Potter movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, harry potter, creative, science fiction","$0.40","Mon Jun 19 10:35:48 PDT 2017","9","BatchId:2840961;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:35:48 PDT 2017","","","33IZTU6J82VB6YCGZCMGW3QLJFEXSU","AEWPAZBYA7XE","Submitted","Tue Jun 20 13:09:40 PDT 2017","Tue Jun 20 13:11:16 PDT 2017","Fri Jun 23 13:11:16 PDT 2017","","","","96","100% (169/169)","100% (156/156)","100% (82/82)","0","Who was your favorite Potter villian.","Indeed!","Other that ""He who is not to be Named?""","Obviously.","Probably Worm Tail.","The guy who was a rat.","Yup.","Why? He was so weird looking.","I think that's why.","He did look as if he could be a rat.","",""
