"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence2","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"3QO7EE372OHPUVW8CA0SNMP5C39QB2","3REZD5NBDJPX22TJ2TD2L0F3MHCVYK","Create a dialog on Lady Gaga's music for ten sentences","Create a dialog on Lady Gaga's music for ten sentences","dialog, chat, pop, lady gaga, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 09:59:35 PDT 2017","9","BatchId:2842569;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 09:59:35 PDT 2017","","","39LOEL67OTZH7GQT1P9N8W1G13R38C","A2Y3PKD4YGLTKG","Approved","Sat Jun 24 17:29:34 PDT 2017","Sat Jun 24 17:33:55 PDT 2017","Tue Jun 27 17:33:55 PDT 2017","2017-06-28 00:34:08 UTC","","","261","100% (3/3)","100% (3/3)","100% (1/1)","0","What is your favorite Lady Gaga song?","Don't forget about the great song Bad Romance!","That's a tough call! New or older Lady Gaga?","How about each?","Well my favorite newer song is Million Reasons!","Did you see her perform it at the Victoria Secret fashion show?","Yes, it was amazing!","What is your favorite older song of hers?","I think I'd have to pick Just Dance. What about you?","I really like that song too! Either that or Poker Face.","x",""
"3QO7EE372OHPUVW8CA0SNMP5C39QB2","3REZD5NBDJPX22TJ2TD2L0F3MHCVYK","Create a dialog on Lady Gaga's music for ten sentences","Create a dialog on Lady Gaga's music for ten sentences","dialog, chat, pop, lady gaga, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 09:59:35 PDT 2017","9","BatchId:2842569;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 09:59:35 PDT 2017","","","3JNQLM5FT5GN15ETRE4MURIUECV2L0","A3LJHPCBG2XU3P","Approved","Tue Jun 20 16:13:38 PDT 2017","Tue Jun 20 16:21:29 PDT 2017","Fri Jun 23 16:21:29 PDT 2017","Fri Jun 23 01:51:26 PDT 2017","","","471","100% (1/1)","100% (1/1)","100% (1/1)","0","What is your favorite album by Lady Gaga?","I like G.U.Y too! My favorite would probably be the Eh Eh Nothing Else I Can Say video. I loved her cute hair bow hairstyle, the Italian theme and that spaghetti in the video looked so delicious.","Oh wow. All of them are perfect but I'm going to have to say either The Fame or The Fame Monster.","Nice! So you've been a fan from day one. So have I! What are your favorite songs from each of those albums?","I like Paparazzi from The Fame and Speechless from The Fame Monster. All of the songs are awesome though. What about you?","I like Brown Eyes from The Fame and Monster from The Fame Monster. I agree, the entire albums are epic.","Cool. I'll be happy when she has a concert near here so we can go.","I agree! That would be such a treat. I'm dying to see what amazing outfit and stage setting she will come up with.","Oh right! She is very good about those things. I dont care what anyone says, her fashion is top notch.","Indeed! Oh I have another question, what is your favorite music video from her? I think the music video for G.U.Y is awesome.","x",""
"3QO7EE372OHPUVW8CA0SNMP5C39QB2","3REZD5NBDJPX22TJ2TD2L0F3MHCVYK","Create a dialog on Lady Gaga's music for ten sentences","Create a dialog on Lady Gaga's music for ten sentences","dialog, chat, pop, lady gaga, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 09:59:35 PDT 2017","9","BatchId:2842569;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 09:59:35 PDT 2017","","","3K3R2QNK8CX1KFMML1B2V1MRYN19UP","A24NXYAW8T2JA0","Approved","Sun Jun 25 15:13:02 PDT 2017","Sun Jun 25 15:23:44 PDT 2017","Wed Jun 28 15:23:44 PDT 2017","2017-06-28 22:24:08 UTC","","","642","100% (2/2)","100% (2/2)","100% (2/2)","0","What was Lady Gaga's first album called?","You are welcome! Be sure to tell me what you think about the album","The Fame Monster, I thought it was her best work in her career.","I didn't really start listening to her until her album Born This Way, which is my favorite.","I thought that album was a little to dark for me I preferred her more pop sound.","Do you have some songs you could recommend from The Fame Monster, I could check out?","Sure. My favorites are PokerFace and Papparazi.","I actually think I may have heard that song PokerFace before it just slipped my mind.","I am sure you have that was one of her biggest singles.","Well when I listen to The Fame Monster maybe it will jog my memory. Thanks For the Suggestions!","x",""
"3QO7EE372OHPUVW8CA0SNMP5C39QB2","3REZD5NBDJPX22TJ2TD2L0F3MHCVYK","Create a dialog on Lady Gaga's music for ten sentences","Create a dialog on Lady Gaga's music for ten sentences","dialog, chat, pop, lady gaga, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 09:59:35 PDT 2017","9","BatchId:2842569;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 09:59:35 PDT 2017","","","3QY7M81QH8GJ30THCQ9GBIMN125K79","A2ECRNQ3X5LEXD","Approved","Thu Jun 22 23:10:33 PDT 2017","Thu Jun 22 23:19:40 PDT 2017","Sun Jun 25 23:19:40 PDT 2017","Fri Jun 23 01:51:26 PDT 2017","","","547","100% (238/238)","100% (205/205)","100% (171/171)","0","Are you into Lady Gaga at all?","That would be awesome.","Yes occasionally I find her alright.","I like her old stuff but not her new stuff.","Yeah her old stuff was good because it was club music mostly.","The current stuff is more boring.","I understand that.","What about the Fame Monster album?","That one was semi okay but not my favorite.","Hopefully her next album is more upbeat.","x",""
"3QO7EE372OHPUVW8CA0SNMP5C39QB2","3REZD5NBDJPX22TJ2TD2L0F3MHCVYK","Create a dialog on Lady Gaga's music for ten sentences","Create a dialog on Lady Gaga's music for ten sentences","dialog, chat, pop, lady gaga, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 09:59:35 PDT 2017","9","BatchId:2842569;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 09:59:35 PDT 2017","","","3W8CV64QJ3TWFTG2L243CMX14FRH9O","ACKB12F8QD5HJ","Approved","Sun Jun 25 11:46:10 PDT 2017","Sun Jun 25 11:52:49 PDT 2017","Wed Jun 28 11:52:49 PDT 2017","2017-06-28 18:53:08 UTC","","","399","100% (11/11)","100% (11/11)","100% (11/11)","0","What did you think about Lady Gaga's concert last night?","Especially with the lack of talent from most musical artists today!","It was better than I thought it would be. I must admit that I had some reservations before going to the concert.","What do you mean? You never told me you had any reservations!","Well, you know how theatrical she can be.","That is true which is why I knew she would give a great concert!","I figured the concert would be more of a production rather than her singing.","I know what you mean. Lady Gaga is quite a character.","Well, after going to her concert, I can say that I love everything about her character!","I agree. I think her character makes her unique from other musical artists.","x",""
"3QO7EE372OHPUVW8CA0SNMP5C39QB2","3REZD5NBDJPX22TJ2TD2L0F3MHCVYK","Create a dialog on Lady Gaga's music for ten sentences","Create a dialog on Lady Gaga's music for ten sentences","dialog, chat, pop, lady gaga, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 09:59:35 PDT 2017","9","BatchId:2842569;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 09:59:35 PDT 2017","","","3WETL7AQWU2YKY7R3R2KWCRPZFP53F","A1IPD4WBT3A5GG","Submitted","Mon Jun 26 08:26:19 PDT 2017","Mon Jun 26 08:32:45 PDT 2017","Thu Jun 29 08:32:45 PDT 2017","","","","386","100% (46/46)","100% (44/44)","100% (27/27)","0","What do you know about Lady Gaga?","She has a lot of diverse musical influences -- Black Sabbath to David Bowie. And, she's able to melt all those into something special.","She's talented.","How did she get her start?","She was a songwriter or something.","Do you think she deserves all the fame and glory?","I do. There's not many people who make music which makes a difference.","How does her music make a difference?","She works really hard at her craft. And, she gives a lot of money to good causes.","What makes her music unique?","x",""
"3QO7EE372OHPUVW8CA0SNMP5C39QB2","3REZD5NBDJPX22TJ2TD2L0F3MHCVYK","Create a dialog on Lady Gaga's music for ten sentences","Create a dialog on Lady Gaga's music for ten sentences","dialog, chat, pop, lady gaga, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 09:59:35 PDT 2017","9","BatchId:2842569;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 09:59:35 PDT 2017","","","3X4MXAO0BHIKGJ7DAIQP4A7IPQ0RWD","A17J1CE7N49Z9D","Submitted","Mon Jun 26 06:26:03 PDT 2017","Mon Jun 26 06:27:56 PDT 2017","Thu Jun 29 06:27:56 PDT 2017","","","","113","100% (90/90)","100% (90/90)","100% (66/66)","0","Do you have a favorite gaga album?","yes, it did.","I really dig the fame monster.","is that even considered a real album?","I dont know. its kinda like an ep.","it was like a side piece or an extension of the fame","it had bad romance on it.","that song is a classic.","i did not even like it at first","it grew on you?","x",""
"3QO7EE372OHPUVW8CA0SNMP5C39QB2","3REZD5NBDJPX22TJ2TD2L0F3MHCVYK","Create a dialog on Lady Gaga's music for ten sentences","Create a dialog on Lady Gaga's music for ten sentences","dialog, chat, pop, lady gaga, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 09:59:35 PDT 2017","9","BatchId:2842569;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 09:59:35 PDT 2017","","","3XCC1ODXDM5FWMBRY9RJCLPW1P5RQV","A2SHGTR2QCUMJC","Approved","Sun Jun 25 17:21:14 PDT 2017","Sun Jun 25 17:22:51 PDT 2017","Wed Jun 28 17:22:51 PDT 2017","2017-06-29 00:23:08 UTC","","","97","100% (1/1)","100% (1/1)","100% (1/1)","0","what's up","My name is Tamatha","Hey, do you like Lady gaga?","yes i do!!","what's your fav song?","Not sure, I like them all!","Me too!","We should hang and listen to her music","Yes, we should!","My name is Andy, what's yours?","x",""
"3QO7EE372OHPUVW8CA0SNMP5C39QB2","3REZD5NBDJPX22TJ2TD2L0F3MHCVYK","Create a dialog on Lady Gaga's music for ten sentences","Create a dialog on Lady Gaga's music for ten sentences","dialog, chat, pop, lady gaga, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 09:59:35 PDT 2017","9","BatchId:2842569;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 09:59:35 PDT 2017","","","3ZGVPD4G6UB1QTPAPUFR3T2IUBBZTU","A42MGR8VOZVA","Approved","Sat Jun 24 18:20:18 PDT 2017","Sat Jun 24 18:24:43 PDT 2017","Tue Jun 27 18:24:43 PDT 2017","2017-06-28 01:25:08 UTC","","","265","100% (115/115)","100% (95/95)","100% (55/55)","0","What is your favorite type of music you listen to?","She is a fantastic artist.","I like pop music quite a bit.","So, Lady Gaga is one of your favorites?","Yes, she is a superstar, and has many awards in music.","What is your favorite album of hers?","I liked Artpop quite a bit that she produced in 2013 I believe.","I think that one did win world top album award.","Gypsy, Do What You Want are my two favorite songs on the album.","I liked Aura on that album as well.","x",""
"3X878VYTIEC51U39LDDI6LZVMBA7F4","3REZD5NBDJPX22TJ2TD2L0F3MHCVYK","Create a dialog on Lady Gaga's music for ten sentences","Create a dialog on Lady Gaga's music for ten sentences","dialog, chat, pop, lady gaga, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 09:59:35 PDT 2017","9","BatchId:2842569;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 09:59:35 PDT 2017","","","3A7Y0R2P2PII7VTQCID242ZYOEGJXG","A2R3YFUNAT892R","Submitted","Mon Jun 26 18:49:00 PDT 2017","Mon Jun 26 18:54:12 PDT 2017","Thu Jun 29 18:54:12 PDT 2017","","","","312","100% (58/58)","100% (58/58)","100% (31/31)","0","What do you think of Lady Gaga's duets with Tony Bennett?","She's great.","I think they're great!","I agree! She does a great job with the vocals.","I think she sounds like an old jazz singer.  I don't mean old, I mean vintage.","What do you think of her solos on that album?","Yeah, they are really good.","I think her singing is great.","Have you heard her play the piano?","I don't think so.","x",""
