"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence11","Answer.sentence12","Answer.sentence13","Answer.sentence14","Answer.sentence15","Answer.sentence16","Answer.sentence17","Answer.sentence18","Answer.sentence19","Answer.sentence2","Answer.sentence20","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"3BPP3MA3TCECA1SFUWUM78WW5VBLEM","3H2ZGQZOTY2P6RYE28EK9LCO2SLXYQ","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment, arts, conversation, writing","$0.80","Thu Jun 22 00:32:58 PDT 2017","9","BatchId:2844889;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:32:58 PDT 2017","","","33OOO72IVIFOI0E0XGVJSV1XLPTCT4","A3P8XZJOR4767H","Submitted","Thu Jun 22 13:06:53 PDT 2017","Thu Jun 22 13:22:37 PDT 2017","Sun Jun 25 13:22:37 PDT 2017","","","","944","0% (0/0)","0% (0/0)","0% (0/0)","0","Do you like animal rescue movies like Dolphin tale?","I like the way they changed the snow white disney movie to a real life challenge and bravery","Have you seen the new Beauty and the beast with emma watson?","No, I would like to.","When you think of emma watson do you think of Harry Potter?","Yes, Love those movies and books","Which of the harry potter movies is your favorite","The best one is prisoner of azakaban.","Why?","That is the story when harry almost found some kind of family with a god father.  He also steps up and uses more spells","Do you have a favorite harry potter character?","Yes, they are always inspirational. Feel good movies.","I like Fred and George.  They are great wizards with humor about everything.","Do you have a favorite animal recue movie?","Free willy is always a classic","Is there any other whale or animal movie you like?","I like heart of the sea, the whale with a vengence","Have you seen the huntsman?","Yes, but I liked snow white and the huntsman better.","why?","",""
"3BPP3MA3TCECA1SFUWUM78WW5VBLEM","3H2ZGQZOTY2P6RYE28EK9LCO2SLXYQ","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment, arts, conversation, writing","$0.80","Thu Jun 22 00:32:58 PDT 2017","9","BatchId:2844889;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:32:58 PDT 2017","","","3A4NIXBJ77TD89IM1WN690WSLQWMLE","A30MUATECVKL00","Submitted","Thu Jun 22 11:34:47 PDT 2017","Thu Jun 22 11:40:22 PDT 2017","Sun Jun 25 11:40:22 PDT 2017","","","","335","0% (0/0)","0% (0/0)","0% (0/0)","0","What were your favorite movies as a kid?","Yeah, Ponyo.","That's not really my favorite of them. The better ones have more complicated themes.","Hmm. Well, it didn't do it for me.","That's too bad. I loved them as a kid. And Milo and Otis!","I also had Milo and Otis! I watched it over and over again.","We never had a copy of it. But I rented it a lot.","We had a copy until my mom got so tired of it that she threw it away.","Wow. That makes sense though.","If you're a parent you have to watch the same movies over and over if your kid is in love with it.","That would drive me crazy.","I was always really into Disney movies.","Me too.","Really? I liked Ghibli a lot better.","Which are those?","The Miyazaki movies. Like, My Neighbor Totoro. Or Spirited Away.","Oh, I never really got into those as a kid.","I can't believe that! They're great.","I saw the one about the fish and didn't really care for it.","You mean Ponyo?","",""
"3BPP3MA3TCECA1SFUWUM78WW5VBLEM","3H2ZGQZOTY2P6RYE28EK9LCO2SLXYQ","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment, arts, conversation, writing","$0.80","Thu Jun 22 00:32:58 PDT 2017","9","BatchId:2844889;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:32:58 PDT 2017","","","3E7TUJ2EGDGF3DB0Z6LDL1I3CG49DZ","A2C84POENS2UNY","Submitted","Thu Jun 22 06:47:46 PDT 2017","Thu Jun 22 06:50:33 PDT 2017","Sun Jun 25 06:50:33 PDT 2017","","","","167","100% (3/3)","0% (0/0)","0% (0/0)","0","Hey did you see the latest XXX movie?","Are you serious?  That's sad to hear.","Yeah I know.  I loved the original XXX.","So did I.  Why did you think it was so bad?","Well I couldn't get into the plot.  The characters were also really lame.","What do you mean by lame?","They were poorly developed and I didn't recognize any of the actors or actresses.","What was the plot even about?","I couldn't even tell you!  I was so bored and confused that my mind kept drifting off.","Oh yeah, I hate it when that happens.","Yeah I even fell asleep at the end, which is sad to say during an action movie.","There's a new XXX movie?  Wow, the other one is super old!","Wow, I will be sure not to watch that one.","I know!  It's kinda wild they waited so long to make a sequel.","For sure!  What's it called?","XXX: The Return of Xander Cage.  It's got Vin Diesel in it again.","Whoah, he's still around.  Well, I guess he kinda made the movie.","Exactly, like what would it be without him?","Yes.  So how was it?","I thought it was totally disappointing.","",""
"3BPP3MA3TCECA1SFUWUM78WW5VBLEM","3H2ZGQZOTY2P6RYE28EK9LCO2SLXYQ","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment, arts, conversation, writing","$0.80","Thu Jun 22 00:32:58 PDT 2017","9","BatchId:2844889;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:32:58 PDT 2017","","","3EO896NRAXPBQEK678C5FZESB9ETJB","AWPE584LM19EK","Submitted","Thu Jun 22 09:12:19 PDT 2017","Thu Jun 22 09:29:08 PDT 2017","Sun Jun 25 09:29:08 PDT 2017","","","","1009","0% (0/0)","0% (0/0)","0% (0/0)","0","Hey did you hear that they were making a new sequel to the World War Z movie.","So David Fincher will be directing the World War Z sequel.","Yes i love most of his movies and he know how to work with Brad Pitt they have done a few movies together.","What other movies have the 2 done together that you have seen.","Ive seen Fight Club, The Curious Case of Benjamin Button, and Seven","I loved all three of those movies","He also has directed several other great movies and worked with some well known actors.","I know he has also worked with Micheal Douglas and Robert Downey Jr.","Yes  so you can see why im so excited for the release of World War Z 2","Yes a awsome director and a good actor hopefully they can reunite the cast members","I would really like to see some of the original cast members i hate it when they change actors.","You mean the one with  Brad Pitt in it?","I agree i like it when they can keep the same group together it makes the story line better.","Yes they said it would be released in June of 2017 then they pulled it. But i heard they are doing the sequel and possibly releasing it in 2018 or 2019","I hope they keep Brad Pitt as the main actor he did great in the last one.","Im pretty sure he will be in the sequel also.","Do you know any other actors that may be in the sequel or even what the plot is to this one.","I have not heard of any of the other actors that will be in the ovie but they confirmed Brad Pitt would be returning to his role","And the plot since they kind of didnt leave room for a sequel","Im not to sure but i think if anyone can pull it off and make a great David Fincher can","",""
"3BPP3MA3TCECA1SFUWUM78WW5VBLEM","3H2ZGQZOTY2P6RYE28EK9LCO2SLXYQ","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment, arts, conversation, writing","$0.80","Thu Jun 22 00:32:58 PDT 2017","9","BatchId:2844889;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:32:58 PDT 2017","","","3HPZF4IVNNNKZMDU7MII0CTC0OFCYR","A3W0C94IQGCJCN","Submitted","Thu Jun 22 06:16:05 PDT 2017","Thu Jun 22 06:24:13 PDT 2017","Sun Jun 25 06:24:13 PDT 2017","","","","488","0% (0/0)","0% (0/0)","0% (0/0)","0","Are you going to see the latest Transformers movie?","Is it long like the other ones?","Yes, it was 2 and a half hours long.  I suggest you see it in IMAX if you go.","Why IMAX?","It's a bigger screen and the 3D is awesome.","Do all the original Transformers show up?","Optimus Prime, Bumblebee, and Megatron for sure, but you would have to ask my son about the others.","I can't believe they've made 5 of those movies!","I know, but as kids grow up, they get more fans and sell more toys.","Good point.  Hasbro loves it, I bet.","I hear that this is Michael Bay's last Transformer movie, but they left the door open for another one at the end of this last movie.","I'm not sure.  When did it come out?","I wonder who will direct the next one.","It came out yesterday.  We went to see it for my son's birthday/","Was it any good?","It got really bad reviews, but it was OK for a movie about Transformers.","Was Mark Walberg in this one?","Yes, and Anthony Hopkins.  The girls were different though.","What about Josh Dimel?","He was in it and a couple other soldiers and officers from the previous ones.","",""
"3BPP3MA3TCECA1SFUWUM78WW5VBLEM","3H2ZGQZOTY2P6RYE28EK9LCO2SLXYQ","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment, arts, conversation, writing","$0.80","Thu Jun 22 00:32:58 PDT 2017","9","BatchId:2844889;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:32:58 PDT 2017","","","3IOEN3P9S8DYTZTQL6Y60PQSXKA16B","A214JTAHTAWUKA","Submitted","Thu Jun 22 10:43:04 PDT 2017","Thu Jun 22 11:06:54 PDT 2017","Sun Jun 25 11:06:54 PDT 2017","","","","1430","100% (162/162)","100% (138/138)","100% (66/66)","0","Have you seen any funny movies recently?","I want to see the third Despicable Me movie.","Is that the one with the little yellow things in overalls?","The minions, yes and Steve Carrel as Gru.","I think I saw the first one, it was cute.","This is the third and there is a minion sort of prequel as well.","I like cartoons.","Have you seen the adult one called Sausage party?","No, who is it by?","Seth Rogen made it. Very raunchy.","Was it funny.","A few new ones, a few older ones.","More weird than funny, but made me laugh out loud a bit.","Such as what?","I just watched Baywatch.","Who is in that one?","The Rock, and Zax Effron and some others.","Was it as funny as the series?","It was far more funny. Less slow running and more jokes.","Have you seen any other new ones?","",""
"3BPP3MA3TCECA1SFUWUM78WW5VBLEM","3H2ZGQZOTY2P6RYE28EK9LCO2SLXYQ","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment, arts, conversation, writing","$0.80","Thu Jun 22 00:32:58 PDT 2017","9","BatchId:2844889;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:32:58 PDT 2017","","","3QUO65DNQVI4R2QSNQUKSRHGTHGUO7","A1362Z1A98OYI0","Submitted","Thu Jun 22 12:46:58 PDT 2017","Thu Jun 22 13:51:16 PDT 2017","Sun Jun 25 13:51:16 PDT 2017","","","","3858","100% (2/2)","100% (2/2)","100% (2/2)","0","What good movies have you seen lately?","Well, the movie is about this doctor who get's his hands messed up and wnats to find a way to heal them.","Ok. So, what is so special about that?","He goes to a monk temple in Asia and he starts learning magic tricks.","Now I'm more interested.","So, because he is an extremely intelligent guy, he becomes like super gifted in all the magic community.","And what are his super powers?","He can teleport and he change the physical properties of the places he is in. He can also play with time.","I bet the specail effects are amazing to show all of those things happening.","The special effects are out of this world. The movie is a whole experience.","Okay, you convinced me. I'll watch it.","The other night I saw this new movie: ""Doctor Strange"". I totally recommend it.","You wont regret it.","Does it have famous actors? I haven't heard about it.","The actors are recognizable but I do not know the names.","What is the movie about?","It is ""Marvel"" movie. A superhero movie.","I don't like those kinds of movies that much.","But this one has like a different approach. It is very well thought of, and not just packed with non-sense action.","Oh, ok. Tell me a bit more.","",""
"3BPP3MA3TCECA1SFUWUM78WW5VBLEM","3H2ZGQZOTY2P6RYE28EK9LCO2SLXYQ","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment, arts, conversation, writing","$0.80","Thu Jun 22 00:32:58 PDT 2017","9","BatchId:2844889;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:32:58 PDT 2017","","","3Z7VU45IPZB0H9D1NBVHXNJN2OBZ14","A1XDVD860H3PX4","Submitted","Thu Jun 22 12:00:23 PDT 2017","Thu Jun 22 12:06:05 PDT 2017","Sun Jun 25 12:06:05 PDT 2017","","","","342","100% (52/52)","100% (52/52)","100% (52/52)","0","What was the last movie you saw?","I guess you're right.  It was pretty funny.","Like when the girl started freaking out while shopping.","Or when the FBI guy sniffed and licked the panties.","That was gross.  He's such a meathead.","How about when they started rapping.","That was awesome.","Another part when she farted in front of Terry Cruz.","And he basically just farted back.","Nothing she could do would turn him off haha.","Yeah he was the best character in the movie.","I just saw White Chicks.","Best line ""you end up in a wheel chair.","That movie was funny.","It was ok, it had it's moments.","Oh come on.  Like Terry Cruz didn't crack you up the whole time.","Ok, that guy was hilarious.","The way he just kept coming after that poor girl.  If you can call her that.","Yeah, and how could no one tell how ugly they looked.","That laugh they had was funny too.","",""
"3BPP3MA3TCECA1SFUWUM78WW5VBLEM","3H2ZGQZOTY2P6RYE28EK9LCO2SLXYQ","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment, arts, conversation, writing","$0.80","Thu Jun 22 00:32:58 PDT 2017","9","BatchId:2844889;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:32:58 PDT 2017","","","3ZR9AIQJUC3K7N4U6Z1RPMN4W1Q40I","A2L22HZ50T83UK","Submitted","Thu Jun 22 08:49:37 PDT 2017","Thu Jun 22 09:21:29 PDT 2017","Sun Jun 25 09:21:29 PDT 2017","","","","1912","100% (1/1)","100% (1/1)","100% (1/1)","0","What classic movies do you like?","I've only seen The Graduate and none of Woody's","That's a pity. Annie Hall really is a classic. Did you like The Graduate","I did but I thought Tootsie was funnier","It is. Sydney Pollack pulled a Hitchcock in that one with his cameo.","Oh yeah, he was the agent. I forgot. I will have to look out for Hitchcock's cameos.","It's my favorite thing to do. I love spotting them.","I think it's better than full on starring like Allen.","Sure that can be too much sometimes.","A little touch is better.","Yeah let the actors do their jobs.","I'm a huge Hitchcock fan.","Luckily the greats always hired really capable actors","I've only seen Psycho, any other suggestions for me?","You have to see The Birds and Vertigo for sure","I've heard his later stuff is not as good","Yeah most would agree. I think Marnie is probably his last good movie.","Have you seen his early stuff?","Yes I've seen everything and I'd say it's for hardcore fans only but take a look at Lifeboat, that holds up.","I will. I usually go for comedy. Mike Nichols, Woody Allen that kind of movie.","",""
"3FI30CQHVKDWKDDOX1MUHH8EC396BZ","3H2ZGQZOTY2P6RYE28EK9LCO2SLXYQ","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment, arts, conversation, writing","$0.80","Thu Jun 22 00:32:58 PDT 2017","9","BatchId:2844889;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:32:58 PDT 2017","","","32KTQ2V7RE9I77HDCZKG4R5XLX59MW","A1WBGYZ6Y8NJ9","Submitted","Thu Jun 22 15:28:10 PDT 2017","Thu Jun 22 15:30:48 PDT 2017","Sun Jun 25 15:30:48 PDT 2017","","","","158","100% (241/241)","100% (227/227)","100% (157/157)","0","I really love the batman movies","How are they not as refined","Well does anyone pull a heath ledger","What?","Someone pulling the role close to the comics","I think he was far from the comics in the dark knight","How though","Well he lacked the same depth","Nah their was plenty of depth","Really?","Yes really?","They are pretty rad","Pfft","I mean most of them have some the best performances","I do not know i like spiderman","Well they are both good","Yeah that is true","But the actors in spiderman are not as refined","Are you kidding me","No i am serious","",""
