"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence11","Answer.sentence12","Answer.sentence13","Answer.sentence14","Answer.sentence15","Answer.sentence16","Answer.sentence17","Answer.sentence18","Answer.sentence19","Answer.sentence2","Answer.sentence20","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"3Y3CZJSZ9KNNHGUZOFYFPQZIYX75R7","3H2ZGQZOTY2P6RYE28EK9LCO2SLXYQ","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment, arts, conversation, writing","$0.80","Sun Jun 25 03:37:05 PDT 2017","9","BatchId:2847866;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 02 03:37:05 PDT 2017","","","3180JW2OT5695C9G6CU7CJ8EVB25JG","A359S477C2ZWER","Submitted","Sun Jun 25 08:31:32 PDT 2017","Sun Jun 25 09:00:04 PDT 2017","Wed Jun 28 09:00:04 PDT 2017","","","","1712","100% (2/2)","100% (2/2)","100% (2/2)","0","Do you have a favorite movie?","Well, Emma Thompson played Marrianne's older sister. What was her character's name?","I think they just called her Miss Dashwood. Who else?","Hugh Laurie was in it too. He was Mrs. Jennings' son in law.","Who was Mrs. Jennings?","She was the lady that took in the Dashwood's after their brother took their inheritance.","Was she the lady who was always trying to get Marianne to tell who her sister was in love with?","Yes, I thought she was so funny!","Who played her character?","Elizabeth Springs is her name but I've never seen her in any other movie.","I'm sure she has done quite a few movies because she is really good.","I have several favorites and the answer changes with my mood. Do you have a favorite?","I bet you're right. Let's look her up and see what other movies she's done.","I think my current favorite is Sense and Sensibility. Have you seen it?","I think so. Does it have Alan Rickman in it?","Yes, he plays Colonel Brandon.","Oh that's right! I do like that movie.","I think my favorite character is Marianne Dashwood. She is such a romantic.","Yes, I like her character too but there are a lot of great actors in that movie.","Kate Winslet, Hugh Grant, and Alan Rickman are the only ones I can think of. Who else?","x",""
"3Y3CZJSZ9KNNHGUZOFYFPQZIYX75R7","3H2ZGQZOTY2P6RYE28EK9LCO2SLXYQ","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment, arts, conversation, writing","$0.80","Sun Jun 25 03:37:05 PDT 2017","9","BatchId:2847866;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 02 03:37:05 PDT 2017","","","31JLPPHS2VOKS8D986YJ5IRGG9VO32","A3RYTY3QHRXNIY","Submitted","Sun Jun 25 12:04:57 PDT 2017","Sun Jun 25 12:07:53 PDT 2017","Wed Jun 28 12:07:53 PDT 2017","","","","176","100% (495/495)","100% (429/429)","100% (374/374)","0","Have you seen the new transformers movie","I plan on going to thr movies this weekend","Are you going to see it","Probably","Same here","I liked all the transformers movies","Me too","Its a good series","Yes it is","Ill be sad if it ends","Me too","No","Noce talking to you","I want to see it","Whats it called","Transformers, the last night","Oh okay","It looks so good","It sounds like their trying to end the transformers story","It does kind of sound like it","x",""
"3Y3CZJSZ9KNNHGUZOFYFPQZIYX75R7","3H2ZGQZOTY2P6RYE28EK9LCO2SLXYQ","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment, arts, conversation, writing","$0.80","Sun Jun 25 03:37:05 PDT 2017","9","BatchId:2847866;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 02 03:37:05 PDT 2017","","","33CID57105NCMNACVEIRD1NML4TL3L","A18IXM5QQMIMGO","Submitted","Sun Jun 25 13:30:18 PDT 2017","Sun Jun 25 13:39:34 PDT 2017","Wed Jun 28 13:39:34 PDT 2017","","","","556","0% (0/0)","0% (0/0)","0% (0/0)","0","So what did you think?","No, it destroyed a lot of the original Star Wars mythology for me.","Like what?","Rey didn't even know that the Force existed an hour ago, and now she is using mind control!","So what is wrong with that?","Well, Luke trained with Yoda and Obi Wan for a very long time, and she just ""knows"" How is that possible?","I never thought about it like that.","Also, she has never even seen a Millenium Falcon and fixes it better that Han! Oh and don't get me started on the ""convenient"" timing of everything.","But it's Star Wars!","In name only!","So, you don't think that you'll go see it?","About what?","No, I will, I'm keeping the faith that they will be more faithful to the story and explain some of the major plot holes.","The new Star Wars trailer that we just watched silly!","The trailer looked really awesome, but I'm still not that excited to see it.","Really, you? You are the biggest Star War fan that I know!","Yes, I know, I don't know if you know this, but I even read all the non-canonical books as well. I could never get enough.","So what changed?","The movie, A New Hope, kind of killed the franchise for me.","Don't you think that is a little extreme?","x",""
"3Y3CZJSZ9KNNHGUZOFYFPQZIYX75R7","3H2ZGQZOTY2P6RYE28EK9LCO2SLXYQ","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment, arts, conversation, writing","$0.80","Sun Jun 25 03:37:05 PDT 2017","9","BatchId:2847866;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 02 03:37:05 PDT 2017","","","3DEL4X4EL7F82KOPYIE5EPEM1EUYXM","A2R0YYUAWNT7UD","Submitted","Sun Jun 25 11:38:51 PDT 2017","Sun Jun 25 13:17:36 PDT 2017","Wed Jun 28 13:17:36 PDT 2017","","","","5925","100% (11/11)","100% (11/11)","100% (11/11)","0","Let's rent a movie tonight.  Any ideas?","I remember that gorgeous scenery.","Like on the drive, when they hit that little rabbit.","Her name was Trudy.","It was so sad when that other guy found out they had eaten her!","I know.  There are so many little, wonderful scenes.  I think about that movie a lot.","I always think of that scene on the beach, with the old man who wouldn't sell his land, becausr it was such a special place.  It sure was.","Like the oranges washing up on the beach.","I wonder how many beautiful places like that are destroyed by the oil industry.","I know.  I didn't realize how many things were made from petroleum.  For instance, dry cleaning fluid.","It was great that Mr. Knox changed his mind.","Yes!  I was just thinking that I would love to see 'Local Hero' again.  Have you seen it?","It really was. A happy ending!","I LOVE that movie!  I remember Al Gore saying it was his favorite movie, so I knew I loved him!  It has such an off beat, weird kind of humor!","I never was a big  Burt Lancaster fan, but he was great in this.","He really was, especially with that psychiatrist Clapper or Trapper!","That's right!   I forgot about him!","That is definitely on my top 10 list.","I would put in my top five.","Now I want to go to Scotland!","x",""
"3Y3CZJSZ9KNNHGUZOFYFPQZIYX75R7","3H2ZGQZOTY2P6RYE28EK9LCO2SLXYQ","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment, arts, conversation, writing","$0.80","Sun Jun 25 03:37:05 PDT 2017","9","BatchId:2847866;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 02 03:37:05 PDT 2017","","","3FE7TXL1LJHYS2U6JJCIBDHOPWZ2QZ","A3PYNS3ZLLJJRP","Submitted","Sun Jun 25 06:54:40 PDT 2017","Sun Jun 25 07:05:44 PDT 2017","Wed Jun 28 07:05:44 PDT 2017","","","","664","100% (1/1)","100% (1/1)","100% (1/1)","0","Have you watch Clint Eastwood movie called Grand torino?","what's the big deal about it","there is!","and what is that?","I think you should watch the movie so that you can find it out what story has made me like the movie","okay I will watch it","good so that you can find out what is the feeling of leaving your parent alone","and why is that question?","well it's one scene in the movie","is that so?","but it is more on how friendship is","no I'm not familiar with that movie","I think I'm gonna see this movie I'm interested in what you are trying to tell me","you should watch it","why?","the story is touching","what is the story?","a story of an old man who live alone","and?","he live in the neighborhood of asian","x",""
"3Y3CZJSZ9KNNHGUZOFYFPQZIYX75R7","3H2ZGQZOTY2P6RYE28EK9LCO2SLXYQ","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment, arts, conversation, writing","$0.80","Sun Jun 25 03:37:05 PDT 2017","9","BatchId:2847866;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 02 03:37:05 PDT 2017","","","3HFNH7HEMI8O7W2DIYX7DHBPZFNQGP","AIIAYS92CK5HK","Submitted","Sun Jun 25 14:14:08 PDT 2017","Sun Jun 25 14:17:23 PDT 2017","Wed Jun 28 14:17:23 PDT 2017","","","","195","100% (46/46)","100% (36/36)","100% (18/18)","0","One movie I have never seen is Braveheart.","Really? Why is that?","I do not know, I prefer movies like horror and comedies.","Well, there are some movies that are action that are also funny.","I guess I just never really give movies a chance then.","I have a few you need to see.","Like what?","Well Braveheart you must watch, and also have you seen Jarhead?","Jarhead, that has Jake Gyllenhall in it?","Yes, it is based on his tour overseas in the military.","I have seen some of it, is it funny too?","You have never seen Braveheart? How so?","Some parts are funny, its a must watch!","I just never watched it, it stars Mel Gibson, correct?","Yes it does, it is such a great movie.","That is what I have heard, I have just never sat down to watch it.","You are missing out, it is such a classic.","I must be the only person who has never seen it then.","It is action packed.","I am not a huge fan of action movies honestly.","x",""
"3Y3CZJSZ9KNNHGUZOFYFPQZIYX75R7","3H2ZGQZOTY2P6RYE28EK9LCO2SLXYQ","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment, arts, conversation, writing","$0.80","Sun Jun 25 03:37:05 PDT 2017","9","BatchId:2847866;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 02 03:37:05 PDT 2017","","","3PS7W85Z80WMK27XLWLSQ50PF9NT9B","A42MGR8VOZVA","Submitted","Sun Jun 25 12:34:18 PDT 2017","Sun Jun 25 12:41:11 PDT 2017","Wed Jun 28 12:41:11 PDT 2017","","","","413","100% (67/67)","100% (47/47)","100% (47/47)","0","Did you get to see Beauty and the Beast?","Most of the time I do not go see those types of movies.","Musicals are not my type either, but they are pretty good when Disney has a hand in them.","It is doing very well in the box office.","So far it has grossed $1.25 Billion dollars.","That is insanely good!","It is the 10th best grossing film of all time.","I wonder how much the actors make off such large cuts like that?","I am sure it is in their contracts.","I can only imagine how much it will get by December.","We should go see it together.","Not yet, I knew it came out the other week, so I have just been working too much as usual!","That would be fun!","You should go and see it, it's great!","Tell me about it!","It is a Disney remake of the classic tale, where the Beast must be transformed by love or he will die a beast.","Who plays in it?","Emma Watson, Dan Stevens, Luke Evans, Josh Gad, and Ian McKellan play in this remake.","Was the music pretty good?","Yes! Most of it was sung, and I was surprised how good it was.","x",""
"3Y3CZJSZ9KNNHGUZOFYFPQZIYX75R7","3H2ZGQZOTY2P6RYE28EK9LCO2SLXYQ","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment, arts, conversation, writing","$0.80","Sun Jun 25 03:37:05 PDT 2017","9","BatchId:2847866;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 02 03:37:05 PDT 2017","","","3ZQIG0FLQFAC9QOUJ2VZ57WLAVTVWO","A134K8O4EOZ45W","Submitted","Sun Jun 25 14:47:39 PDT 2017","Sun Jun 25 14:58:08 PDT 2017","Wed Jun 28 14:58:08 PDT 2017","","","","629","0% (0/0)","0% (0/0)","0% (0/0)","0","What is your favorite Marilyn Monroe movie?","Yeah! Of course, as is with these types of movies, Nell doesn't simply do as she's told and watch the girl, but her eyes wonder to a gentlemen across the hotel's next building. I'll leave it there!","Is there any other big  name stars in it?","No one as big a Monroe, that's for sure. But, it does have Anne Bancroft playing a minor role as a hotel singer.","What year was it released?","I think early 1950s.","Pretty early in Monroe's career then?","Yeah! She is very fresh faced in the movie!","Why do you think it's one of her lesser known roles?","Well, like I said, it is very early in her career, and she is not all ""sexed"" up like she was in other films. The theme is also dark, about suicide, and I think it might scare some people. I also admit, sometimes it borders on the melodramatic, but, I really love it! I love seeing her playing a serious role like that.","I can see some parellels between Nell's character and Monroe's own personal life, can't you.","I'd have to say, ""Don't bother to Knock"".","For sure! I think that's another reason why I like it so much. I can only imagine how much she gleaned from her real life to play the role, and it makes it that much more special of a performance.","That's not one I hear too often! What do you like the most about the movie?","I know, usually people say ""Seven Year Itch"" or ""Gentlemen Prefer Blondes""! But, I love her character in the movie, Nell.","What is Nell Like?","Very different from Monroe's other characters! She is a young woman who was just released from the mental hospital after attempting suicide because her husband was lost overseas during World War Two.","Wow, that sounds dramatic, not like the light hearted comedies she was in before. What is the main storyline, without giving away any spoilers!","It is very dramatic, almost a dark noir, sort of like ""Niagra"" in a way. Well, the main storyline is that her Uncle works as a elevator man and is letting Nell have a gig babysitting one of the guest's childern while they attend some banquet.","Seems interesting already!","x",""
"3Y3CZJSZ9KNNHGUZOFYFPQZIYX75R7","3H2ZGQZOTY2P6RYE28EK9LCO2SLXYQ","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment, arts, conversation, writing","$0.80","Sun Jun 25 03:37:05 PDT 2017","9","BatchId:2847866;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 02 03:37:05 PDT 2017","","","3ZY8KE4ISKX7PTS87TWTDIEZMU6QV9","A2AY1896F5RYKT","Submitted","Sun Jun 25 12:04:13 PDT 2017","Sun Jun 25 12:14:59 PDT 2017","Wed Jun 28 12:14:59 PDT 2017","","","","646","0% (0/0)","0% (0/0)","0% (0/0)","0","Have you seen the new Amy Schumer movie?","Well this movie sounds like a total must-see.","I agree! I've been dying to see it but everyone I know has already seen it and I hate going to the movies alone.","Well, I still haven't seen it - and at this point, if you go without me I'll be offended!","Haha - well, I wouldn't want to do that. Let's find a time to see it this week together, sound good?","Yes, sounds great! It's been forever since I've been to the movies.","Me too. And I think a good female buddy comedy would be the perfect way to break our dry spell.","Awesome, it's a date. Hey, out of curiosity, do you know who directed the movie?","Someone called Jonathan Levine. I've never heard of him, but with this cast, I'm willing to take the chance on a director I've never heard of.","No arguments from me. You want to go on Friday? I can order the tickets now on my phone.","Perfect. You get the tickets, I'll get the popcorn.","You mean Snatched? No, I haven't, but it looks really funny!","It's a date! Goldie Hawn and Amy Schumer, here we come!","I know, right? It's got Goldie Hawn in it - I love Goldie Hawn.","Me too. Hawn and Schumer together - sounds terrific. They play a mother and daughter, right?","Yes. It's a comedy-adventure movie, lots of hijinks and shenanigans.","Nothing better than hijinks and shenanigans. Though to be honest I'd watch Goldie Hawn read the telephone book.","Haha! I agree! Ooh, also, it's got Kim Caramele in it.","I've never heard of her - is she a comedian?","Yes, and trust me, she's hilarious.","x",""
"3JAOYN9IHLWSKZMTZ69QSVYIEN033B","3H2ZGQZOTY2P6RYE28EK9LCO2SLXYQ","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment, arts, conversation, writing","$0.80","Sun Jun 25 03:37:05 PDT 2017","9","BatchId:2847866;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 02 03:37:05 PDT 2017","","","30BUDKLTXEP1UWNOSBJGF3VMQ3QE5O","A42MGR8VOZVA","Submitted","Sun Jun 25 16:04:01 PDT 2017","Sun Jun 25 16:14:45 PDT 2017","Wed Jun 28 16:14:45 PDT 2017","","","","644","100% (67/67)","100% (47/47)","100% (47/47)","0","Baby Driver just came out this June, did anyone see it?","Who was the director?","Edgar Wright was the director in this film.","Do you know who starred in it?","Ansel Elgort, Lily James, Jamie Foxx, and Kevin Spacey star in this movie.","I love Jamie Foxx. He is fantastic.","You should go see it too with me!","What time are you going?","I wanted to go see it Friday.","Does 6pm sound good?","I think that will be perfect after work.","I haven't, is it any good?","I will see you there.","I will be going to see it this weekend. I can't wait!","What is the story line?","Talented getaway driver Baby (Ansel Elgort) relies on the beat of his personal soundtrack to be the best in the game. Then he meets the love of his life.","Sounds action packed.  What kind of reviews has it gotten so far?","It has 8 out of 10 stars, so it the reviews have been phenomenal so far .","Nice to know!  Who were the production companies on this movie?","Working Title Films, Big Talk Productions, Media Rights Capital I think were the big hitters in this one.","x",""
