"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence11","Answer.sentence12","Answer.sentence13","Answer.sentence14","Answer.sentence15","Answer.sentence16","Answer.sentence17","Answer.sentence18","Answer.sentence19","Answer.sentence2","Answer.sentence20","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"3RQVKZ7ZRKDL00RXXIYBM256CG227T","33GOZHXTK7OBAJVK38G9LSOGH2KSF7","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment","$0.50","Sat May 13 04:45:48 PDT 2017","9","BatchId:2801531;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:45:48 PDT 2017","","","33M4IA01QHVZ5JC3KNMB6TLPVSXXR0","A1QQIZ2A5TZ5MR","Approved","Sat May 13 14:11:25 PDT 2017","Sat May 13 14:40:05 PDT 2017","Tue May 16 14:40:05 PDT 2017","Sun May 14 03:31:40 PDT 2017","","","1720","100% (1/1)","100% (1/1)","100% (1/1)","0","I'm a big Jane Fonda fan, I can't wait to watch Klute.","Don't Breathe looks to be a really frightening movie as well.","I don't think I've seen the trailer, what is Don't Breathe about?","Some young people decide to rob a blind man, but it turns out he's a serial killer.","That sounds amazing, I'm really into movies like that.","The plot from Klute reminds me of Dressed to Kill, the DePalma film from the eighties.","I loved Dressed to Kill, and I can see what you mean about the plot similarity.","Being in the wrong place at the wrong time is a popular cinematic plot device.","I think movies from the seventies have a quality that I really appreciate.","Me too, I think it may have something to do with the film stock that was used back then, they have a distinct look.","Don't get me started on DePalma, Scorsese and the rest of those directors, I could talk forever!","I've never seen Klute is it a new film?","Now those were some of the best when it came to making great movies!","No, Klute came out in the seventies when Jane Fonda was making a lot of movies.","I think I've heard of that film, does she play a waitress?","I'm not sure, but I think she plays a secretary who witnesses a murder.","That was a popular theme in movies from the seventies.","What was the last good horror movie you watched?","I really enjoyed It Follows, I can't stop thinking about it.","I saw the trailer for It Follows, it looked really good.","",""
"3RQVKZ7ZRKDL00RXXIYBM256CG227T","33GOZHXTK7OBAJVK38G9LSOGH2KSF7","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment","$0.50","Sat May 13 04:45:48 PDT 2017","9","BatchId:2801531;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:45:48 PDT 2017","","","3A7Y0R2P2PII7VTQCID242ZYLAFJX4","A2ANLYFY8COULI","Approved","Sat May 13 09:28:27 PDT 2017","Sat May 13 09:45:07 PDT 2017","Tue May 16 09:45:07 PDT 2017","Sat May 13 10:39:47 PDT 2017","","","1000","100% (9/9)","100% (9/9)","100% (9/9)","0","I am digging 300!","That does sound pretty awesome. That isnt the end is it?","Far from it! Leonius gathers his men 300 Spartans, to hold off this weird guy and his army of a million.","A million? Seriously?","yes, I think the first wave was 100,000.","How are 300 people supposed to stop 100,000 warriors?","Spartans historically were fierce , each Spartan on the battle field was said to be worth no less than 10 men.","Still those odds seem pretty steep.","Leonius stopped them at first with a wall.","I guess a wall would work for a little while","It was no ordinary wall. It was made of the corpses of the enemies. It was like 50 feet high and twenty feet thick.","300, what is that?","Yuck! can you imagine the smell? It would be an effective image to be sure!","Have you not seen 300? The one about the Spartans?","No, I have seen the trailer. Been wanting to see it.","I just got finished with it, the CG was flawless.","Was there a lot of CG, Hollywood is getting carried away with it in my opinion.","There is a fair amount, mostly in the battle scenes. When He kicks the messagner in the well, epic.","How epic can kicking somone in  a well be.","Ok, so this messagner comes to Sparta to tell Leonius to surrender and serve him and the town will be spared. He backs him up to the town well and kicks him in the chest!","",""
"3RQVKZ7ZRKDL00RXXIYBM256CG227T","33GOZHXTK7OBAJVK38G9LSOGH2KSF7","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment","$0.50","Sat May 13 04:45:48 PDT 2017","9","BatchId:2801531;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:45:48 PDT 2017","","","3E13VNJ1NOPEMJORN77VXSGX3H21IB","AO33H4GL9KZX9","Approved","Sat May 13 17:18:33 PDT 2017","Sat May 13 17:35:37 PDT 2017","Tue May 16 17:35:37 PDT 2017","Sun May 14 03:31:40 PDT 2017","","","1024","100% (7/7)","100% (7/7)","100% (7/7)","0","it was the worst in the X men series if you ask me.","What about that chick with light saber arm? That chick was a bad ass.","Maybe if the character was developed more. Though that's true of all the Horsemen. Really the only thing that was sort of bad ass was her jumping off the plane and landing using her light saber arm thing.","And the egyptian girl and Magneto?","I still have no idea what value that egyptian girl brings to the whole genre.","She's Storm. They just decided it to give it a Egyptian twist","See that's kinda retarded.","Did you like anything about the movie?","Magneto was total bad ass. The whole premise that Earth contains magnetic materials and that magneto can harness that is terrifying.","That was pretty good.","The way Jean walks out form the building floating in the air. that was good too.","No way. it had the best special effects, great story line.","That was scary good. it felt like I was there looking up at her. Total bad ass.","Special effects are not the problem, it's the premise.","Premise that 4 horsemen accompanies the Ancient God mutant? What's wrong with that?","It's a stupid premise. Look at the horsemen what were they...","The dude with the wing,","Yeah the flying guy who gets his wings replaced with some steel wing feather thing. How is he a Horseman of the apocalypse?","Because he can fly and shoot his steel feathers at people.","That's so sophomoric.","",""
"3RQVKZ7ZRKDL00RXXIYBM256CG227T","33GOZHXTK7OBAJVK38G9LSOGH2KSF7","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment","$0.50","Sat May 13 04:45:48 PDT 2017","9","BatchId:2801531;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:45:48 PDT 2017","","","3J4Q2Z4UTZXK4ISDX31PZKXDQ4PWQ5","A214JTAHTAWUKA","Approved","Sat May 13 13:07:59 PDT 2017","Sat May 13 13:13:50 PDT 2017","Tue May 16 13:13:50 PDT 2017","Sun May 14 03:31:40 PDT 2017","","","351","100% (7/7)","100% (7/7)","100% (7/7)","0","Did you see that new Comedy, Why Him?","A classic, another is Me, Myself and Irene","That is not a classic movie, but funny. Did you see the Truman show?","Yes, long time ago. Did you like the comedy the MAsk?","Of course! Gold, the sequel was awful.","They usually are. Like the sequel to the prequels of Star Wars.","No way man, I loved Episode two.","You are the only one. Did you like it better than the original trilogy?","No, let us not go that far man, I did like it. What was your favorite Star Wars?","Return of the Jedi, hands down. How about you?","Has to be... A new Hope, classic. Did you like Revenge of the Sith?","With the guy form breaking bad? No, was it funny?","It was ok, good for the prequels.Did you?","Yeah, it was. Not as good as Crazy,Stupid Love, though.","Oh yeah that was similar and great, kind of like Love Actually.","I love that one. Did you see the one similar to that, Valentines Day?","No, I heard of it. Was it not just like, He's not that into you?","Similar. Made me miss old comedies, what is your favorite classic comedy?","Maybe, Ground Hog's Day. Is that a classic movie yet?","No, I do not think so. Mine would be The Frisco Kid.","",""
"3RQVKZ7ZRKDL00RXXIYBM256CG227T","33GOZHXTK7OBAJVK38G9LSOGH2KSF7","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment","$0.50","Sat May 13 04:45:48 PDT 2017","9","BatchId:2801531;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:45:48 PDT 2017","","","3LEIZ60CDKTI6EGWROAACT16X6Q9ZN","AVFEF3TMBLERO","Approved","Sat May 13 13:38:38 PDT 2017","Sat May 13 13:39:34 PDT 2017","Tue May 16 13:39:34 PDT 2017","Sun May 14 03:31:41 PDT 2017","","","56","100% (10/10)","100% (10/10)","100% (10/10)","0","Did you see the new Vin Diesel movie?","Yes Ellen Degeneres and Pixar did their think in that movie for sure!","Did you see the preview for the new Pirates of the Carribean movie?","They are making another one? Why?","Yes it looks boring!","They really need to stop making those movies","Yes some movies do not need a sequel","Yeah, they are making another Cars movie too.","But, why that is so unessary? I love the new Beauty and the beast movie.","Yes, Emma Watson nailed it! She played belle so elegantly!","She surely did, I cannot believe some people refused to watch it because of  the Lafoo character.","You mean the Fate of the Furious?","I know, that was ridiculous. That was my childhood favorite movie, so of course I went.","Yes, it was such an action packed movie","I loved the dynamics between Letty and Dominic for sure!","I cannot wait until they come out with the next part of the series.","Me either! I am ready fot watch the Boss Baby movie!","Yes that looks absolutely hilarious.","I loved the Finding Dory movie","It was too cute, we bought the DVD.","",""
"3RQVKZ7ZRKDL00RXXIYBM256CG227T","33GOZHXTK7OBAJVK38G9LSOGH2KSF7","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment","$0.50","Sat May 13 04:45:48 PDT 2017","9","BatchId:2801531;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:45:48 PDT 2017","","","3Q5C1WP23NV2AVTCGNO18JCSYU2519","AF18OIZ0GWGP2","Approved","Sat May 13 05:22:09 PDT 2017","Sat May 13 05:42:20 PDT 2017","Tue May 16 05:42:20 PDT 2017","Sat May 13 06:12:28 PDT 2017","","","1211","100% (1/1)","100% (1/1)","100% (1/1)","0","What's your favorite movie?","I don't think so.","Yeah, he was the older brother, in the flashbacks.","Oh yeah, I guess he was. Think that was one of his first roles?","He was in Sixteen Candles before that.","Sixteen Candles?","He played one of the geeks, you know, Farmer Ted's friends.","I don't remember that.","Remember when he needs the picture of the drunk girl and nice car?","Not really.  I didn't really like the movie, so I've only seen it once and that was a long time ago.","Oh, well, okay.  He was in Better Off Dead, too.","I don't know, The Shawshank Redemption, maybe.","Oh my god, yes, that's a funny movie.","Yeah, that's a good one.  Based on a Stephen King story, right?","Yeah, like Stand by Me.","Oh, yeah.  It's been forever since I watched that.","Remember the leeches?","Yes!  Remember the story in it with all the vomiting?","Ugh, didn't like that part very much.","John Cusack was in that.","",""
"3RQVKZ7ZRKDL00RXXIYBM256CG227T","33GOZHXTK7OBAJVK38G9LSOGH2KSF7","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment","$0.50","Sat May 13 04:45:48 PDT 2017","9","BatchId:2801531;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:45:48 PDT 2017","","","3TVRFO09GL9O2LHQF3PFKHCQPZHLX5","ATADQXPHL10Y8","Approved","Sat May 13 05:44:36 PDT 2017","Sat May 13 05:47:04 PDT 2017","Tue May 16 05:47:04 PDT 2017","Sat May 13 06:12:28 PDT 2017","","","148","100% (50/50)","100% (50/50)","100% (50/50)","0","Any good sports films come out lately?","True, I guess nothing.","Well we know Kurt Russell will probably star in it.","I dont think thats accurate.","Did you like Miracle?","I did, I actually saw it in real life.","You were at the game?","No I watched it on TV.","The movie was pretty spot on.","Yeah it was I just dont know how much behind the scenes stuff is true.","Well it is a film, they have to spice it up.","Not that I can remember in the last couple of years.","Guess you could call Hollywood fake news sometimes.","I think that era in Hollywood has passed.","I just dont think anything captivating has happened in sports to warrant a movie.","Yeah but studios can turn mountains out of mole hills.","Some drama cant even be manufactured if you think about it.","Well outside of that, what do you think the next sports movie would be.","Maybe about the Patriots dynasty.","That sounds more like a documentary.","",""
"3RQVKZ7ZRKDL00RXXIYBM256CG227T","33GOZHXTK7OBAJVK38G9LSOGH2KSF7","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment","$0.50","Sat May 13 04:45:48 PDT 2017","9","BatchId:2801531;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:45:48 PDT 2017","","","3TXD01ZLD5B0N9GA46FBETBB9WXU4N","A11QDNT3W7DT7K","Approved","Sat May 13 15:47:24 PDT 2017","Sat May 13 15:55:01 PDT 2017","Tue May 16 15:55:01 PDT 2017","Sun May 14 03:31:41 PDT 2017","","","457","100% (3/3)","100% (3/3)","100% (3/3)","0","Hey, fellow nerd. Do you prefer Marvel or DC Comics for their movies?","Marvel also is far too silly. Did you see Guardians 2?","Yeah, it was fun, but far too silly, I see what you mean.","I get the characters are how they are supposed to be, but it's so comical it's unrealistic at that point.","There's lots of stuff that they'll have to address in the MCU, too.","Like?","Well, Peter Quill saw the universe, and everything. He may have lost his god powers, but he didn't lose his memory.","Think he'll use that to defeat Thanos?","I don't know; maybe he'll be a ""bad guy"" for a bit, or tease it.","Did they ever put him and Gamorrah together? Or just hint at the sexual tension?","I have no idea. Speaking of not knowing anything, we now see TONS of species of aliens in MCU thanks to Guardians, yet none of these worlds have been addressed on Earth.","Hey, fellow nerd. I prefer Marvel strongly.","Yeah, didn't Thor claim just 9 realms? This movie had like 20 types of people...","Why is that?","Other than them being factually better based on reviews, overall they are more fun and well-made.","What about the villains?","What about them? What do you mean?","Well, in the MCU, the villains are after-thoughts. Look at the dark elves in Thor 2, any villain in Guardians of the Galaxy, even Ultron. They all lose somewhat easily.","Yeah, that's a good point. But the DC movies are all too heavily edited.","True, the director and producers are far too heavy-handed in it and make it into a massive mess.","",""
"3RQVKZ7ZRKDL00RXXIYBM256CG227T","33GOZHXTK7OBAJVK38G9LSOGH2KSF7","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment","$0.50","Sat May 13 04:45:48 PDT 2017","9","BatchId:2801531;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:45:48 PDT 2017","","","3UJ1CZ6IZIJ24FS6T63L4KZ1OV8S5B","A1ZOFPPZVYQ0Z8","Approved","Sat May 13 17:29:13 PDT 2017","Sat May 13 17:35:10 PDT 2017","Tue May 16 17:35:10 PDT 2017","Sun May 14 03:31:41 PDT 2017","","","357","100% (1/1)","100% (1/1)","100% (1/1)","0","Have you seen the latest Star wars movie?","Was there a lot of action in it?","Yes, there was . It just didn't seem as well written.","Were some of the original characters in it?","Yes, there were quite a few. Mark Hamill was in it of course!","Would you recommend I see it?","Yes, it is a good movie. Just not as good.","Was it worth it to see it in 3d?","Yes, that made a lot of the action scenes look really cool.","Maybe I will try to see it. Where did you see it?","I saw it at AMC.","No, I didn't . Have you?","ok, thanks for the information.","Yes, I saw it last weekend.","How did you like it?","I thought it was very good. I saw it in 3D.","How do you think it compared to the original star wars movie?","I didn't think it was anywhere as good.","Why not?","I thought the story line was much better in the original.","",""
"3GITHABACYFA3LJKDPF0IZRWCV6N2O","33GOZHXTK7OBAJVK38G9LSOGH2KSF7","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment","$0.50","Sat May 13 04:45:48 PDT 2017","9","BatchId:2801531;OriginalHitTemplateId:920937340;","7200","259200","Sat May 20 04:45:48 PDT 2017","","","37Q970SNZF23GXRNSJ191UMKCEOS1C","AKOX5C7VP718G","Approved","Sat May 13 10:45:28 PDT 2017","Sat May 13 10:51:34 PDT 2017","Tue May 16 10:51:34 PDT 2017","Sat May 13 11:35:26 PDT 2017","","","366","100% (1/1)","100% (1/1)","100% (1/1)","0","So, what's your favorite movie?","My two little girls just loved Frozen.","Did you see the new Beauty and the Beast?","No, I haven't seen that one yet.","The last movie I saw in the theater was the new M. Night Shyamalan movie.","He's a really good director I think.","I didn't really like that one movie Lady in the Water.","No, but Signs and the Village were really good movies.","I heard that M. Night Shyamalan is making a sequel or something to Unbreakable.","I don't think I saw that movie.","Bruce Willis starred in Unbreakable, so did Samuel L. Jackson.","I really like Man on Fire with Denzel Washington.","Oh yeah, wasn't that the one where he was like a superhero or something?","Was Denzel Washington in that movie Deja Vu?","He was, I watched it on Netflix last week actually.","You know I watched The Secret Life of Pets on Netflix with my kids last weekend.","I saw that with my kids in the movie theater, that was a good movie.","My kids really liked that new Moana movie too.","I really like Moana.","Disney has been making some good movies lately.","",""
