"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence11","Answer.sentence12","Answer.sentence13","Answer.sentence14","Answer.sentence15","Answer.sentence16","Answer.sentence17","Answer.sentence18","Answer.sentence19","Answer.sentence2","Answer.sentence20","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"371QPA24C2I19D68RH1YMFNJ97N1TV","33GOZHXTK7OBAJVK38G9LSOGH2KSF7","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment","$0.50","Sun May 14 03:34:22 PDT 2017","9","BatchId:2802033;OriginalHitTemplateId:920937340;","7200","259200","Sun May 21 03:34:22 PDT 2017","","","3LRKMWOKB6B76UVX6FVV26TSR0N2ZV","A28A7NZUJWGZ7Q","Approved","Sun May 14 07:02:13 PDT 2017","Sun May 14 07:10:46 PDT 2017","Wed May 17 07:10:46 PDT 2017","Sun May 14 11:27:04 PDT 2017","","","513","100% (2/2)","100% (2/2)","100% (2/2)","0","Hi there, are you a fan of the director Peter Jackson?","Not a whole lot, but I know he was really into campy gory, B-movie type films.","I've heard that too, I'm interested to check them out, they sound like they'd be entertaining to watch.","Do you like other fantasy films as well, like Harry Potter?","Definitely! The Harry Potter movies were pretty great.","I liked them too. Daniel Radcliffe has really branched out since the Potter days as well.","Yeah, he's went on to do some amazing work, but I think he'll always be best known for his work on the Harry Potter films.","That's probably true. It must be pretty crazy for those kids in the movies to watch themselves literally grow up on screen.","It must be! Speaking of the Harry Potter kids, have you seen Emma Watson as Belle in the new Beauty and the Beast remake?","Yes, I did, I thought that she was fantastic.","So did I! They really did a terrific job with the reboot.","Yes, I love Peter Jackson's work! What's your favorite movie he's directed?","They certainly did the original film justice. It was a great family movie.","Definitely the Lord of the Rings trilogy, they're some of my favorite movies ever.","Me too, those movies were truly epic.","I wasn't quite as keen about the series of Hobbit movies unfortunately.","Yeah, I feel the same way, they didn't quite capture the old magic.","I agree. The visuals and special effects were spectacular but it felt like they rehashed a lot of the Lord of the Rings material.","Yes, I don't think think that it quite lived up to expectations.","Have you seen any of his earlier work?","",""
"371QPA24C2I19D68RH1YMFNJ97N1TV","33GOZHXTK7OBAJVK38G9LSOGH2KSF7","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment","$0.50","Sun May 14 03:34:22 PDT 2017","9","BatchId:2802033;OriginalHitTemplateId:920937340;","7200","259200","Sun May 21 03:34:22 PDT 2017","","","3K4J6M3CXFNWKGVWT20LNHWKSYLGAR","A2DZQW708M6IEZ","Approved","Sun May 14 07:38:29 PDT 2017","Sun May 14 07:45:25 PDT 2017","Wed May 17 07:45:25 PDT 2017","Sun May 14 11:27:04 PDT 2017","","","416","100% (3/3)","100% (3/3)","100% (3/3)","0","Oh, I am so disappointed that Beauty and the Beast is no longer in theaters.","No, though I have been planning to.","I have the DVD at my house. Are you free for a movie night at my place?","Let me check my schedule.","What's the verdict?","I'm free! Are there any other movies you want me to bring?","Hmm... The Cinderella remake was pretty good.","I agree, I'll bring my copy.","I also have several anime movies that I want to watch.","Miyzaki films?","Some of them! Ponyo is Miyazaki, but I also have a Fullmetal Alchemist movie I want to watch.","You didn't see it?","Sounds like it's going to be a fun night!","No! And I was so excited to see Emma Watson as Belle!","Hermione as Belle does make perfect sense, doesn't it?","It really, really does. Do you know when the movie comes out on DVD?","At the beginning of June, I think.","That's not too far away! Want to watch it with me when it comes out?","Of course! You know I'm a sucker for Disney movies.","Have you seen Moana yet?","",""
"371QPA24C2I19D68RH1YMFNJ97N1TV","33GOZHXTK7OBAJVK38G9LSOGH2KSF7","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment","$0.50","Sun May 14 03:34:22 PDT 2017","9","BatchId:2802033;OriginalHitTemplateId:920937340;","7200","259200","Sun May 21 03:34:22 PDT 2017","","","3WEV0KO0ONMX8S7Z8CL42WNT1CCDSA","A2UNSF09FWX9S8","Approved","Sun May 14 07:19:15 PDT 2017","Sun May 14 07:23:08 PDT 2017","Wed May 17 07:23:08 PDT 2017","Sun May 14 11:27:04 PDT 2017","","","233","100% (1/1)","100% (1/1)","100% (1/1)","0","Did you see the new Guardians","Ha, the dialogue between her and Drax was epic.","How about when baby groot kept bringing them the wrong stuff?","Very funny.","What did you think about the golden race.","Meh. It was okay. Maybe next movie they'll do better.","I was surprised to see Sylvester Stallone.","I guess there's a whole scavenger backstory.","Could be another movie.","Hopefully we see it.","Did you know that the mining planet is the head of a Celestial.","oh yea, awesome.","Like Kurt Russel?","What was your favorite part?","Probably the intro.  Baby Groot dancing was amazing.","I liked the scene where Yondo uses his arrow.","You mean when the lights go out and the music starts?","Uh huh.  It was kickass to see him do so much destruction.","Yondo is my favorite character. Sad to see him die.","I liked the new girl, the one with the horns.","",""
"371QPA24C2I19D68RH1YMFNJ97N1TV","33GOZHXTK7OBAJVK38G9LSOGH2KSF7","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment","$0.50","Sun May 14 03:34:22 PDT 2017","9","BatchId:2802033;OriginalHitTemplateId:920937340;","7200","259200","Sun May 21 03:34:22 PDT 2017","","","3ZPPDN2SLWQKVJP0V1WXRJ0O90O9EO","A30VK4ZMOWY6RL","Approved","Sun May 14 07:34:05 PDT 2017","Sun May 14 07:38:28 PDT 2017","Wed May 17 07:38:28 PDT 2017","Sun May 14 11:27:04 PDT 2017","","","263","100% (1/1)","100% (1/1)","100% (1/1)","0","Do you like Jurassic Park?","Too scary. I don't like to watch people get eaten.","But it's a movie!","Doesn't matter. It'll give me nightmares.","Didn't you just watch the movie Saw?","Yeah it was great.","And that didn't give you nightmares?","Nope, I laughed through the whole thing.","That seems a little odd.","Yeah everyone I was watching with thought so too.","You might be insane.","What's that?","I agree.","You've never seen Jurassic Park?","Oh, is that the one with the aliens?","You've got to be kidding me. Jurassic Park has the dinosaurs in it.","Oh yeah! The Steven Spielberg one.","Yeah, only one of the greatest movies of the past 30 years.","Yeah, I've never seen it. I prefer romance movies.","So you really wouldn't watch Jurassic Park?","",""
"371QPA24C2I19D68RH1YMFNJ97N1TV","33GOZHXTK7OBAJVK38G9LSOGH2KSF7","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment","$0.50","Sun May 14 03:34:22 PDT 2017","9","BatchId:2802033;OriginalHitTemplateId:920937340;","7200","259200","Sun May 21 03:34:22 PDT 2017","","","39O5D9O87UMJJJG6I1PSAIXZOW1C3H","A31UXXZVI3U4E2","Approved","Sun May 14 07:44:07 PDT 2017","Sun May 14 07:57:41 PDT 2017","Wed May 17 07:57:41 PDT 2017","Sun May 14 11:27:04 PDT 2017","","","814","100% (2/2)","100% (2/2)","100% (2/2)","0","Are you going to the showing of The Grateful Dead Movie next time they put it out in theaters.","You might be right i cant remember if suicide came out before that or not.  I cant even think of any other R rated comic book movies.","Me neither maybe one of the bat mans were but im pretty sure they are all pg-13.","Nah im pretty sure they are all pg-13.  But do you think they are gonna replace wolverine with his clone daughter?","Probably, they need a new cash cow since they are retiring wolverine.  People will probably go just as crazy for her as they did for him.","probably, besides i bet they'll try anything a couple of times.  Its hard to lose money on a comic book movie people will still see them even if they are terrible.","thats true i remember all of my friends going to see electkra.","O lord that was a terrible one, remember daredevil with ben affleck.","Unfortuanitely i do remember that one, i cant believe they made him batman after his terrible performance in daredevil.","Well he probably has a really good agent.","I would imagine so.  But anyways nerve came in the mail today you want to come over and watch it?","You bet, i missed it last time because of work.  Ive always wanted to see it on the big screen.","Sure, doesn't that have julia roberts niece in it?","I know its awesome.  I love the sound of it if you go to a good theater with a good sound system.","Have they done the same thing with the other DVD's they've put out.","No i don't believe so but that would be awesome, i would love to see truckin up to buffalo on the silver screen.","Thats too bad.  Have you seen the new wolverine movie yet Logan?","Ya i did i thought it was pretty good, i definitely wasn't expecting the movie to go the way it did.","I know i didn't read anything about the movie and just went and saw it.  All the death in it really surprised me.","The R rating really surprised me too, i think it was the first comic book movie with an R rating.","",""
"371QPA24C2I19D68RH1YMFNJ97N1TV","33GOZHXTK7OBAJVK38G9LSOGH2KSF7","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment","$0.50","Sun May 14 03:34:22 PDT 2017","9","BatchId:2802033;OriginalHitTemplateId:920937340;","7200","259200","Sun May 21 03:34:22 PDT 2017","","","36H9ULYP63O17925CO7GYVZRH6FJFB","A3A8P4UR9A0DWQ","Approved","Sun May 14 08:02:51 PDT 2017","Sun May 14 08:15:38 PDT 2017","Wed May 17 08:15:38 PDT 2017","Sun May 14 11:27:04 PDT 2017","","","767","100% (3/3)","100% (3/3)","100% (3/3)","0","I went to see King Arthur this weekend.","I can't see that.","I did like the music. It was gritty.","I heard some of it during the trailers for the movie.","There really wasn't a love interest but seemed to be like there would a glimmer of one but that never came to be.","I think it was marketed as more action oriented.","The other characters needed to be fleshed out more.","Yes there is a fine line if you don't care about the characters you have nothing vested if they are injured or wronged.","This is what I was thinking but I did leave wondering about the movie.","This is what a good movie will do. It keeps you looking for more.","The graphics were pretty cool too.","I heard it got mixed reviews.","It read that it was an expensive movie to make so I can see how the graphics would be amazing.","I left thinking about it for sure.","So what did you think about it?","Well, first off you have to forget everything you know about the original King Arthur stories.","I had heard it wasn't much like them.","I would say the only thing similar is the name King Arthur and Excalliber.","I saw that it had some pretty intense fight secenes.","It did. They were well choreographed but almost seemed forced.","",""
"371QPA24C2I19D68RH1YMFNJ97N1TV","33GOZHXTK7OBAJVK38G9LSOGH2KSF7","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment","$0.50","Sun May 14 03:34:22 PDT 2017","9","BatchId:2802033;OriginalHitTemplateId:920937340;","7200","259200","Sun May 21 03:34:22 PDT 2017","","","3NJM2BJS4X0QQ8LTGZMZNL00TSSCPS","A3NHJPE6326P9V","Approved","Sun May 14 05:04:39 PDT 2017","Sun May 14 05:22:38 PDT 2017","Wed May 17 05:22:38 PDT 2017","Sun May 14 11:27:04 PDT 2017","","","1079","100% (3/3)","100% (3/3)","100% (3/3)","0","Tell me about the movie you lhate ove the most","It was just plain stupid","Whats another hated movie","Well I would have to say any western movie","Why do you not like westerns they are great !","They are stupid, except for posse.","posse by mario van peobles ?","yes it is so good.","Did you like rosewood ?","Oh yes I did that was also good","so you do not like movie remakes ?","I would have to saythe new roots movie","No","Why is that ?","I hates it because it was a total rip off of the original","what do you think about the first roots movie","I loved it so much","What about the 2nd worst movie","I would have to say the flintstons movie when they went to vagas","Why do you hate it ?","",""
"371QPA24C2I19D68RH1YMFNJ97N1TV","33GOZHXTK7OBAJVK38G9LSOGH2KSF7","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment","$0.50","Sun May 14 03:34:22 PDT 2017","9","BatchId:2802033;OriginalHitTemplateId:920937340;","7200","259200","Sun May 21 03:34:22 PDT 2017","","","39JEC7537VV3VSIP2BVYTDPIFGSVCV","AMNRYECHXZY34","Approved","Sun May 14 04:53:10 PDT 2017","Sun May 14 05:01:57 PDT 2017","Wed May 17 05:01:57 PDT 2017","Sun May 14 05:23:01 PDT 2017","","","527","100% (2/2)","100% (2/2)","100% (2/2)","0","Did you see Manchester by the Sea this year?","Well it was sad, but not as depressing as I heard it was.","Yes, I thought that it was going to be tough to get through.","Exactly. I found myself able to still enjoy the movie without being hammered with sadness.","So do you agree that Casey Affleck deserved the Best Actor Oscar for it?","He was good, but I've seen him as a good actor for a long time.","Yes, he could have gotten the award for a lot of other roles he played.","It seems like that is a common practice. The Oscars always wait to give someone the award, and try to make up for past mistakes.","Yeah just like Martin Scorsese. He directed like ten great movies before they gave him his Oscar.","Yes, that example came to my mind as well.","It probably all has to do with money and politics, and that makes me not want to watch the Oscars anymore.","Yes, I didn't go to the movies to see it though.","I agree. It kind of ruins the magic of the movies to think of all the money-makers behind the scenes.","Yeah, me neither. I watched it at home.","I don't think it needs to be seen at the theater.","So what did you think about it?","I liked it, but I didn't love it.","I agree. For all the hype that it was getting, I expected a lot.","Yes, I would have preferred to just see it without hearing the reviews first.","Did you find it incredibly depressing?","",""
"371QPA24C2I19D68RH1YMFNJ97N1TV","33GOZHXTK7OBAJVK38G9LSOGH2KSF7","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment","$0.50","Sun May 14 03:34:22 PDT 2017","9","BatchId:2802033;OriginalHitTemplateId:920937340;","7200","259200","Sun May 21 03:34:22 PDT 2017","","","3R2UR8A0IBAW86KNSV57CYGKK5JOXO","ATADQXPHL10Y8","Approved","Sun May 14 03:58:19 PDT 2017","Sun May 14 04:01:48 PDT 2017","Wed May 17 04:01:48 PDT 2017","Sun May 14 05:23:21 PDT 2017","","","209","100% (59/59)","100% (59/59)","100% (59/59)","0","What movie do you want to see most the rest of the year?","I think Baywatch might be funny.","The Rock is so boring as an actor.","Did you like Fate of the Furious?","No I think it sort of ran its course.","That franchise is never going away.","It will if people stop going.","People will never stop going.","Vin Diesel is a campy actor.","Hes your typical meathead. Hollywood loves those types.","At what point do we  stop watching those kinds of movies?","I dont really have anything specific I want to see","Never. People always love those sorts.","How about the newest Thor?","Not really I think thats the weakest in the MCU.","I loved it and his character.","I Just dont see it being relatable.","How about Guardians of the Galaxy?","Well I already saw that cause it came out.","Yeah forgot about that.","",""
"30OITAWPBQXTT9I8V0Z2N22EWPGH9A","33GOZHXTK7OBAJVK38G9LSOGH2KSF7","Create a dialog on movies for twenty sentences","Create a dialog on movies for twenty sentences","dialog, chat, movies, entertainment","$0.50","Sun May 14 03:34:22 PDT 2017","9","BatchId:2802033;OriginalHitTemplateId:920937340;","7200","259200","Sun May 21 03:34:22 PDT 2017","","","3C6FJU71TRNGLGUUTD3IUIFI4X1UYD","A175PJR0W3LO8I","Approved","Sun May 14 04:39:15 PDT 2017","Sun May 14 04:56:53 PDT 2017","Wed May 17 04:56:53 PDT 2017","Sun May 14 05:22:40 PDT 2017","","","1058","100% (1/1)","100% (1/1)","100% (1/1)","0","Rogue One: A Star Wars Story just came out on Blu-Ray and streaming.  Did you see it?","What! You mean the story is going to continue past this current trilogy?","Yeah, it opens up the possibility for a whole new trilogy after Episode 9.","Wow, that totally lessens the importance of these next two movies....like there is no finality.  I wish they didn't announce that.","It should keep this current generation of new Star Wars fans in the loop and maybe a whole new generation in 10 years.","So by the time the final movie comes out in 2030 or so, it would be more than 50 years since the first movie!","That's so crazy! But I guess it goes to show how the first Star Wars movie completely revolutionized film making at the time.","Yeah. Even though it's somewhat dated now, there are parts of it that are still fresh and relevant today.","I sometimes watch parts of it whenever it's re-run on TV, and often find myself noticing new things about it, every time.","It's amazing how most of the first three films are not CG!  They are almost all live action, with miniatures and clever effects.","Yeah, it should teach filmmakers today a lot of lessons about not becoming so reliant on CG.","I saw it at the movie theater, and will definitely see it again online.","So, the next movie comes out by the end of the year....I can't wait!!","It's amazing how Tarkin and Leah were completely generated by CG.","I didn't realize it until I read about it online.  It's sad that Carrie Fisher passed away right after the movie was released.","I'm sure it was devastating news for a generation of Star Wars fans.","It's a good thing that she had already finished filming her parts for the upcoming Episode 8 movie.","Oh, the ""Last Jedi""!  It's coming out in December, right?  Did you see the teaser trailer?","I saw it a few weeks ago. It was just a teaser but I am already excited nonetheless!!","Disney announced that they will be making Star Wars films at least through 2030!","",""
