"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence11","Answer.sentence12","Answer.sentence13","Answer.sentence14","Answer.sentence15","Answer.sentence16","Answer.sentence17","Answer.sentence18","Answer.sentence19","Answer.sentence2","Answer.sentence20","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"30QQTY5GMKEUKC0ZG28HSL0YVH8U7A","3OVLEL0XX0SUEWH8X3K4ZWWEWQQHEV","Create a dialog on music for twenty sentences","Create a dialog on music for twenty sentences","dialog, chat, music, entertainment, arts, conversation, writing","$0.70","Thu May 25 02:47:29 PDT 2017","9","BatchId:2814930;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 01 02:47:29 PDT 2017","","","337RC3OW06WWYWCVFOOXWWF5ANBVLD","A3R457FAWQXZN3","Approved","Thu May 25 06:29:48 PDT 2017","Thu May 25 06:57:23 PDT 2017","Sun May 28 06:57:23 PDT 2017","Fri May 26 03:05:15 PDT 2017","","","1655","100% (4/4)","100% (4/4)","100% (3/3)","0","What's your favorite current artist?","It is. They have inductions every year for new artists.","Cool Who was on the bill last year?","ELO, Joan Baez, Journey, Pearl Jam, Tupac and Yes.","Oh wow, that's diverse.","It is, they don't just honor rock artists.","That's interesting! I love Pearl Jam though.","Same. Did you hear about Chris Cornell?","Yeah, really sad! Seems like the last of the 90's grunge artists are on their way out.","Right. Still got Eddie Vedder though!","Do they still even tour?","Not sure, I guess I would say the Black Keys.","Yep, they are on tour right now actually.","Oh, interesting! They are from Ohio, right?","Yes, Akron.","Huh, interesting. Is there a lot of good music from there?","Of course, Akron is right outside of Cleveland.","What's Cleveland got to do with music?","It's the Home of Rock and Roll!","Oh, that's right, the Rock and Roll Hall of Fame is there isn't it?","",""
"30QQTY5GMKEUKC0ZG28HSL0YVH8U7A","3OVLEL0XX0SUEWH8X3K4ZWWEWQQHEV","Create a dialog on music for twenty sentences","Create a dialog on music for twenty sentences","dialog, chat, music, entertainment, arts, conversation, writing","$0.70","Thu May 25 02:47:29 PDT 2017","9","BatchId:2814930;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 01 02:47:29 PDT 2017","","","34Q075JO1Y73FO7BJHIPROG1IML01E","A2H29J9I5X9Z2Q","Approved","Thu May 25 11:29:45 PDT 2017","Thu May 25 11:35:15 PDT 2017","Sun May 28 11:35:15 PDT 2017","Fri May 26 03:05:15 PDT 2017","","","330","100% (16/16)","100% (16/16)","100% (8/8)","0","What type of music do you like?","That's a great song, the music video was awesome, too! Nicki Minaj is so talented.","I also like her song, ""The night is still young""","Yes, another great song and music video.","I'm really into Taylor Swift, do you like her?","I do! Not her country songs as much as her pop songs though.","I like them all.","I love that most of her songs are written about her personal experiences.","That is awesome. She connects better with the fans that way.","I'm glad she ventured over into pop music. I think she's a great singer.","She really is. I like Carrie Underwood too.","I like pop, and 80s music.","I'm not a big country music fan, but I like some of her songs.","Pop music is great. Britney Spears is one of my favorite artists.","I like her too! I wish her newer albums were better. The older ones were the best.","Do you like the song she did with Iggy Azalea?","I wasn't a fan. I didn't like the video either.","What other pop artists do you like?","I enjoy Christina Aguilera, Lady Gaga, Ariana Grande.","I love the song Ariana Grande did with Nicki Minaj. ""Side to Side"".","",""
"30QQTY5GMKEUKC0ZG28HSL0YVH8U7A","3OVLEL0XX0SUEWH8X3K4ZWWEWQQHEV","Create a dialog on music for twenty sentences","Create a dialog on music for twenty sentences","dialog, chat, music, entertainment, arts, conversation, writing","$0.70","Thu May 25 02:47:29 PDT 2017","9","BatchId:2814930;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 01 02:47:29 PDT 2017","","","36DSNE9QZ6SVDMFYBRQ6LP85A58OJ1","A2WQWHBN0BF4U7","Approved","Thu May 25 05:33:43 PDT 2017","Thu May 25 05:42:43 PDT 2017","Sun May 28 05:42:43 PDT 2017","Fri May 26 03:05:15 PDT 2017","","","540","100% (7/7)","100% (7/7)","100% (6/6)","0","also you should check out justin timberlake new single","he is,so many songs in his catalogue","he has a new song out though","isn't it ""love in the air""?","yes you're right, ""love in the air"" its already number 2 on billboard for 2 weeks now.","oh really? so who's on number one on billboard then.","drake""one dance"" ft wizkid.","oyeah that's a big tune to be honest","it is and i enjoyed wizkid's part more.","yh i do as well,he made it groovy.","yeah he did, i heard he is now signed to sony","oh that, am not a fan of justin","are you serious? please be right back my mum's calling.","like really","yes, though i love one of his classic ""cry me a river""","yeah that was a popular one","yeah, aside that i haven't really enjoyed his recent works and i don't even keep up with news about him","anyways i like him though,although i generally love rnb songs","i do love rnb songs my best rnb artist would be r.kelly","oh r.kelly is a legend","",""
"30QQTY5GMKEUKC0ZG28HSL0YVH8U7A","3OVLEL0XX0SUEWH8X3K4ZWWEWQQHEV","Create a dialog on music for twenty sentences","Create a dialog on music for twenty sentences","dialog, chat, music, entertainment, arts, conversation, writing","$0.70","Thu May 25 02:47:29 PDT 2017","9","BatchId:2814930;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 01 02:47:29 PDT 2017","","","36H9ULYP63O17925CO7GYVZRI58JF3","AFR2GOR6210C9","Approved","Thu May 25 11:05:27 PDT 2017","Thu May 25 11:19:48 PDT 2017","Sun May 28 11:19:48 PDT 2017","Fri May 26 03:05:15 PDT 2017","","","861","100% (4/4)","100% (4/4)","100% (4/4)","0","Have you heard of the band Tancred?","Oh yeah, I know them! They're the band that toured with Paramore a while back, right?","Yeah, that's them! Actually, I think some of the songs on Tancred's new album sound a little bit like Paramore.","I still really love Paramore, so that sounds awesome.","You should definitely check out their new album.","I will. What's it called?","It's called Out of the Garden.","Cool. What song do you suggest I look up first?","My favorite song, by far, is Bed Case.","Awesome. Looking that one up on Spotify right now. How'd you hear about Tancred?","I heard the song Bed Case, actually, on the NPR podcast All Songs Considered.","I haven't, actually. Who are they?","I should keep up with newer music more by listening to podcasts like that too. Just started listening to the song. I love it!","They're sort of like an indie rock type band.","Cool. What type of indie-rock music do they make? Do you think I'd like them?","Yeah, I think you would. Some of the music is really 90's girl-punk sounding. I love it.","Awesome! Sounds like something I'd like, definitely!","Yeah. Actually, the band is technically just one girl.","Anyone I'd know from another band or something.","Maybe! Tancred is technically a ""solo project"", I guess, by Jess Abbott from the band Now, Now.","",""
"30QQTY5GMKEUKC0ZG28HSL0YVH8U7A","3OVLEL0XX0SUEWH8X3K4ZWWEWQQHEV","Create a dialog on music for twenty sentences","Create a dialog on music for twenty sentences","dialog, chat, music, entertainment, arts, conversation, writing","$0.70","Thu May 25 02:47:29 PDT 2017","9","BatchId:2814930;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 01 02:47:29 PDT 2017","","","3FE2ERCCZY2RZXIW64VQILUHJ53OPS","A2ECRNQ3X5LEXD","Approved","Thu May 25 10:55:45 PDT 2017","Thu May 25 11:51:37 PDT 2017","Sun May 28 11:51:37 PDT 2017","Fri May 26 03:05:15 PDT 2017","","","3352","100% (31/31)","100% (31/31)","100% (31/31)","0","What type of music do you like?","Machine pichu","I like that too. It is so catchy.","What about others by them?","I do not know others unfortunately.","Oh that is too bad.","I guess I should listen to it.","You should!","What other music do you like?","I like soul.","Who is your favorite?","I like alternative.","Sia","What bands?","I like arctic monkeys.","Oh same!","Yeah I like them a lot but didn't realize how popular they are.","That is interesting. Who else do you like?","The strokes.","What songs do you like?","",""
"30QQTY5GMKEUKC0ZG28HSL0YVH8U7A","3OVLEL0XX0SUEWH8X3K4ZWWEWQQHEV","Create a dialog on music for twenty sentences","Create a dialog on music for twenty sentences","dialog, chat, music, entertainment, arts, conversation, writing","$0.70","Thu May 25 02:47:29 PDT 2017","9","BatchId:2814930;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 01 02:47:29 PDT 2017","","","3P4MQ7TPPY65C9SDJU83HHPTV2TBBE","A3UJVTH2ZKYBGU","Approved","Thu May 25 13:26:43 PDT 2017","Thu May 25 13:35:19 PDT 2017","Sun May 28 13:35:19 PDT 2017","Fri May 26 03:05:15 PDT 2017","","","516","100% (63/63)","100% (63/63)","100% (20/20)","0","So how do you feel about the Beatles?","Yes, what's that about.","You belong to the people when your famous.","I know, but he feels that he's done enough.","Come on.","I know, look at all he has from the fans.","He owes them at least an autograph.","At least he still tours.","Yes, but who wants to see him?","I would.","Me too.","I love the Beatles. You?","Plus he's expensive to see live.","Love the Beatles to.","Who is your favorite Beatle.","John Lennon and who is yours?","Paul.","Who do you know likes ringo.","I know a few people.","Have you heard that message from ringo saying he won't sign autographs.","",""
"30QQTY5GMKEUKC0ZG28HSL0YVH8U7A","3OVLEL0XX0SUEWH8X3K4ZWWEWQQHEV","Create a dialog on music for twenty sentences","Create a dialog on music for twenty sentences","dialog, chat, music, entertainment, arts, conversation, writing","$0.70","Thu May 25 02:47:29 PDT 2017","9","BatchId:2814930;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 01 02:47:29 PDT 2017","","","3P4RDNWND60LH04VDWD11SCJYWAIJ1","A1HWI4N1RJGKYY","Approved","Thu May 25 06:16:33 PDT 2017","Thu May 25 06:25:02 PDT 2017","Sun May 28 06:25:02 PDT 2017","Fri May 26 03:05:15 PDT 2017","","","509","100% (103/103)","100% (103/103)","100% (39/39)","0","Morning.","What about you?","I like blues and rock.","cool.","Do you have a favorite band?","I really like Jack White.","Yeah I like a lot of his new stuff.","The White Stripes were great as well.","Yeah I listened to them a lot.","Same here.","Take it easy.","Good morning.","You too.","How are you today?","Doing ok, you?","Yeah same here.","Good.","What kind of music do you like?","I like indie rock.","That's cool.","",""
"30QQTY5GMKEUKC0ZG28HSL0YVH8U7A","3OVLEL0XX0SUEWH8X3K4ZWWEWQQHEV","Create a dialog on music for twenty sentences","Create a dialog on music for twenty sentences","dialog, chat, music, entertainment, arts, conversation, writing","$0.70","Thu May 25 02:47:29 PDT 2017","9","BatchId:2814930;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 01 02:47:29 PDT 2017","","","3SB4CE2TJWP762QMIC0PB3WFWMLAXE","A1PE4AWFGVLQS","Approved","Thu May 25 06:29:16 PDT 2017","Thu May 25 06:36:53 PDT 2017","Sun May 28 06:36:53 PDT 2017","Fri May 26 03:05:16 PDT 2017","","","457","100% (5/5)","100% (5/5)","100% (2/2)","0","Have you heard any new music lately?","I bought the new New Found Glory album too.","Is it good?","Actually, I am quite disappointed in it.","Why's that?","The songs are very generic. It seems like they rushed through making it.","That doesn't sound good. Are there any good songs on it?","Honestly, I don't think there are any memorable songs on the album.","All I've been listening to for the last two month is Kendrick Lamar.","Nice! His new album is amazing.","So good! We have to see him in concert when he's in town.","I just bought the New John Mayer Album.","I can't wait!","Nice! How is it?","I like it. There are some catchy songs on it.","What's it called?","The Search For Everything.","How does it compare to his other albums?","It is good but not as good as his earlier work.","Interesting. Any other new music?","",""
"30QQTY5GMKEUKC0ZG28HSL0YVH8U7A","3OVLEL0XX0SUEWH8X3K4ZWWEWQQHEV","Create a dialog on music for twenty sentences","Create a dialog on music for twenty sentences","dialog, chat, music, entertainment, arts, conversation, writing","$0.70","Thu May 25 02:47:29 PDT 2017","9","BatchId:2814930;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 01 02:47:29 PDT 2017","","","3ZWFC4W1UV1I5XLIKTGP0MLISMKFR9","AEWPAZBYA7XE","Approved","Thu May 25 12:55:00 PDT 2017","Thu May 25 13:00:53 PDT 2017","Sun May 28 13:00:53 PDT 2017","Fri May 26 03:05:16 PDT 2017","","","353","100% (53/53)","100% (53/53)","100% (40/40)","0","I just caught a show in Reno.","Why did you go?","It was free.","My favorite price!","You going to see any other shows this summer?","No sure. Have you heard of anything coming up.","I heard Willey Nelson is coming through town.","Why would you want to see his show?","He's about a hundred, so it's now or never.","I guess. I didn't know you liked country.","No my favorite, but I'd like to be able to say I saw him in concert.","Who was playing?","I can't argue with that!","Royal Bliss.","Are they still touring?","On a limited basis.","Why limited?","I heard that they are bases out of Utah, so they're just hitting the western states.","I see. Was it any good?","It was OK. They're not my favorite.","",""
"3O2Y2UIUCQOTW9AT472RAQ4HRETFK2","3OVLEL0XX0SUEWH8X3K4ZWWEWQQHEV","Create a dialog on music for twenty sentences","Create a dialog on music for twenty sentences","dialog, chat, music, entertainment, arts, conversation, writing","$0.70","Thu May 25 02:47:29 PDT 2017","9","BatchId:2814930;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 01 02:47:29 PDT 2017","","","31T4R4OBOTA1K2HTKDSINZ9FUYY7CT","A3OWGVIP4VYSPV","Approved","Fri May 26 03:39:54 PDT 2017","Fri May 26 03:46:05 PDT 2017","Mon May 29 03:46:05 PDT 2017","Sat May 27 02:21:59 PDT 2017","","","371","100% (54/54)","100% (54/54)","100% (10/10)","0","How are your guitar lessons coming along?","I'd love that. I want to get better.","We can do that after I get out of work. Do you at least have any chords figured out?","A few but my fingers don't reach and move around well.","You have to limber them up.","I'm trying to.","I'll show you some exercises to help you with that.","I do a few I saw online.","The internet is a wealth of guitar lessons and other info so definitely look things up when you want to learn.","I do that.","You can find videos. Do you use those?","Not great. I can't seem to get my fingers to do what I want them to do.","I use Youtube and some lessons a friend sent me on video.","Keep at it. I know it's tough.","I love music so much. It's discouraging not to be good at it.","I know. At least you're a good singer.","Thanks. That's one thing I feel I can do all right.","You've always been good at it.","You're a much better guitar player.","Maybe I can show you some pointers.","",""
