"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence11","Answer.sentence12","Answer.sentence13","Answer.sentence14","Answer.sentence15","Answer.sentence16","Answer.sentence17","Answer.sentence18","Answer.sentence19","Answer.sentence2","Answer.sentence20","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"3XDJY5RK5SFX1PIGE4AAP9GO533U4O","3QOPOPHLGNDE4J0DIB4EZR0G8HYWBI","Create a dialog on music for twenty sentences","Create a dialog on music for twenty sentences","dialog, chat, music, entertainment, arts, conversation, writing","$0.90","Tue Jun 27 22:16:48 PDT 2017","9","BatchId:2851346;OriginalHitTemplateId:920937340;","7200","259200","Tue Jul 04 22:16:48 PDT 2017","","","34T446B1C18N2RH9ZE798KZSORN0CX","A3BI0AX5T5GVO3","Submitted","Wed Jun 28 06:24:49 PDT 2017","Wed Jun 28 07:34:13 PDT 2017","Sat Jul 01 07:34:13 PDT 2017","","","","4164","100% (9/9)","100% (8/8)","100% (8/8)","0","Did you hear System of a Down is touring?","One can only hope.","I loved all their older stuff.","BYOB is always one of my favorite songs.","Yeah that one is a good one.","They just have so many to choose from!","They do! I like IEAIAIO.","Yup that is another great song.","I wonder if they'll record their shows.","I'm sure they will.","If we can we should buy a dvd of one.","What? I thought they broke up.","Let's do it.","They did but they're back together again.","No way! We should see them!","Unfortunately they're only touring over in Europe.","Ugh of course they are.","I'm glad to see them back together though.","Me too! That's so awesome.","I wonder if they'll write anymore music.","x",""
"3XDJY5RK5SFX1PIGE4AAP9GO533U4O","3QOPOPHLGNDE4J0DIB4EZR0G8HYWBI","Create a dialog on music for twenty sentences","Create a dialog on music for twenty sentences","dialog, chat, music, entertainment, arts, conversation, writing","$0.90","Tue Jun 27 22:16:48 PDT 2017","9","BatchId:2851346;OriginalHitTemplateId:920937340;","7200","259200","Tue Jul 04 22:16:48 PDT 2017","","","378XPAWRUD7AG71RJQ0O8T90AIKAI1","A1HWI4N1RJGKYY","Submitted","Wed Jun 28 06:48:09 PDT 2017","Wed Jun 28 07:54:59 PDT 2017","Sat Jul 01 07:54:59 PDT 2017","","","","4010","100% (366/366)","100% (263/263)","100% (125/125)","0","Hi there.","Oh okay.  The Grateful Dead?","Yeah sure love them, but also newer ones as well?","Like Who?","Phish, String Cheese Incident, Moe.","Those are some funny names.","Yeah come to think of it I guess they are.","That is funny.","What about you?","I like rap mainly.","What kind of rap?","Hey.","90's rap mostly.","What kind of music are you into?","I like pop music mainly.","Oh okay.","Yeah.  What about you?","I like a lot of rock and blues.  Some Jam Bands.","What are Jam Bands?","You know kind of hippie music I guess you would call it.","x",""
"3XDJY5RK5SFX1PIGE4AAP9GO533U4O","3QOPOPHLGNDE4J0DIB4EZR0G8HYWBI","Create a dialog on music for twenty sentences","Create a dialog on music for twenty sentences","dialog, chat, music, entertainment, arts, conversation, writing","$0.90","Tue Jun 27 22:16:48 PDT 2017","9","BatchId:2851346;OriginalHitTemplateId:920937340;","7200","259200","Tue Jul 04 22:16:48 PDT 2017","","","3GD6L00D3TR0I2EI8M5NPLNENXXM14","A42MGR8VOZVA","Submitted","Wed Jun 28 06:33:12 PDT 2017","Wed Jun 28 07:30:04 PDT 2017","Sat Jul 01 07:30:04 PDT 2017","","","","3412","100% (117/117)","100% (97/97)","100% (57/57)","0","I am a Bryan Adams fan!","Back to You is one of my all time favorites!","Summer of 69 and When You Love Someone is also great.","I have to check that album out!","His more recent album Get Up was released in 2015.","Who was the label?","Polydor Records was the label for that record.","What were some of the songs on it?","You Belong to Me and Go Down Rockin are some on that album.","I haven't seen it yet, I will go buy that record.","I think they are all on sale at the music store.","Really , what songs do you like best of his?","Thanks!  Will do!","Beyan Adams Unplugged was one of my favorite albums of his.","When was it released?","It was released in 1997 and was a huge success for him.","Did he win any awards?","That year he won Echo Award for Best International Rock/Pop Male Artist.","That is fantastic! What songs are on that one?","Cuts You Like a Knife and Back to You are on that famous album.","x",""
"3XDJY5RK5SFX1PIGE4AAP9GO533U4O","3QOPOPHLGNDE4J0DIB4EZR0G8HYWBI","Create a dialog on music for twenty sentences","Create a dialog on music for twenty sentences","dialog, chat, music, entertainment, arts, conversation, writing","$0.90","Tue Jun 27 22:16:48 PDT 2017","9","BatchId:2851346;OriginalHitTemplateId:920937340;","7200","259200","Tue Jul 04 22:16:48 PDT 2017","","","3LOZAJ85YE7I1ZVI5X7A5LDHM7V2XL","A1WOV2JIV5I9VE","Submitted","Wed Jun 28 06:28:01 PDT 2017","Wed Jun 28 07:30:33 PDT 2017","Sat Jul 01 07:30:33 PDT 2017","","","","3752","100% (2/2)","100% (2/2)","0% (0/0)","0","I am so excited to go to the Kanye West concert next weekend.","it has great songs such as Fade, Waves and Wolves.","Wolves featuring Sia is simply jaw dropping.","I remember the first time i heard it on Saturday Night Life.","That was the song of the night.","I am so glad he added that version to the album.","I remember the outcry from fans when he changed the song completely.","I know, i was one of the upset ones.","Sia brings the song to a whole new level.","Her voice is one of a kind.","I wish she was on tour with him, I can't wit to hear Wolves live.","Wow, you got tickets?","Maybe next time!","Yes, I got the last weekend on Seatgeek.","You must have spent a fortune!","Yes, i did but it is worth it.","Do you think he is going to play any songs from Graduation?","I sure hope so, those are his best songs.","I know, Yeezus is a close second but it doesn't beat Graduation.","What do you think of The Life of Pablo?","x",""
"3XDJY5RK5SFX1PIGE4AAP9GO533U4O","3QOPOPHLGNDE4J0DIB4EZR0G8HYWBI","Create a dialog on music for twenty sentences","Create a dialog on music for twenty sentences","dialog, chat, music, entertainment, arts, conversation, writing","$0.90","Tue Jun 27 22:16:48 PDT 2017","9","BatchId:2851346;OriginalHitTemplateId:920937340;","7200","259200","Tue Jul 04 22:16:48 PDT 2017","","","3MD9PLUKKJ83VGKQSYTFUUWQ525ZNR","A1NITBXDX8TN7T","Submitted","Wed Jun 28 03:38:18 PDT 2017","Wed Jun 28 03:47:04 PDT 2017","Sat Jul 01 03:47:04 PDT 2017","","","","526","100% (21/21)","100% (20/20)","100% (8/8)","0","Billy Joel is probably one of the best musicians of our lifetime.","Yes I guess they had to return the carpets they got from Sears.","Piano Man is a classic though.","His piano playing is unbelievable.","I always get amazed at how he was able to write his own music and sing it as well.","Yes, not many are that talented.","If kids nowadays would listen to his music they would realize what they listen to is garbage.","Yep, Billy Joel is a true artistic genius.","I love that not only did he use pianos in his music, but also used a multitude of instruments like wind.","Yes I love the sound of trumpets in many of his songs.","I am glad that he is writing again.","I totally agree. There are very few songs he had that I don't like.","Yes, so am I. Looking forward to a new album from him.","My favorite is Scenes From an Italian Restaurant.","That is a fantastic song and it was amazing it got played on the radio because it is so long.","I love how it incorporates different styles of music.","The different scenes let him do that.","I am singing it in my head right now. Brenda and Eddie were still going steady....","Too bad they got divorced.","Well it was just a matter of course.","x",""
"3XDJY5RK5SFX1PIGE4AAP9GO533U4O","3QOPOPHLGNDE4J0DIB4EZR0G8HYWBI","Create a dialog on music for twenty sentences","Create a dialog on music for twenty sentences","dialog, chat, music, entertainment, arts, conversation, writing","$0.90","Tue Jun 27 22:16:48 PDT 2017","9","BatchId:2851346;OriginalHitTemplateId:920937340;","7200","259200","Tue Jul 04 22:16:48 PDT 2017","","","3R2PKQ87NX2BI8AGGTQTHK404ZQMIE","A29AX5O8KL48F8","Submitted","Tue Jun 27 22:50:19 PDT 2017","Tue Jun 27 23:48:28 PDT 2017","Fri Jun 30 23:48:28 PDT 2017","","","","3489","100% (256/256)","100% (239/239)","100% (137/137)","0","Do you like hilary duff?","It always felt pop like even in the original playful, but duff's was so overproduced.","I do think she struggles vocally some and they over work her stuff.","Yes she doesn't have a very big vocal range at all.","I like her still though.","I think she should stick to acting.","I know there is not much to her singing but I do enjoy it.","she had to turn down a big song because she could not hit the high notes.","Really? what song?","Kelly clarkson's  since you've been gone.","Oh wow, that was a huge hit. Too bad for hilary.","I like her as an actress but not a singer.","No, good for your ears more like it.","she did have some bad songs I admit it.","How awful was the my generation cover she did?","It was pretty bad.","I think worst yet was the cover done with her sister.","I am not sure what song you mean?","The gogo song they covered, they destroyed it!","oh yes, our lips are sealed. It was very pop in their version.","x",""
"3XDJY5RK5SFX1PIGE4AAP9GO533U4O","3QOPOPHLGNDE4J0DIB4EZR0G8HYWBI","Create a dialog on music for twenty sentences","Create a dialog on music for twenty sentences","dialog, chat, music, entertainment, arts, conversation, writing","$0.90","Tue Jun 27 22:16:48 PDT 2017","9","BatchId:2851346;OriginalHitTemplateId:920937340;","7200","259200","Tue Jul 04 22:16:48 PDT 2017","","","3RGU30DZTB27DJUMYBBTTLJ0HEIJMQ","A1PBRKFHSF1OF8","Submitted","Wed Jun 28 03:13:30 PDT 2017","Wed Jun 28 03:24:33 PDT 2017","Sat Jul 01 03:24:33 PDT 2017","","","","663","100% (17/17)","100% (13/13)","100% (9/9)","0","Hi, How are you doing today?","How so?","They used the beat of the music to guide his feet with walking.","That is wonderful.","I know that when I need to relax, soothing music can really help with that.","I like to listen to slow music when I want to fall asleep.","When I clean, I like to listen to dance music to help me want to move.","When I am sad, I listen to sad rock music.","Its nice to hear that you feel the same way I do about music and moods.","I'm so happy I got to have this conversation with you today.","Talk to you later!","Good, I'm glad to see you.  It's been a while.","Bye!","Have you listened to any good music lately?","I have actually. I have been listening to new pop music recently.","So have I.  I like that type of music because it always puts me in a good mood.","I think it is great how different music can put you into different moods.","It really can. I have even heard of music therapy.","Yes, music can really help people.","I saw a video on facebook where they were helping a man walk with music.","x",""
"3XDJY5RK5SFX1PIGE4AAP9GO533U4O","3QOPOPHLGNDE4J0DIB4EZR0G8HYWBI","Create a dialog on music for twenty sentences","Create a dialog on music for twenty sentences","dialog, chat, music, entertainment, arts, conversation, writing","$0.90","Tue Jun 27 22:16:48 PDT 2017","9","BatchId:2851346;OriginalHitTemplateId:920937340;","7200","259200","Tue Jul 04 22:16:48 PDT 2017","","","3VNXK88KKDC1XUBMQRL7RNOAC2X9VH","A2VL807897JLT9","Submitted","Wed Jun 28 06:22:12 PDT 2017","Wed Jun 28 06:32:09 PDT 2017","Sat Jul 01 06:32:09 PDT 2017","","","","597","0% (0/0)","0% (0/0)","0% (0/0)","0","Hey, what's that tattoo on your arm mean?","Kind of a burlesque bouncing beat.","Really?","Yeah, it's definitely the kind of thing you could see a strip tease too.  Matter of fact, that's the theme of the song.","Cool.  And your tattoo - what's it say?","'And she made up her own language.'","What song is that from?","A song called Bone Chain.","Is that another one of your favorite song?","Sort of.  It was my mother's favorite!","So your whole family likes Tom Waits?","This?  It's lyrics from a Tom Waits song.","Pretty much!","Tom Waits?  Never heard of him.  What kind of music is it?","He's like a growly bluesy mix.","Sounds like my cup of tea, what are some of his album names?","Small Change, Raindogs, Orphans - to name a few.","Awesome.  Got a favorite song I should listen to?","Well, Pasties and a G String is a pretty catchy tune.","What's it sound like?","x",""
"3XDJY5RK5SFX1PIGE4AAP9GO533U4O","3QOPOPHLGNDE4J0DIB4EZR0G8HYWBI","Create a dialog on music for twenty sentences","Create a dialog on music for twenty sentences","dialog, chat, music, entertainment, arts, conversation, writing","$0.90","Tue Jun 27 22:16:48 PDT 2017","9","BatchId:2851346;OriginalHitTemplateId:920937340;","7200","259200","Tue Jul 04 22:16:48 PDT 2017","","","3YGXWBAF71B41FZAIFUBKNP553N4C1","A2M4YIC3XU2693","Submitted","Wed Jun 28 00:48:59 PDT 2017","Wed Jun 28 01:00:09 PDT 2017","Sat Jul 01 01:00:09 PDT 2017","","","","670","100% (56/56)","100% (56/56)","100% (56/56)","0","Did you ever get into Disco music?","In that case, I really liked a lot of the music by KC and the Sunshine Band.","Get Down Tonight is a great song by them.","So is Boogie Shoes.","I hnk Donna Summer released some great songs in that genre.","Like Bad Girls?","Yes and Hot Stuff.","I love both of those songs.","I like how disco music made you get up and want to dance.","Especially with a partner.","The current songs of today don't make you feel that way.","Are you joking? Saturday Night Fever is one of my all time favorite albums.","I think some of the EDM songs do.","So you like Bee Gees music?","I love their music. You Should Be Dancing is one of my all time favorite songs.","That album did produce a lot of hits.","I remember learning the line dance for Night Fever.","That was so long ago.","I know. Stop making me feel so old!","You're not old. You just know your music.","x",""
"36818Z1KV37S4KLE8LO0F3COK0FA37","3QOPOPHLGNDE4J0DIB4EZR0G8HYWBI","Create a dialog on music for twenty sentences","Create a dialog on music for twenty sentences","dialog, chat, music, entertainment, arts, conversation, writing","$0.90","Tue Jun 27 22:16:48 PDT 2017","9","BatchId:2851346;OriginalHitTemplateId:920937340;","7200","259200","Tue Jul 04 22:16:48 PDT 2017","","","33LKR6A5KFE4VX42HJ6ZBZI6H5CT1V","A190P2HM4D6ISE","Submitted","Tue Jun 27 23:57:11 PDT 2017","Wed Jun 28 00:26:31 PDT 2017","Sat Jul 01 00:26:31 PDT 2017","","","","1760","100% (8/8)","100% (5/5)","100% (2/2)","0","Hey, so with everything going on in music these days, is there anything that really stands out for you?","Yeah, that's the one. Have you heard any of the songs from that yet?","Yeah, I really like ""I'm the One."" It really stands out for me.","That's the one with Justin Timberlake right?","Yeah, it also has Chance the Rapper and Quavo on it too. It's pretty good.","I really liked it too. There were just so many great artists on it.","""Wild Thoughts"" is super good too. It might, for me, be even a little better than ""I'm the One.""","That was a good song. Rihanna was awesome on it!","Yeah you're totally right. She is pretty much one of my favorite artists right now.","Me too! I am still playing ""Work"" on a non-stop basis!","Oh man, I love that song. It is so, so good.","Oh, yeah, there are tons of great artists doing some awesome things right now. Do you like Imagine Dragons?","Oh, totally! I just can't wait for her new stuff! Hopefully, we won't have to wait too long!","Yeah, they are pretty good. Do you have any favorite songs from their most recent album?","You mean ""Evolve?"" Yeah, I really liked ""Believer.""","I liked that one too. It kind of seemed like everyone else did too. It might be the most popular song from that record.","You might be right. I really liked ""Thunder"" too. That was a great track.","Me too. Pretty much every song on that album was good, but those two really stood out.","Hey, not too change genres or anything, but have you heard anything from the new DJ Khaled album?","You mean ""Grateful?"" The one with Justin Timberlake and Rihanna?","x",""
