"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence11","Answer.sentence12","Answer.sentence13","Answer.sentence14","Answer.sentence15","Answer.sentence16","Answer.sentence17","Answer.sentence18","Answer.sentence19","Answer.sentence2","Answer.sentence20","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"33K3E8REWWPQ1UZDVCBAQSVX1E2X8Q","38GNPDAUFV6KUXKA02RBBJLQ0EFNY0","Create a dialog on NFL football for twenty sentences","Create a dialog on NFL football for twenty sentences","dialog, chat, sports, football, entertainment, conversation","$0.80","Sun Jul 09 05:33:42 PDT 2017","9","BatchId:2863640;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 16 05:33:42 PDT 2017","","","33NF62TLXKWCNVUJDZYDE8RWT0VJKC","AMYYL67LDKPDA","Approved","Sun Jul 09 07:28:14 PDT 2017","Sun Jul 09 07:32:06 PDT 2017","Wed Jul 12 07:32:06 PDT 2017","2017-07-12 14:32:27 UTC","","","232","100% (314/314)","100% (314/314)","100% (40/40)","0","You know what team I like as a real darkhorse this year?","If he could keep his emotions in check, he could be a top five receiver.","I think they added Desean Jackson.","He's lost a few steps, but could be a good slot guy.","They've also got one of my favorite DT's in McCoy.","He's a bit overrated.  Seems like everybody forgets him.","Sure, but he's got some talent.","What do you think of their running back situation?","I love Doug Martin, if he can stay healthy.","That's a big if.  He's taking a real pounding as of late.","If they can just feed him 15 carries a game, he can get through the season.","Who are you thinking?","They just need to pass, pass, pass.","Here's a hint: it's in the NFC.","The Cowboys?","No, that's too trendy.  I was thinking of the Bucs.","Ah yes, they made real strides last year.","I like Winston as QB.  Smart, accurate...","He threw some bad picks in some games, but he's young and learning.","It helps when you've got guys to throw to like Mike Evans.","x",""
"33K3E8REWWPQ1UZDVCBAQSVX1E2X8Q","38GNPDAUFV6KUXKA02RBBJLQ0EFNY0","Create a dialog on NFL football for twenty sentences","Create a dialog on NFL football for twenty sentences","dialog, chat, sports, football, entertainment, conversation","$0.80","Sun Jul 09 05:33:42 PDT 2017","9","BatchId:2863640;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 16 05:33:42 PDT 2017","","","358010RM5FNRYQTKT7RL7QASKWQVX7","A2QMV39XLHC3A3","Approved","Sun Jul 09 13:30:03 PDT 2017","Sun Jul 09 13:42:00 PDT 2017","Wed Jul 12 13:42:00 PDT 2017","2017-07-12 20:42:27 UTC","","","717","100% (1/1)","100% (1/1)","100% (1/1)","0","Hey there, I'm pretty excited for the football season to start, are you?","Yeah the defense and the o-line has been horrible.","It's not small wonder Cutler was perpetually sacked, man couldn't get rid of the ball.","So who are going to be your top picks this year for the draft?","Oh definitely members of the patriots if I can, like brady, gronkowski, edelman.","Yeah the patriots are killing it...but do you think that the broncos can come back without manning behind the helm?","They have a lot of talent in their wide receivers...but you have to have a high quality QB at the helm.","And decent running backs, last year I had todd gurley as one of my first picks, dude hardly got me ANYTHING!","I think Matt Ryan could be strong at the helm for the falcons.","It depends on if he can continue his hot streak of if he slowly peters out like Manning did.","Yeah...I'm still bitter about his abysmal performance.","Absolutely!  I'm getting ready to start draft for my fantasy football league.","Well here's to kicking off ""any given Sunday""!","Oh really?  You have a football league?","Absolutely!  You want to join?","Most definitely, last year in my other league I very mistakenly put my faith in some of the bears players like alshon jeffrey, I'd love a chance at redemption","Oh yeah, the bears have been absolutely terrible as of late.","Yeah I'm hoping with the dump of Jay Cutler that the bears can actually improve.  Who knows, maybe they'll have a shot of making a comeback like the Cubs.","I don't know, I think it's going to take a while for the bears to rebuild their dynasty.","You know who I miss?  Urlacher, that guy was the heart and soul of that team.","x",""
"33K3E8REWWPQ1UZDVCBAQSVX1E2X8Q","38GNPDAUFV6KUXKA02RBBJLQ0EFNY0","Create a dialog on NFL football for twenty sentences","Create a dialog on NFL football for twenty sentences","dialog, chat, sports, football, entertainment, conversation","$0.80","Sun Jul 09 05:33:42 PDT 2017","9","BatchId:2863640;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 16 05:33:42 PDT 2017","","","36W0OB37HX8BLKYFP0Y2PAZUKHAZHF","A2XNO2KWLLGW6Z","Approved","Sun Jul 09 12:30:48 PDT 2017","Sun Jul 09 12:47:57 PDT 2017","Wed Jul 12 12:47:57 PDT 2017","2017-07-12 19:48:27 UTC","","","1029","100% (35/35)","100% (29/29)","100% (7/7)","0","Did you hear Derek Carr is finalizing a new deal with a Raiders?","Mack will probably command around $22 million a year I think. Gonna be more than people expect. So two players would command 28% the Raider's cap, but without these two combined, the Raiders probably win 3 games instead of 12 last year.","Yeah this is all pretty crazy to say about 2 players.","Indeed but Carr is the focal point of the Raiders offense and Mack had so many strip fumble sacks to close the game out last year I lost count.","RIP Raiders' SB chances.","I wouldn't say that. The Raiders are a very young team.","As far as being competitive....gonna be tough. Once you commit that much money to 1, or especially two guys, your roster suffers.","As long as they win a Super Bowl in the next four years, the contracts will have no negative effect until then.","I guess everybody is just going to have to wait and see how all this plays out.","Yup, can't doing anything about it but in a few years the Raiders will be in Vegas and this could be huge for the team.","It could be but imagine if Carr or Mack gets hurt, that's all basically dead money at that point.","No I didn't, who did you hear that from?","True but I think the Raiders have done a great job at protecting Carr when the ball is in his hands.","Per Adam Schefter. Deal is ""close"" to done and should be announced by the end of the week.","How much is the deal for?","$25 million per year.","That would make him the highest paid quarterback in the leauge, right?","Yes. Currently Andrew Luck is the highest paid quarterback, getting paid at $24.594 million yearly.","That's a lot of money. What % of the team's cap is that?","2017 cap is $167 million rite now, so roughly 15%. Next step in Mack I'm sure.","x",""
"33K3E8REWWPQ1UZDVCBAQSVX1E2X8Q","38GNPDAUFV6KUXKA02RBBJLQ0EFNY0","Create a dialog on NFL football for twenty sentences","Create a dialog on NFL football for twenty sentences","dialog, chat, sports, football, entertainment, conversation","$0.80","Sun Jul 09 05:33:42 PDT 2017","9","BatchId:2863640;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 16 05:33:42 PDT 2017","","","3BEFOD78W7NHA1B1V4OPNJUH082M4V","ALF9AAZGQP4K5","Approved","Sun Jul 09 09:49:45 PDT 2017","Sun Jul 09 09:54:25 PDT 2017","Wed Jul 12 09:54:25 PDT 2017","2017-07-12 16:54:27 UTC","","","280","100% (14/14)","100% (14/14)","100% (14/14)","0","Hey man, you think Dak Prescott is gonna win MVP this year?","I mean, running quarterbacks like him, Kaeparnick, they almost always have a glaring weakness.","So why didn't other teams exploit it?","IT just takes time, you have to get film on them first.","I guess I see what you're saying.","Yeah, that's what makes guys like Cam Newton, or Aaron Rodgers so tough.","Yeah they don't really have as much of a passing weakness.","Right, but they can still run with the best of em.","Well I still think the Cowboys are gonna, 'run' away with the NFC!","Well you are a mindless, simple drone of the NFL hype machine.","Whatever bro, you just wish you had this good of a team.","No, I think the Cowboys are gonna be really disappointed with him.","The bucs are going all the way this year, I promise you.","Why? That guys is awesome!","No he's not, I mean he's ok.","So what are you talking about.","Dak did really good last year because the Cowboys running game was so strong.","I mean, he still was a good quarterback, and could be again?","Yeah but he caught teams by surprise.  They'll be more prepared this year.","I don't know how you can say that.","x",""
"33K3E8REWWPQ1UZDVCBAQSVX1E2X8Q","38GNPDAUFV6KUXKA02RBBJLQ0EFNY0","Create a dialog on NFL football for twenty sentences","Create a dialog on NFL football for twenty sentences","dialog, chat, sports, football, entertainment, conversation","$0.80","Sun Jul 09 05:33:42 PDT 2017","9","BatchId:2863640;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 16 05:33:42 PDT 2017","","","3CTOC39K38KOSGNZU594A3MANGXJ78","A1UU1Q4ODZX60I","Approved","Sun Jul 09 09:49:57 PDT 2017","Sun Jul 09 10:01:12 PDT 2017","Wed Jul 12 10:01:12 PDT 2017","2017-07-12 17:01:27 UTC","","","675","100% (3/3)","100% (3/3)","100% (2/2)","0","Do you watch the NFL football?","Yeah, Dalton always does well for me.","I like Dalton, he has good numbers.","I think Drew Bree's days are limited.  What do you think will be top defense?","That's a tough one.  Maybe Arizona or Seattle.","Don't forget Houston Texans. JJ Watt should be back and he's a killer","Yes I've always loved JJ Watt,  he's a good guy.","Yeah I just don't care for the Texans.","Me either.  Not many people like them.  Who's their quarterback?","I think some rookie Watson. Don't know much about him.","Me either I do know Weeden is a back up.","Yes I try to watch every Sunday.  Do you?","He was a joke when he was with the Dallas Cowboys.","Most games yes.  Do you do fantasy football?","I am in 2 leagues this year.","Who's your top picks?","If I get first pick trying to decide between Leveon Bell or Ezekiel Elliiott.","Two good choices, I think I'd go with Elliott.  Young and strong.","Yeah I hope so.  Who's your top quarterback choice?","Brady is always tops or maybe Rodgers.  But depending on who's left.","x",""
"33K3E8REWWPQ1UZDVCBAQSVX1E2X8Q","38GNPDAUFV6KUXKA02RBBJLQ0EFNY0","Create a dialog on NFL football for twenty sentences","Create a dialog on NFL football for twenty sentences","dialog, chat, sports, football, entertainment, conversation","$0.80","Sun Jul 09 05:33:42 PDT 2017","9","BatchId:2863640;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 16 05:33:42 PDT 2017","","","3NGI5ARFTUZ635BV02XF6PH9TT6P1K","A2M4YIC3XU2693","Approved","Sun Jul 09 11:58:00 PDT 2017","Sun Jul 09 12:08:45 PDT 2017","Wed Jul 12 12:08:45 PDT 2017","2017-07-12 19:09:27 UTC","","","645","100% (83/83)","100% (83/83)","100% (16/16)","0","Can you guess how many football players have a star on the Hollywood Walk of Fame?","Oh the show with William Shatner and Henry Winkler. I loved that show.","Me too, and he was really funny when he got drunk.","I read where the show was renewed for a second season.","I'll be sure to watch it.","Considering so many football players go broke when their careers are over, it's nice to see that he continued on to do other things after football.","Especially since having such a great career in the sport.","Sure between winning MVP and being inducted into the Pro Football Hall of Fame.","And think of the energy he still has for his age.","I know.","Well I'm going to look forward to the new season of his show.","I didn't know any of them did.","So am I and we should watch it together.","There's one.","I have no clue as to who it would be.","Terry Bradshaw.","Oh he played with the Pittsburgh Steelers.","Not only that, but he became a game analyst for CBS after he quit playing.","I know he also appeared in different TV shows and movies.","Not that long ago I watched him in a reality series called Better Late Than Never.","x",""
"33K3E8REWWPQ1UZDVCBAQSVX1E2X8Q","38GNPDAUFV6KUXKA02RBBJLQ0EFNY0","Create a dialog on NFL football for twenty sentences","Create a dialog on NFL football for twenty sentences","dialog, chat, sports, football, entertainment, conversation","$0.80","Sun Jul 09 05:33:42 PDT 2017","9","BatchId:2863640;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 16 05:33:42 PDT 2017","","","3VAR3R6G1QV6T5JFKNTFWZZRXVY8OQ","A1WML1ZP2ISAR7","Approved","Sun Jul 09 16:57:07 PDT 2017","Sun Jul 09 17:06:19 PDT 2017","Wed Jul 12 17:06:19 PDT 2017","2017-07-13 00:06:27 UTC","","","552","100% (120/120)","100% (120/120)","100% (7/7)","0","HOw many SUperbowls did the Cowboys win?","He really was.","Yea but I think the new owner of the team fired him in 1989.","I guess they needed some new blood.","And new game plays too.","Well, I liked him.","I know they won the Superbowl in 92, 93 and 95 under th enew owner,","Well they are a great team no matter who is coaching I think.","Me too.","They have had some really good players over the years.","yea they have.","I think they won five in total.","Great team.","Wow, that is a lot.","Yup, I think they are the second highest team.","I remember they did win two Superbowls in two years.","They must have been ecstatic.","And rich.","Was that under Tom Landrey?","Not sure, great coach though.","x",""
"33K3E8REWWPQ1UZDVCBAQSVX1E2X8Q","38GNPDAUFV6KUXKA02RBBJLQ0EFNY0","Create a dialog on NFL football for twenty sentences","Create a dialog on NFL football for twenty sentences","dialog, chat, sports, football, entertainment, conversation","$0.80","Sun Jul 09 05:33:42 PDT 2017","9","BatchId:2863640;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 16 05:33:42 PDT 2017","","","3XIQGXAUMD2PN0SOB9O51CUPYFX7X7","ATADQXPHL10Y8","Approved","Sun Jul 09 17:01:51 PDT 2017","Sun Jul 09 17:10:40 PDT 2017","Wed Jul 12 17:10:40 PDT 2017","2017-07-13 00:11:27 UTC","","","529","100% (565/565)","100% (347/347)","100% (42/42)","0","Have we seen the last of a dominant starting running back that can handle 30 carries a game?","They screwed the Cowboys on that call","I think thats the first one that needs to be fixed.","I just wish you could be physical like you used to","You can thank those same guys for the reason that it isnt","Why?","They ended up suing the league","Yeah well they deserved it","The league?","Yeah they exploited these guys","They could have warned them against the perils of football? Is that your sentiment","No I think its cyclical and right now the league is a passing league.","Yes and they should have had these guys sign waivers that they wouldnt pull these stunts","And what lends itself to that belief?","The rules are set up to favor it","Why do you think that is?","The rules regarding pass interferece","OH ok i see your persepective.","They really need to adjust them","How about the catch rule","x",""
"33K3E8REWWPQ1UZDVCBAQSVX1E2X8Q","38GNPDAUFV6KUXKA02RBBJLQ0EFNY0","Create a dialog on NFL football for twenty sentences","Create a dialog on NFL football for twenty sentences","dialog, chat, sports, football, entertainment, conversation","$0.80","Sun Jul 09 05:33:42 PDT 2017","9","BatchId:2863640;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 16 05:33:42 PDT 2017","","","3Z4GS9HPNW4V8LMXTWK77DH1WLZ77R","A1V6CP5I0TOSAR","Approved","Sun Jul 09 10:48:13 PDT 2017","Sun Jul 09 10:55:26 PDT 2017","Wed Jul 12 10:55:26 PDT 2017","2017-07-12 17:55:27 UTC","","","433","100% (38/38)","100% (38/38)","100% (30/30)","0","I'm so disappointed in Donovan Metts.","That's messed up.","He's gotta shape up soon.","Do you think he will?","Maybe if he solves his legal woes.","Or maybe he's just a bad player!","I'm trying to avoid that notion.","Why?","He used to be on my top list.","Oh ok.","Now he's in a sunken place.","Why?","Unfortunately.","He keeps fumbling!","Dang.","Every time he goes for the ball, he slips.","What's his problem?","He has legal issues at home.","And?","They say it's affecting his game.","x",""
"3R868ACW4S6UZ45AFSBJFQS6XXDZG5","38GNPDAUFV6KUXKA02RBBJLQ0EFNY0","Create a dialog on NFL football for twenty sentences","Create a dialog on NFL football for twenty sentences","dialog, chat, sports, football, entertainment, conversation","$0.80","Sun Jul 09 05:33:42 PDT 2017","9","BatchId:2863640;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 16 05:33:42 PDT 2017","","","31T4R4OBOTA1K2HTKDSINZ9FXW37CX","AM0QVBV8L6QCJ","Approved","Sun Jul 09 15:57:22 PDT 2017","Sun Jul 09 16:10:00 PDT 2017","Wed Jul 12 16:10:00 PDT 2017","2017-07-12 23:10:27 UTC","","","758","100% (8/8)","100% (4/4)","100% (4/4)","0","With the 2017 NFL season starting what do you think of the Jets prospects?","Each NFL team only has a certain number of home games. The Jets and Giants coordinate the schedules to avoid a home game conflict.","Ok,  thinking long term when is the super bowl 52  going to be for 2018","Super Bowl 52 is scheduled to be played Sunday, Feb. 4 2018","Where will Superbowl 52 be played?","It will be played in  Minneapolis  at the U.S. Bank Stadium.","What happens if it is bad weather in Minneapolis in February 2018.  Can it get cancelled?","No, the  US Bank Stadium has a dome in case of bad weather.","Is the US Bank Stadium a new NFL team stadium?","Yes, US Bank Stadium is new and was just finished in 2016.","What NFL team plays in the US Bank Stadium?","Well, first of all I am still mad they are the New York Jets but play in New Jersey.","The Minneapolis Vikings play in the US Bank Stadium.","Where do the New York Jets play?","They play in MetLife Stadium in East Rutherford New Jersey.","Why dont they build and play in a stadium in New York ?","There really is no place near New York City that would be a good location.  The NY Yankees and Mets already have two large stadiums in the Bronx and Queens.","Are they the only team playing in MetLife Stadium?","No, in fact they share that stadium with the New York Giants","How is it possible for two NFL teams to share the same stadium ?","x",""
