"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence2","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"3YZ7A3YHR5NZIVUC34YKF04EKV8S5S","3PUZG2R74SE0610K7V7I1DHXESC452","Create a dialog on pop music for ten sentences","Create a dialog on pop music for ten sentences","dialog, chat, pop, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 09:53:34 PDT 2017","9","BatchId:2842560;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 09:53:34 PDT 2017","","","32RIADZISTYK8WO6F1KBZSTNQJSS4R","A2UNSF09FWX9S8","Approved","Tue Jun 20 09:53:59 PDT 2017","Tue Jun 20 09:57:59 PDT 2017","Fri Jun 23 09:57:59 PDT 2017","Fri Jun 23 01:48:51 PDT 2017","","","240","100% (31/31)","100% (25/25)","100% (21/21)","0","You listening to pop music lately.","Oh yeah, interesting dude.","A little bit, some Imagine Dragons.","Oh yea, have you heard the new CArrie Underwood song","Nope, any good?","I like it.  But I like Country crossover","Have you heard Gaga's newest","No, I've outgrown her stuff.   But it was fun for a while.","I know what you mean, her and Miley!","Ever hear Darius Rucker?","x",""
"3YZ7A3YHR5NZIVUC34YKF04EKV8S5S","3PUZG2R74SE0610K7V7I1DHXESC452","Create a dialog on pop music for ten sentences","Create a dialog on pop music for ten sentences","dialog, chat, pop, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 09:53:34 PDT 2017","9","BatchId:2842560;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 09:53:34 PDT 2017","","","351SEKWQS1BUAXUUOFPIQNONCN7DME","AKM6CK7MY7LOE","Submitted","Mon Jun 26 08:56:23 PDT 2017","Mon Jun 26 08:58:50 PDT 2017","Thu Jun 29 08:58:50 PDT 2017","","","","147","100% (166/166)","100% (137/137)","100% (83/83)","0","Did you know that Madonna is called the Queen of Pop?","I'd like to see her in concert.","Well, she deserves it.","I liked her, right from when she started.","Me too.","Like A Prayer was one of my favorites.","Me too.","I also loved Papa don't Preach.","I forgot about that one. Thats great.","She puts on a great show too.","x",""
"3YZ7A3YHR5NZIVUC34YKF04EKV8S5S","3PUZG2R74SE0610K7V7I1DHXESC452","Create a dialog on pop music for ten sentences","Create a dialog on pop music for ten sentences","dialog, chat, pop, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 09:53:34 PDT 2017","9","BatchId:2842560;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 09:53:34 PDT 2017","","","39ZSFO5CA9QQQRZV7D2FKV0UTEDJU1","A1WBGYZ6Y8NJ9","Approved","Tue Jun 20 18:14:19 PDT 2017","Tue Jun 20 18:16:17 PDT 2017","Fri Jun 23 18:16:17 PDT 2017","Fri Jun 23 01:48:51 PDT 2017","","","118","100% (496/496)","100% (453/453)","100% (398/398)","0","Pop music is so untalented","Well still","Huh","Like i said pop music is untalented","I would not agree with that","Why not","Because they have to learn to sing and stuff","but they do none of the hard work","How is their work not hard?","Because they do not write the actual music","x",""
"3YZ7A3YHR5NZIVUC34YKF04EKV8S5S","3PUZG2R74SE0610K7V7I1DHXESC452","Create a dialog on pop music for ten sentences","Create a dialog on pop music for ten sentences","dialog, chat, pop, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 09:53:34 PDT 2017","9","BatchId:2842560;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 09:53:34 PDT 2017","","","3BV8HQ2ZZXVUNN6QHPRZBQJV1IVA6V","A2IJESQ9WKC5RE","Submitted","Sat Jun 24 20:30:35 PDT 2017","Sat Jun 24 21:12:51 PDT 2017","Tue Jun 27 21:12:51 PDT 2017","","","","2536","100% (1/1)","100% (1/1)","100% (1/1)","0","Who is your favorite pop superstar?","Exactly, that he would go onto to make some of the most famous songs and dances (thriller and the moon walk). May he rest in peace, he will be missed.","If I had to pick, I would go with Micheal Jackson as his music is classic.","I can not really argue with that, I love thriller as it is such a great song to dance to.","I love thriller but Smooth criminal is my favorite song by Micheal Jackson.","Did you know that Micheal Jackson had his first solo hit when he was just 13 with the song ""Got to Be There,""?","No I did not know that, though I do like his work with the Jackson five.","Yeah my favorite song of theirs is ABC.","You could certainly see one Micheal Jackson's talents even then.","Especially dancing and singing in his first complete of songs with the group.","x",""
"3YZ7A3YHR5NZIVUC34YKF04EKV8S5S","3PUZG2R74SE0610K7V7I1DHXESC452","Create a dialog on pop music for ten sentences","Create a dialog on pop music for ten sentences","dialog, chat, pop, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 09:53:34 PDT 2017","9","BatchId:2842560;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 09:53:34 PDT 2017","","","3E47SOBEYRQY9MYP34WFEOZO9YBCI0","AEZSDZ4PS9CAC","Approved","Tue Jun 20 11:22:15 PDT 2017","Tue Jun 20 11:24:12 PDT 2017","Fri Jun 23 11:24:12 PDT 2017","Fri Jun 23 01:48:51 PDT 2017","","","117","100% (39/39)","100% (37/37)","100% (31/31)","0","The term pop music covers so many kinds of music in my opinion.","Another pop artist with some country in her background.","Oh yeah, why do you think that?","I mean it covers things that some would consider R&B to things that people would consider borderline country.","I think that is why I like it, it is very diverse even within one genre.","My favorite singer is Taylor Swift though.","She is good. She has country roots, but flirts with an R&B sound sometimes.","She is kind of the epitome of pop music then.","She is very talented, that is for sure.","I really like some of the new songs Miley Cyrus is putting out.","x",""
"3YZ7A3YHR5NZIVUC34YKF04EKV8S5S","3PUZG2R74SE0610K7V7I1DHXESC452","Create a dialog on pop music for ten sentences","Create a dialog on pop music for ten sentences","dialog, chat, pop, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 09:53:34 PDT 2017","9","BatchId:2842560;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 09:53:34 PDT 2017","","","3H7Z272LX81JTCFZTCFYQ4QNPLKPL5","A2R2HMURPYBWWC","Approved","Tue Jun 20 11:26:55 PDT 2017","Tue Jun 20 11:37:32 PDT 2017","Fri Jun 23 11:37:32 PDT 2017","Fri Jun 23 01:48:51 PDT 2017","","","637","100% (92/92)","100% (87/87)","100% (80/80)","0","I have loved pop music since I was pretty young.","Yes it was and they were great!","I have to! Who was your favorite growing up?","I loved listening to Britney Spears music when I was 11.","I really liked her original music back in those days.","Yes me too!","She was pure and wholesome back then.","I'm not as big of a fan of her music now.","I'm not either. Did you like 98 degrees?","Wasn't that a pop boy band back in the late 90's?","x",""
"3YZ7A3YHR5NZIVUC34YKF04EKV8S5S","3PUZG2R74SE0610K7V7I1DHXESC452","Create a dialog on pop music for ten sentences","Create a dialog on pop music for ten sentences","dialog, chat, pop, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 09:53:34 PDT 2017","9","BatchId:2842560;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 09:53:34 PDT 2017","","","3IAS3U3I0GABOWSH01FSGOMP3V3B2Z","A3BGQS3TMP7RQG","Submitted","Sat Jun 24 11:08:02 PDT 2017","Sat Jun 24 11:10:55 PDT 2017","Tue Jun 27 11:10:55 PDT 2017","","","","173","100% (4/4)","100% (2/2)","100% (2/2)","0","So what do you think about pop music today?","Me too, looking forward to her new stuff too.","I don't think it has ever been better, so many great artists.","Who are some of your favorites?","I really like Rihanna and Katy Perry.","I love both of them too. They each have so many catchy songs.","They really do. I've been listening to a lot of Rihanna's older songs.","That's cool, which ones?","Songs like umbrella and disturbia.","Nice, I think her songs have aged well.","x",""
"3YZ7A3YHR5NZIVUC34YKF04EKV8S5S","3PUZG2R74SE0610K7V7I1DHXESC452","Create a dialog on pop music for ten sentences","Create a dialog on pop music for ten sentences","dialog, chat, pop, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 09:53:34 PDT 2017","9","BatchId:2842560;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 09:53:34 PDT 2017","","","3NOKK93PR221QFGH3CCJJX1Z2JYEE7","ATADQXPHL10Y8","Approved","Wed Jun 21 01:31:09 PDT 2017","Wed Jun 21 01:33:42 PDT 2017","Sat Jun 24 01:33:42 PDT 2017","Fri Jun 23 01:48:51 PDT 2017","","","153","100% (466/466)","100% (296/296)","100% (224/224)","0","Was N Sync the best boy band in the 90s?","Yeah I would say N Sync is number one","Depends on what your standards were.","As far as album sales.","I think they were close with Backstreet Boys","I would say they had better careers","Most of them are still working in the media","Justin Timberlake launched a huge career","Yeah and none of the Backstreet Boys are doing anything","Joey Fatone has a huge career do","x",""
"3YZ7A3YHR5NZIVUC34YKF04EKV8S5S","3PUZG2R74SE0610K7V7I1DHXESC452","Create a dialog on pop music for ten sentences","Create a dialog on pop music for ten sentences","dialog, chat, pop, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 09:53:34 PDT 2017","9","BatchId:2842560;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 09:53:34 PDT 2017","","","3Y54SXRO1MFK4UV0J7GJM1N3RISUT9","APF1EAZT104LQ","Approved","Wed Jun 21 13:46:26 PDT 2017","Wed Jun 21 13:48:30 PDT 2017","Sat Jun 24 13:48:30 PDT 2017","Fri Jun 23 01:48:51 PDT 2017","","","124","100% (318/318)","100% (311/311)","100% (269/269)","0","Who is your favorite N'Sync member?","Yeah, they had some great hits","Justin Timberlake","I like him too.","I love him in N'Sync","Do you like his solo stuff too?","Yes, I think it is fantastic","Do you like Britney Spears as well?","Yes, I do","Her and Justin were the best in the 90's","x",""
"367O8HRHKG2HMCQCPZFAA8Y0KZE4S0","3PUZG2R74SE0610K7V7I1DHXESC452","Create a dialog on pop music for ten sentences","Create a dialog on pop music for ten sentences","dialog, chat, pop, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 09:53:34 PDT 2017","9","BatchId:2842560;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 09:53:34 PDT 2017","","","33TIN5LC054I1O6RV28RYMS4UA09Y9","A2IJESQ9WKC5RE","Submitted","Sat Jun 24 13:25:39 PDT 2017","Sat Jun 24 13:43:56 PDT 2017","Tue Jun 27 13:43:56 PDT 2017","","","","1097","100% (1/1)","100% (1/1)","100% (1/1)","0","Who is your favorite pop artist?","I hope we get to hear more collaboration tracks with big name artists working together like Forever.","I am really enjoying the tracks drake is putting out.","Energy by drake is a great track.","That is a very catchy track and one of my favorites next to hotline bling.","He is really good in feature tracks as well, as he has a good depth of song types.","yeah, the phases of drake. I like Forever featuring Drake, Kanye West, Lil Wayne, and Eminem.","That is a great song as you would guess considering the artists on the track.","I think Eminem and lil' wayne had the best verses but Drake pulled the whole thing together.","I think they all had good verses including Kayne West.","x",""
