"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence2","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"3MD8CKRQZZHVOF9KDH29Q0INGULJRI","3EETFKUFD0Z6NLXNWVD6KNSOZDWF6H","Create a dialog on rap / hip-hop music for ten sentences","Create a dialog on rap / hip-hop music for ten sentences","dialog, chat, rap, hip-hop, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:13:22 PDT 2017","9","BatchId:2842593;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:13:22 PDT 2017","","","3300DTYQT3BQNI6MC37JDEQDLMGQEP","A3RYTY3QHRXNIY","Approved","Tue Jun 20 21:02:52 PDT 2017","Tue Jun 20 21:04:26 PDT 2017","Fri Jun 23 21:04:26 PDT 2017","Fri Jun 23 02:01:14 PDT 2017","","","94","100% (526/526)","100% (460/460)","100% (405/405)","0","Do you listen to nelly","Yes exactly","A little","I have his country grammer cd","I used to have that somewhere","I liked his dilemma song","The one with kelly rowland?","Yes","That was a good song","And it can be so true in some situations","x",""
"3MD8CKRQZZHVOF9KDH29Q0INGULJRI","3EETFKUFD0Z6NLXNWVD6KNSOZDWF6H","Create a dialog on rap / hip-hop music for ten sentences","Create a dialog on rap / hip-hop music for ten sentences","dialog, chat, rap, hip-hop, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:13:22 PDT 2017","9","BatchId:2842593;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:13:22 PDT 2017","","","36NEMU28XG7TJ3UL5AU8IBD8JY6WMP","A2ZKKOPPN3AX2G","Approved","Thu Jun 22 21:24:49 PDT 2017","Thu Jun 22 21:27:15 PDT 2017","Sun Jun 25 21:27:15 PDT 2017","Fri Jun 23 02:01:14 PDT 2017","","","146","100% (12/12)","100% (12/12)","100% (12/12)","0","Do you like rap music?","I like Drake, especially the songs he does with female artists.","Yes, most of the time.","Who is your favorite artist?","Kanye West is my favorite artist.","What song of his do you like the most?","The song ""Golddigger"" is one of my favorites.","Oh, do you have another favorite by Kanye?","Yes, I also like the song ""Stronger"".","Who is your second favorite rap artist?","x",""
"3MD8CKRQZZHVOF9KDH29Q0INGULJRI","3EETFKUFD0Z6NLXNWVD6KNSOZDWF6H","Create a dialog on rap / hip-hop music for ten sentences","Create a dialog on rap / hip-hop music for ten sentences","dialog, chat, rap, hip-hop, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:13:22 PDT 2017","9","BatchId:2842593;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:13:22 PDT 2017","","","388U7OUMF8VR8T6SHBX4XFYEN60R0V","A3ESC1H6BBKF30","Approved","Tue Jun 20 16:35:25 PDT 2017","Tue Jun 20 16:37:21 PDT 2017","Fri Jun 23 16:37:21 PDT 2017","Fri Jun 23 02:01:14 PDT 2017","","","116","100% (18/18)","100% (15/15)","100% (15/15)","0","Whats your favorite song by Snoop Dogg?","What are they?","I would have to say Drop it like its hot.","Yeah, that's my favorite too.","He was really on the grind back then with that song.","He had a good flow i think Pharrel was on the track as well.","Yeah he was. That is what made it vibe so well.","Yeah i agree.","Do you like any other of his songs.","Yes I do.","x",""
"3MD8CKRQZZHVOF9KDH29Q0INGULJRI","3EETFKUFD0Z6NLXNWVD6KNSOZDWF6H","Create a dialog on rap / hip-hop music for ten sentences","Create a dialog on rap / hip-hop music for ten sentences","dialog, chat, rap, hip-hop, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:13:22 PDT 2017","9","BatchId:2842593;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:13:22 PDT 2017","","","3DIP6YHAPDMKHE6QQ9QJRN5DSP5E8W","A39J5RLVDTM6SM","Approved","Thu Jun 22 18:17:54 PDT 2017","Thu Jun 22 18:21:09 PDT 2017","Sun Jun 25 18:21:09 PDT 2017","Fri Jun 23 02:01:14 PDT 2017","","","195","100% (19/19)","100% (15/15)","100% (11/11)","0","Have  you heard much  from Lupe  ?","I might  just  have to  listen  to  more of  his  stuff","I heard  his  Lazerz   track  which is  good .","the  whole  cd is well put  together .","how    many  tracks  are there ?","there  are only  10 tracks  but they all  have a  message","Would  you  go see  him in  concert?","I think  he would  put on  a great  show  .","Who  would  you  compare  to lyrically ?","I would  compare  him  to  bone  thugs","x",""
"3MD8CKRQZZHVOF9KDH29Q0INGULJRI","3EETFKUFD0Z6NLXNWVD6KNSOZDWF6H","Create a dialog on rap / hip-hop music for ten sentences","Create a dialog on rap / hip-hop music for ten sentences","dialog, chat, rap, hip-hop, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:13:22 PDT 2017","9","BatchId:2842593;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:13:22 PDT 2017","","","3G0WWMR1UWEUHOJZ52A231KMZGHNQF","A27IAXVYBK8RMO","Approved","Wed Jun 21 22:57:53 PDT 2017","Wed Jun 21 23:08:01 PDT 2017","Sat Jun 24 23:08:01 PDT 2017","Fri Jun 23 02:01:14 PDT 2017","","","608","100% (4/4)","100% (4/4)","100% (4/4)","0","Do you listen to rap?","You know that's right!","Yeah. I really like '90s stuff, though. You?","Oh, yeah. Definitely. I love Busta Rhymes.","Oh, for sure.","Who do you like?","I like a lot of the females from back in the day, like Lil Kim and Missy.","That's cool. Missy is so classic.","Yeah, ""The Rain"" and ""Hot Boyz"" are some of my favorites.","Of course, you can't forget about Timbaland and Magoo.","x",""
"3MD8CKRQZZHVOF9KDH29Q0INGULJRI","3EETFKUFD0Z6NLXNWVD6KNSOZDWF6H","Create a dialog on rap / hip-hop music for ten sentences","Create a dialog on rap / hip-hop music for ten sentences","dialog, chat, rap, hip-hop, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:13:22 PDT 2017","9","BatchId:2842593;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:13:22 PDT 2017","","","3K5TEWLKGW5U8V4PULRK4GNDVGFIVG","A2ZBJWQ9ZZHYYI","Approved","Thu Jun 22 19:40:19 PDT 2017","Thu Jun 22 19:48:50 PDT 2017","Sun Jun 25 19:48:50 PDT 2017","Fri Jun 23 02:01:14 PDT 2017","","","511","100% (19/19)","100% (19/19)","100% (14/14)","0","I heard Tribe called Quest just put out an album?","We the people, it definitly is the heart of the album.","They did, its called We got it from here... thank you for your service.","That's a long album name.","It is.  But it was like 15 years since their last one, so its okay if its long.","Yeah, it has been a while.  Do you like it?","Yeah, one of the best albums I heard this year, hands down.","Does it still sound like them?","Yes, but better, more on point, focused and politial lyrics, really interesting beats and rythem.","Oh wow, whats your favorite song?","x",""
"3MD8CKRQZZHVOF9KDH29Q0INGULJRI","3EETFKUFD0Z6NLXNWVD6KNSOZDWF6H","Create a dialog on rap / hip-hop music for ten sentences","Create a dialog on rap / hip-hop music for ten sentences","dialog, chat, rap, hip-hop, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:13:22 PDT 2017","9","BatchId:2842593;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:13:22 PDT 2017","","","3U8YCDAGXQARWSRS4W84SPO9SVVQ0D","A22JBMOHQKHTSS","Approved","Fri Jun 23 12:47:36 PDT 2017","Fri Jun 23 12:49:52 PDT 2017","Mon Jun 26 12:49:52 PDT 2017","2017-06-26 19:50:08 UTC","","","136","100% (71/71)","100% (70/70)","100% (70/70)","0","Do you remember Tupac?","Yeah he was deep and I loved him.","Who could forget him?","Yeah I know just didn't know if it was before you time.","Tupac's music and ideas will live for a hundred years past his death.","Possibly, anyway I was just thinking about him today.","What about?","I remember him on tv always preaching how we need to be nice to eachother and stop killing one another.","Yeah that stuff was deep, do you think that's what got him killed?","I think it was because he was convincing the world that just because you're one thing doesn't mean you have to be this or that and to stop doing it.","x",""
"3MD8CKRQZZHVOF9KDH29Q0INGULJRI","3EETFKUFD0Z6NLXNWVD6KNSOZDWF6H","Create a dialog on rap / hip-hop music for ten sentences","Create a dialog on rap / hip-hop music for ten sentences","dialog, chat, rap, hip-hop, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:13:22 PDT 2017","9","BatchId:2842593;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:13:22 PDT 2017","","","3VNL7UK1XGDVLCYAOILK01M0I4RTF6","AZVHR847NQRU","Submitted","Fri Jun 23 13:39:32 PDT 2017","Fri Jun 23 13:47:31 PDT 2017","Mon Jun 26 13:47:31 PDT 2017","","","","479","100% (24/24)","100% (24/24)","100% (24/24)","0","I feel like I've been listening to the same hip hop songs over and over for the last couple months.","Then we're off to a good start! That's a couple of really solid aspects right there.","Out of necessity or no?","Well I mean they're all songs I really like, I just feel like I should freshen up my playlist a bit.","You can always use an app or website where you put in music that you like and it will suggest similar stuff.","The thing is I can't pinpoint what it is about the songs and artists that I like, and if I did I wouldn't know how to word it.","Understandable. Well tell me some of your favourite artists and see if we can find their similarities.","Off the top of my head, I like Trigger, Redzer and Terawrizt","Okay, so something that stands out is that they have a tendency to talk about some really serious stuff in a very laid back, almost casual way.","That sounds about right actually.","x",""
"3MD8CKRQZZHVOF9KDH29Q0INGULJRI","3EETFKUFD0Z6NLXNWVD6KNSOZDWF6H","Create a dialog on rap / hip-hop music for ten sentences","Create a dialog on rap / hip-hop music for ten sentences","dialog, chat, rap, hip-hop, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:13:22 PDT 2017","9","BatchId:2842593;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:13:22 PDT 2017","","","3ZOTGHDK5J5OCPYOYLZKDQZS8K4OSU","A12QXTXOL1IS00","Approved","Thu Jun 22 14:09:24 PDT 2017","Thu Jun 22 14:15:52 PDT 2017","Sun Jun 25 14:15:52 PDT 2017","Fri Jun 23 02:01:15 PDT 2017","","","388","100% (6/6)","100% (6/6)","100% (6/6)","0","who is the best female rapper of all time?","yes and you are right too,all rappers have a spirit when they rap","it is Nicki Minaj","Well Remy ma is also one good rapper","Cardi B is also good but i think its nicki","why do you think its nicki?","she has this uplifting spirit when she raps","all rappers have  that kind of spirit","Nicki's its like the happiness during summer","well i guess you are right","x",""
"3M93N4X8HKH7PU9XS62EGANJ2W4JS6","3EETFKUFD0Z6NLXNWVD6KNSOZDWF6H","Create a dialog on rap / hip-hop music for ten sentences","Create a dialog on rap / hip-hop music for ten sentences","dialog, chat, rap, hip-hop, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:13:22 PDT 2017","9","BatchId:2842593;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:13:22 PDT 2017","","","33ISQZVXPQG7WJCPBU0T3L1TWV6CCH","A1IXH2QLUU5BKZ","Approved","Tue Jun 20 22:53:25 PDT 2017","Tue Jun 20 23:26:07 PDT 2017","Fri Jun 23 23:26:07 PDT 2017","Fri Jun 23 02:01:13 PDT 2017","","","1962","100% (34/34)","100% (34/34)","100% (34/34)","0","Have you heard Big Sean's new album?","At least no one can say he's selling out.","The one that came out this year? Yeah.","I personally think it's his best work.","I agree. I'm surprised it doesn't get more radio play.","It seems to be like that with certain rap artists.","Yeah, they can make the best music and still get no radio play.","If the song doesn't have a hook it usually won't get played.","True, a lot of his stuff doesn't really fit the radio song structure.","Yeah, It's just a lot of clever rapping with very little singing parts.","x",""
