"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence2","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"307FVKVSYR9V3E6K1WHZFH24XL147D","3HD129RETDWWP50YCEHNTJVXANN46I","Create a dialog on rock music for ten sentences","Create a dialog on rock music for ten sentences","dialog, chat, rock, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:05:00 PDT 2017","9","BatchId:2842578;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:05:00 PDT 2017","","","31T4R4OBOTA1K2HTKDSINZ9FVJ67C8","A3JJCZGKQ34X1L","Approved","Tue Jun 20 17:55:20 PDT 2017","Tue Jun 20 18:10:16 PDT 2017","Fri Jun 23 18:10:16 PDT 2017","Fri Jun 23 01:53:39 PDT 2017","","","896","100% (2/2)","100% (2/2)","100% (2/2)","0","What do you think of U2?","I think Coldplay is overrated!  I love  Mumford & Sons.  I have seen them twice.  I saw Fleetwood Mac two years ago.","I like them.  They have been able to reinvent themselves and stay popular.","Have you seen them in concert?","Yes, I saw the Joshua Tree Anniversary Tour.  It was awesome!","Who is your favorite member of U2?","I know Bono gets lots of attention for his charity work, but the band would not be U2 without The Edge's guitar mastery!","What is your favorite song of theirs? I love One and Bad.","I love Beautiful Day, Pride, and Where the Streets have No Name.  I think All you Can't Leave Behind is their best album.","What other concerts gave you been to?  I would like to see Coldplay.","x",""
"307FVKVSYR9V3E6K1WHZFH24XL147D","3HD129RETDWWP50YCEHNTJVXANN46I","Create a dialog on rock music for ten sentences","Create a dialog on rock music for ten sentences","dialog, chat, rock, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:05:00 PDT 2017","9","BatchId:2842578;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:05:00 PDT 2017","","","34J10VATJGS23N888MXAYTO5DG5IQA","A2SNX8GORIS8FN","Approved","Wed Jun 21 13:34:45 PDT 2017","Wed Jun 21 13:36:12 PDT 2017","Sat Jun 24 13:36:12 PDT 2017","Fri Jun 23 01:53:39 PDT 2017","","","87","100% (47/47)","100% (29/29)","100% (24/24)","0","Is there anyone cooler than Butch Walker?","I guess not many, lots of people try and nail that sound and it comes off disingenuous.","That's a random question but probably, yes.","No no, that was rhetorical you weren't supposed to answer.","Oh okay, then no yeah Butch Walker is the coolest.","His latest album Stay Gold has such a coolness factor to it.","You're going to have to explain what that means, man.","Each song drips with this East coast, New Jersey flavor and swagger.","I can see what you mean but plenty of artists do that.","Yeah but how many actually feel authentic?","x",""
"307FVKVSYR9V3E6K1WHZFH24XL147D","3HD129RETDWWP50YCEHNTJVXANN46I","Create a dialog on rock music for ten sentences","Create a dialog on rock music for ten sentences","dialog, chat, rock, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:05:00 PDT 2017","9","BatchId:2842578;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:05:00 PDT 2017","","","3FDJT1UU7524GWFYOXUJDY8RAVQ5KT","AH69J982YZLXT","Approved","Thu Jun 22 08:40:06 PDT 2017","Thu Jun 22 08:48:24 PDT 2017","Sun Jun 25 08:48:24 PDT 2017","Fri Jun 23 01:53:39 PDT 2017","","","498","100% (69/69)","100% (69/69)","100% (69/69)","0","do you like classic rock?","i'll have to look it up","i love it!","me too. i love rediscovering old classic rock songs i loved growing up","like what? gimme an example!","have you ever seen the rain?","yeah, i have, but back to rock music...","no, the song! it's a really good song, it's a classic.","huh. don't think i've heard it.","i bet you have! the lyrics have a lot of pretty metaphors, it's a classic","x",""
"307FVKVSYR9V3E6K1WHZFH24XL147D","3HD129RETDWWP50YCEHNTJVXANN46I","Create a dialog on rock music for ten sentences","Create a dialog on rock music for ten sentences","dialog, chat, rock, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:05:00 PDT 2017","9","BatchId:2842578;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:05:00 PDT 2017","","","3GU1KF0O4JV7G3TN2ZQ4C1UIDVFPBZ","A2GKW1W3UCFAMK","Approved","Wed Jun 21 21:01:18 PDT 2017","Wed Jun 21 21:07:55 PDT 2017","Sat Jun 24 21:07:55 PDT 2017","Fri Jun 23 01:53:39 PDT 2017","","","397","100% (22/22)","100% (22/22)","100% (22/22)","0","What do you think was the best era for rock music?","Yea it's like more electronica and pop type of stuff these days.","Probably the 90's. There were so many good rock bands and songs that came about during that time.","I agree. I remember that's when I first was really exposed to rock and I loved it.","Yea, like we grew up with that music. Bands like Weezer, Nirvana, Radiohead, Foo Fighters and Oasis were so good.","I miss that era of rock. I don't even know what is considered rock music these days.","A lot of modern rock is like more indie sounding or has a lot of additional electronic effects.","I feel like recently there hasn't been like a really good new rock band to come out of the past few years.","Yea, I mean there's been some new artists that are pretty good, but nothing compares to 90's rock.","I guess though that strictly ""rock"" music isn't as popular as it was during the 90's and early 2000's.","x",""
"307FVKVSYR9V3E6K1WHZFH24XL147D","3HD129RETDWWP50YCEHNTJVXANN46I","Create a dialog on rock music for ten sentences","Create a dialog on rock music for ten sentences","dialog, chat, rock, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:05:00 PDT 2017","9","BatchId:2842578;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:05:00 PDT 2017","","","3IAEQB9FMFEQF9O8SHV5ZLQEAKEWD7","A2ECRNQ3X5LEXD","Approved","Thu Jun 22 21:23:40 PDT 2017","Thu Jun 22 21:24:41 PDT 2017","Sun Jun 25 21:24:41 PDT 2017","Fri Jun 23 01:53:39 PDT 2017","","","61","100% (235/235)","100% (202/202)","100% (168/168)","0","Do you like to listen to rock music?","I had a nice time talking to you.","Yes! All of the time my friend.","What is your favorite song?","I love Good Times Roll.","By The Cars?","Yeah.","Oh they are so classic.","Yeah they put me in a good  mood all of the time.","Same for me.","x",""
"307FVKVSYR9V3E6K1WHZFH24XL147D","3HD129RETDWWP50YCEHNTJVXANN46I","Create a dialog on rock music for ten sentences","Create a dialog on rock music for ten sentences","dialog, chat, rock, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:05:00 PDT 2017","9","BatchId:2842578;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:05:00 PDT 2017","","","3OWEPKL08A6KB6EK931W3A3RUQPN7H","A14U808RI3O4AT","Approved","Wed Jun 21 22:43:10 PDT 2017","Wed Jun 21 22:54:35 PDT 2017","Sat Jun 24 22:54:35 PDT 2017","Fri Jun 23 01:53:40 PDT 2017","","","685","100% (2/2)","100% (2/2)","100% (2/2)","0","What's your favorite rock band of all time?","Thats a great pick that video was sweet too! Old creepy man eating potatoes..","Its hard to say but I'm going way back in time and I would say the Doors!","Not bad! I thought you was going to say Pearl Jam!","Haha! heck no man they might be the worst rock band of all time!","Just playing with ya! So whats your favorite Doors song?","Thats a no brainer it's Alabama Song but some know it as Whisky Bar.","Thats song is trippy! Great Pick!","Show me the way to the next whiskey bar! Whats your favorite rock band and song?","i would have to say Metallica and Enter Sandman!","x",""
"307FVKVSYR9V3E6K1WHZFH24XL147D","3HD129RETDWWP50YCEHNTJVXANN46I","Create a dialog on rock music for ten sentences","Create a dialog on rock music for ten sentences","dialog, chat, rock, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:05:00 PDT 2017","9","BatchId:2842578;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:05:00 PDT 2017","","","3SB5N7Y3O4Y0J3XE103SYBK7LY40GP","ATADQXPHL10Y8","Approved","Wed Jun 21 02:32:54 PDT 2017","Wed Jun 21 02:34:03 PDT 2017","Sat Jun 24 02:34:03 PDT 2017","Fri Jun 23 01:53:40 PDT 2017","","","69","100% (430/430)","100% (260/260)","100% (212/212)","0","How was Limp Bizkit so popular?","Well it was a good rock cover of a pop song.","They played a genre of music that people loved.","Rock has always been around though.","I agree but they put a twist on it.","They also started out covering Faith by George Michael.","That was a great track","Yeah and they really made it theirs.","I liked their cover of Behind Blue Eyes","I think you might be the only one","x",""
"307FVKVSYR9V3E6K1WHZFH24XL147D","3HD129RETDWWP50YCEHNTJVXANN46I","Create a dialog on rock music for ten sentences","Create a dialog on rock music for ten sentences","dialog, chat, rock, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:05:00 PDT 2017","9","BatchId:2842578;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:05:00 PDT 2017","","","3TPWUS5F8AVGAHIUSL0UFF8WPKXCWI","A25RUZWC2IHDEB","Approved","Thu Jun 22 19:28:34 PDT 2017","Thu Jun 22 19:33:28 PDT 2017","Sun Jun 25 19:33:28 PDT 2017","Fri Jun 23 01:53:40 PDT 2017","","","294","100% (7/7)","100% (7/7)","100% (7/7)","0","Did you know Foo Fighters is releasing a new album??","Maybe they'll do a reunion show one day. I would definitely go see them again.","No! I didn't know that, I love them...glad you told me about this.","I figured you may want to know since you love Dave Grohl so much.","I know, I've been a fan since his Nirvana days.","Don't you wish 90's rock style were still being made??","Definitely. That era of rock is my absolute favorite. Rage Against the Machine started then too.","Now that is a great band, I should have gone to see them when I had the chance.","I've seen them live once, one of the best shows of my life.","I'm so jealous!! I didn't know they would split up.","x",""
"307FVKVSYR9V3E6K1WHZFH24XL147D","3HD129RETDWWP50YCEHNTJVXANN46I","Create a dialog on rock music for ten sentences","Create a dialog on rock music for ten sentences","dialog, chat, rock, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:05:00 PDT 2017","9","BatchId:2842578;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:05:00 PDT 2017","","","3YGXWBAF71B41FZAIFUBKNP54J94CI","AEWPAZBYA7XE","Approved","Wed Jun 21 14:46:02 PDT 2017","Wed Jun 21 14:48:30 PDT 2017","Sat Jun 24 14:48:30 PDT 2017","Fri Jun 23 01:53:40 PDT 2017","","","148","100% (254/254)","100% (201/201)","100% (167/167)","0","Did you notice that Green Day wasn't at the Grammy's","Too true!","Yeah, weird....","They had a new album out this year too.","They won best album a few years back.","Rock is dieing and they're the only ones trying to keep the ship afloat.","I can't hardly listen to the radio anymore.","Just the ""oldies"".","Ha! Never thought I'd be part of that croud.","We're a dying breed freind.","x",""
"308KJXFUJR0X31J8N0URXGGMESOAT6","3HD129RETDWWP50YCEHNTJVXANN46I","Create a dialog on rock music for ten sentences","Create a dialog on rock music for ten sentences","dialog, chat, rock, entertainment, fun, arts, conversation, writing, music, creative","$0.40","Tue Jun 20 10:05:01 PDT 2017","9","BatchId:2842578;OriginalHitTemplateId:920937340;","7200","259200","Tue Jun 27 10:05:01 PDT 2017","","","32SCWG5HIIY1ARCS689W1L8QZT8P6G","A1YBZWXXW358IF","Approved","Wed Jun 21 12:10:54 PDT 2017","Wed Jun 21 12:13:23 PDT 2017","Sat Jun 24 12:13:23 PDT 2017","Fri Jun 23 01:53:40 PDT 2017","","","149","100% (62/62)","100% (62/62)","100% (62/62)","0","I love rock music.","He's got a lot of classic albums.","I do too. Pretty much all I listen to.","Me too. Who's your favorite rock group?","The e street band.","They're awesome.","Love the boss!","He's written some great music.","Yes,I really like born to run.","Wow,that's a classic for sure.","x",""
