"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence2","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"3BKZLF990ZTL73PJM2ECVXN6XD3QYV","32SAKJ4DTR1U4RYS6XQO8F524T7VDD","Create a dialog on Star Wars movies for ten sentences","Create a dialog on Star Wars movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, star wars, creative, science fiction","$0.45","Thu Jun 22 00:38:06 PDT 2017","9","BatchId:2844893;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:38:06 PDT 2017","","","324G5B4FB42HQAMD8XZYSY7EN7307T","A3OWHW7XYQU52K","Submitted","Sat Jun 24 19:51:22 PDT 2017","Sat Jun 24 19:55:45 PDT 2017","Tue Jun 27 19:55:45 PDT 2017","","","","263","0% (0/0)","0% (0/0)","0% (0/0)","0","What do you think about the Star Wars: Rogue One Movie.","No, we will have to wait to learn that information.","I found the film a good story and a really great use of technology?","What do you mean by real world?","I mean using body doubles and CGI to recreate characters such as Tarkin and young Leia.","That's interesting.    What about the story of the temple?","The temple is still kind of a mystery.    I am interested to learn about the crystals.","What is known about them from the other movies?","Khyber Crystals are known to power lightsabers and the Death Star.","Wow!     So there is no real explanation of how they relate to the Force?","x",""
"3BKZLF990ZTL73PJM2ECVXN6XD3QYV","32SAKJ4DTR1U4RYS6XQO8F524T7VDD","Create a dialog on Star Wars movies for ten sentences","Create a dialog on Star Wars movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, star wars, creative, science fiction","$0.45","Thu Jun 22 00:38:06 PDT 2017","9","BatchId:2844893;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:38:06 PDT 2017","","","33C7UALJVMSLXDCEELV4K3MJ3JX819","AMYYL67LDKPDA","Submitted","Sat Jun 24 08:24:41 PDT 2017","Sat Jun 24 08:26:46 PDT 2017","Tue Jun 27 08:26:46 PDT 2017","","","","125","100% (137/137)","100% (137/137)","100% (137/137)","0","What's your take on the new Star Wars trailer?","Interesting idea.  Maybe you're right1","Quite eerie really.","How so?","It sure seems like they are signaling that Jedis will no longer be a part of the universe.","My guess is that Luke knows you have to be on the light and dark side in order to be efficient.","That's a solid guess.  He probably realizes that to survive, one needs to be of both minds.","The poster alludes to it as well.","How so?","Check out the red and blue lightsabers meeting and joining.  I think it's foreshadowing.","x",""
"3BKZLF990ZTL73PJM2ECVXN6XD3QYV","32SAKJ4DTR1U4RYS6XQO8F524T7VDD","Create a dialog on Star Wars movies for ten sentences","Create a dialog on Star Wars movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, star wars, creative, science fiction","$0.45","Thu Jun 22 00:38:06 PDT 2017","9","BatchId:2844893;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:38:06 PDT 2017","","","36H9ULYP63O17925CO7GYVZRK2FJF6","A30MUATECVKL00","Submitted","Fri Jun 23 11:59:39 PDT 2017","Fri Jun 23 12:01:22 PDT 2017","Mon Jun 26 12:01:22 PDT 2017","","","","103","100% (38/38)","100% (38/38)","100% (38/38)","0","I read the other day that a lot of the structure of Star Wars was based Akira Kurosawa movies.","I can see that.","What are those?","Old samurai flicks. But once you see them, it totally makes sense.","How so?","Like, Luke losing his home and having to fight is a plot point in a lot of samurai movies.","Hmm. Interesting.","And they do fight with swords, despite being in space and having guns.","Well, lightsabers are basically lasers.","Yeah, but it still reminds me of a sword.","x",""
"3BKZLF990ZTL73PJM2ECVXN6XD3QYV","32SAKJ4DTR1U4RYS6XQO8F524T7VDD","Create a dialog on Star Wars movies for ten sentences","Create a dialog on Star Wars movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, star wars, creative, science fiction","$0.45","Thu Jun 22 00:38:06 PDT 2017","9","BatchId:2844893;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:38:06 PDT 2017","","","3BWI6RSP7H3GH017G4YDDN9IH8BE7R","A23CTGXNDDW5LC","Submitted","Sat Jun 24 17:56:22 PDT 2017","Sat Jun 24 18:01:06 PDT 2017","Tue Jun 27 18:01:06 PDT 2017","","","","284","100% (7/7)","100% (5/5)","100% (5/5)","0","Have you heard about the new Han Solo movie that's being made?","Oh, great! I love Ron Howard!","What? But I thought Han Solo died in The Force Awakens?","He did. This movie is going to focus on him as a young man and his life prior to the events of the original Star Wars","Who is going to play him in the film?","I read they cast Alden Ehrenreich","I don't think I know who that is","He's not very famous but he looks like he could be a good fit for the role","Is J.J. Abrams directing this film?","No, Ron Howard was just hired this week as the director.","x",""
"3BKZLF990ZTL73PJM2ECVXN6XD3QYV","32SAKJ4DTR1U4RYS6XQO8F524T7VDD","Create a dialog on Star Wars movies for ten sentences","Create a dialog on Star Wars movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, star wars, creative, science fiction","$0.45","Thu Jun 22 00:38:06 PDT 2017","9","BatchId:2844893;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:38:06 PDT 2017","","","3CCZ6YKWR8DKZ0W7K03UNPUBZ5259V","A3TG1G0115XJMN","Submitted","Sat Jun 24 19:52:52 PDT 2017","Sat Jun 24 19:57:09 PDT 2017","Tue Jun 27 19:57:09 PDT 2017","","","","257","100% (25/25)","100% (25/25)","100% (25/25)","0","hey have you seen any star wars movies lately?","that was hilarious.","yes, i loved them, im watching the older ones right now.","the ones with luke and leia?","yea, and han sollo and chewbacca","i love chewbacca, he acts sarcastic all the time.","i know right? so does r2d2.","yep, poor c3po, always trying to keep up with everyone.","he almost always gets himself into trouble.","especially when he was scrapped, and chewbacca tried to put him back together.","x",""
"3BKZLF990ZTL73PJM2ECVXN6XD3QYV","32SAKJ4DTR1U4RYS6XQO8F524T7VDD","Create a dialog on Star Wars movies for ten sentences","Create a dialog on Star Wars movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, star wars, creative, science fiction","$0.45","Thu Jun 22 00:38:06 PDT 2017","9","BatchId:2844893;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:38:06 PDT 2017","","","3J4Q2Z4UTZXK4ISDX31PZKXDTXDQWC","A1N4P4XGQM7NXE","Approved","Thu Jun 22 07:23:31 PDT 2017","Thu Jun 22 07:30:07 PDT 2017","Sun Jun 25 07:30:07 PDT 2017","2017-06-25 14:30:08 UTC","","","396","100% (29/29)","100% (25/25)","100% (16/16)","0","You know, I think I'm starting to come around to the star wars prequels.","You are ridiculous.","I don't even know you anymore. What changed your mind?","I think its been long enough, I just see them in a new light, you know?","Have you even seen episode 3? You are crazy.","I think I even like Jar Jar Binks more than when I first saw him.","Now I know you're going crazy.","Hes no worse than a Rob Schneider character.","Thats not saying much.","Meesa not apologzing for my tastes.","x",""
"3BKZLF990ZTL73PJM2ECVXN6XD3QYV","32SAKJ4DTR1U4RYS6XQO8F524T7VDD","Create a dialog on Star Wars movies for ten sentences","Create a dialog on Star Wars movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, star wars, creative, science fiction","$0.45","Thu Jun 22 00:38:06 PDT 2017","9","BatchId:2844893;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:38:06 PDT 2017","","","3QAPZX2QN57A49P72LI3W7Q6CRE20C","A20HZD952T4B2O","Submitted","Sat Jun 24 16:04:09 PDT 2017","Sat Jun 24 16:14:18 PDT 2017","Tue Jun 27 16:14:18 PDT 2017","","","","609","100% (24/24)","100% (24/24)","100% (23/23)","0","I love the Star Wars movies. Would you also consider yourself a fan?","Of course. Despite our favorite being a little different, neither of us can disagree on the fact that Star Wars overall is an amazing film series.","Absolutely and I love all of the movies. Do you have a favorite?","I would have to say Empire Strikes Back. I just think it was the best all around.","Empire is actually my second pick, next to Return of the Jedi.","Not a bad choice, but what makes Return of the Jedi number one in your eyes?","I think Jedi was just a great way to close the saga, we got to see the return of Anakin, and the acting was completely on par.","While I do not disagree, I just feel Empire Strikes Back gave the fans more of what they wanted. It had a little bit of everything.","I do not disagree with that one bit, but I just feel it's so popular because of the big ""Father bombshell.""","I suppose we can agree to disagree in a friendly way.","x",""
"3BKZLF990ZTL73PJM2ECVXN6XD3QYV","32SAKJ4DTR1U4RYS6XQO8F524T7VDD","Create a dialog on Star Wars movies for ten sentences","Create a dialog on Star Wars movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, star wars, creative, science fiction","$0.45","Thu Jun 22 00:38:06 PDT 2017","9","BatchId:2844893;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:38:06 PDT 2017","","","3QIYRE09Y4B60KZIKNKN20CER5UN1R","ATADQXPHL10Y8","Approved","Thu Jun 22 02:49:59 PDT 2017","Thu Jun 22 02:51:18 PDT 2017","Sun Jun 25 02:51:18 PDT 2017","2017-06-25 09:52:08 UTC","","","79","100% (431/431)","100% (261/261)","100% (213/213)","0","Do you think Harrison Ford wishes he played more roles in Star Wars","Yeah and unfortunately that was on display","You mean besides Hans Solo","No, I mean like in more than 4 films.","No I think he had quite a career after he did the first 3.","But Hans was a great character for him","He was but the tension he had with Carrie Fisher on screen was odd","I did not sense that besides the romantic feelings.","It felt like it was out of place.","Lucas didnt really write those kinds of films.","x",""
"3BKZLF990ZTL73PJM2ECVXN6XD3QYV","32SAKJ4DTR1U4RYS6XQO8F524T7VDD","Create a dialog on Star Wars movies for ten sentences","Create a dialog on Star Wars movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, star wars, creative, science fiction","$0.45","Thu Jun 22 00:38:06 PDT 2017","9","BatchId:2844893;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:38:06 PDT 2017","","","3YMU66OBIO2BU33AZ8AD43JO8SRHGK","APF1EAZT104LQ","Submitted","Sun Jun 25 14:22:55 PDT 2017","Sun Jun 25 14:27:01 PDT 2017","Wed Jun 28 14:27:01 PDT 2017","","","","246","100% (214/214)","100% (207/207)","100% (199/199)","0","Was Yoda your favorite character in The Empire Strikes Back?","Me too. That scene was very depressing.","Yes. He had a lot of depth and was quite entertaining.","That scene in the swamp was very memorable.","I loved that film cause I did not know what was gonna happen next.","Yes. Luke's journey was really cool.","What did you think of Han Solo's journey?","I thought it was good that he was being hunted.","I agree. That added a lot to the suspense.","I was sad when he got frozen.","x",""
"3ODOP6T3ASEOHD9EVK04JQLWM6R42B","32SAKJ4DTR1U4RYS6XQO8F524T7VDD","Create a dialog on Star Wars movies for ten sentences","Create a dialog on Star Wars movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, star wars, creative, science fiction","$0.45","Thu Jun 22 00:38:06 PDT 2017","9","BatchId:2844893;OriginalHitTemplateId:920937340;","7200","259200","Thu Jun 29 00:38:06 PDT 2017","","","308Q0PEVB97WBORMRKMOCYYG4NUI9W","A1BVSIP3EBSARQ","Approved","Thu Jun 22 11:14:11 PDT 2017","Thu Jun 22 11:24:26 PDT 2017","Sun Jun 25 11:24:26 PDT 2017","2017-06-25 18:25:08 UTC","","","615","100% (11/11)","100% (11/11)","100% (11/11)","0","What's your favorite Star Wars movie?","Of course. The best moment is the sunset on Tatooine, as Luke watches the twin suns go down the shadows deepen in the desert, the music swells, and you feel like you're right there on Tatooine with him.","I'd have to say ""A New Hope"". It's the first that was produced by George Lucas.","Why do you like it so much?","It's not for the acting, except for Sir Alec Guinness;  but for the whole romance of it.","Romance?! You mean between Luke and Leia?","No, no, I mean - look at it! It's set on desert planet orbiting two suns, there's atmosphere there!","What, like air?","No, I mean the kind of feeling you get when you watch ""Lawrence of Arabia"". Desert romance.","I didn't get that. Can you give me an example?","x",""
