"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence2","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"3Z33IC0JC0GYBADS0PG623TN501V9H","32SAKJ4DTR1U4RYS6XQO8F524T7VDD","Create a dialog on Star Wars movies for ten sentences","Create a dialog on Star Wars movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, star wars, creative, science fiction","$0.45","Mon Jun 26 13:00:52 PDT 2017","9","BatchId:2849344;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 13:00:52 PDT 2017","","","33F859I5677F3MVZJMIZ3SSRSJTHB5","AQXAQCJFY2ZA7","Submitted","Mon Jun 26 21:57:58 PDT 2017","Mon Jun 26 22:07:03 PDT 2017","Thu Jun 29 22:07:03 PDT 2017","","","","545","100% (61/61)","100% (49/49)","100% (48/48)","0","What do you think of Han Solo?","Oh, I dont really like that, personally!","In the old movies or in the newer ones?","What's the difference?","Well he is a lot older when he fights with Rey, he was young before","I guess I like him more in the older movies","Why do you say that?","He was funnier and cuter!","My mom thinks he is still cute! That's so funny!","I think he was sassier and more sarcastic in the older ones","x",""
"3Z33IC0JC0GYBADS0PG623TN501V9H","32SAKJ4DTR1U4RYS6XQO8F524T7VDD","Create a dialog on Star Wars movies for ten sentences","Create a dialog on Star Wars movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, star wars, creative, science fiction","$0.45","Mon Jun 26 13:00:52 PDT 2017","9","BatchId:2849344;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 13:00:52 PDT 2017","","","33LKR6A5KFE4VX42HJ6ZBZI6H18T1J","ANPTDUX6LOGYY","Submitted","Tue Jun 27 07:20:43 PDT 2017","Tue Jun 27 07:47:33 PDT 2017","Fri Jun 30 07:47:33 PDT 2017","","","","1610","100% (37/37)","100% (37/37)","100% (34/34)","0","Whats your favorite Star Wars movie character?","That sounds like a must see.","I like Darth Vader he is just so cool","Yeah he is a great villain, hes scary.","Whose your favorite character?","I like Han Solo I think hes pretty cool.","Yeah, too bad he died in the last Star Wars movie.","Yeah its a shame but I heard Disney is planing a Han Solo movie.","That would be awesome I wonder how this movie will play out.","I think its the beggining, how he became the Han Solo we all love.","x",""
"3Z33IC0JC0GYBADS0PG623TN501V9H","32SAKJ4DTR1U4RYS6XQO8F524T7VDD","Create a dialog on Star Wars movies for ten sentences","Create a dialog on Star Wars movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, star wars, creative, science fiction","$0.45","Mon Jun 26 13:00:52 PDT 2017","9","BatchId:2849344;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 13:00:52 PDT 2017","","","34QN5IT0T0LLQORWI2R46Y39YWD08U","A1XDVD860H3PX4","Submitted","Tue Jun 27 06:21:56 PDT 2017","Tue Jun 27 06:24:26 PDT 2017","Fri Jun 30 06:24:26 PDT 2017","","","","150","100% (117/117)","100% (117/117)","100% (117/117)","0","What did you think about Return of the Jedi.","I agree, they took out loads of Emperial Troops.","It was awesome.  Great capstone to the original three movies.","Yeah, good fight at the end too.","And a good introductoin to the Emporor.  I mean a proper one anyway.","Yes, he'd be very important in the prequels.","Yeah, he was a good bad guy.","One of the best parts of the movie, was the escape from Jaba.","I also like the Ewoks.  They were pretty cool.","Yeah, they were cute.  But vicous in battle.","x",""
"3Z33IC0JC0GYBADS0PG623TN501V9H","32SAKJ4DTR1U4RYS6XQO8F524T7VDD","Create a dialog on Star Wars movies for ten sentences","Create a dialog on Star Wars movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, star wars, creative, science fiction","$0.45","Mon Jun 26 13:00:52 PDT 2017","9","BatchId:2849344;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 13:00:52 PDT 2017","","","34T446B1C18N2RH9ZE798KZSOOZ0C3","ARHBT4K14I7U","Submitted","Tue Jun 27 12:15:48 PDT 2017","Tue Jun 27 12:18:17 PDT 2017","Fri Jun 30 12:18:17 PDT 2017","","","","149","100% (38/38)","100% (38/38)","100% (26/26)","0","WHich is your favorite Star Wars movie?","He was silly, clumsy, and funny","I just love Episode 1","Why","I think it bring together the original 3 and the spisodes 1, 2, and 3 so well","I just thought it was a little ovr the top","not me I loved it, also it was the first star wars in about 20 years so it was great","who was your favorite character","Jar Jar","Jar Jar why?","x",""
"3Z33IC0JC0GYBADS0PG623TN501V9H","32SAKJ4DTR1U4RYS6XQO8F524T7VDD","Create a dialog on Star Wars movies for ten sentences","Create a dialog on Star Wars movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, star wars, creative, science fiction","$0.45","Mon Jun 26 13:00:52 PDT 2017","9","BatchId:2849344;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 13:00:52 PDT 2017","","","3JBT3HLQF9W3Y1W38D67YJ1L5DLPZK","APF1EAZT104LQ","Submitted","Mon Jun 26 19:47:04 PDT 2017","Mon Jun 26 19:49:08 PDT 2017","Thu Jun 29 19:49:08 PDT 2017","","","","124","100% (355/355)","100% (348/348)","100% (306/306)","0","Were there three different directors on all Star Wars movies?","Irvin Kershner","Yes, they all had different ones","Who did the ogirinal?","George Lucas","He didn't do any of the other?","No, he went on as a producer","Who did the second one?","The Empire Strikes Back?","Yes","x",""
"3Z33IC0JC0GYBADS0PG623TN501V9H","32SAKJ4DTR1U4RYS6XQO8F524T7VDD","Create a dialog on Star Wars movies for ten sentences","Create a dialog on Star Wars movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, star wars, creative, science fiction","$0.45","Mon Jun 26 13:00:52 PDT 2017","9","BatchId:2849344;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 13:00:52 PDT 2017","","","3KWTYT0871XF02XG9X6KSYL6Z5R5LC","A3SKEW89V5S0DI","Submitted","Tue Jun 27 12:27:23 PDT 2017","Tue Jun 27 12:30:24 PDT 2017","Fri Jun 30 12:30:24 PDT 2017","","","","181","100% (31/31)","100% (31/31)","100% (31/31)","0","Who played Obi-Wan Kenobi?","That one was even better than the first movie.","That was Alec Guiness.","British actors are so much better than American ones.","I agree. Alec really gave the first movie a grounded presence.","He is a good actor.","Did he send Luke to find Yoda?","Yes, I believe he did in the second movie.","Which one was that?","That was in The Empire Strikes Back.","x",""
"3Z33IC0JC0GYBADS0PG623TN501V9H","32SAKJ4DTR1U4RYS6XQO8F524T7VDD","Create a dialog on Star Wars movies for ten sentences","Create a dialog on Star Wars movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, star wars, creative, science fiction","$0.45","Mon Jun 26 13:00:52 PDT 2017","9","BatchId:2849344;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 13:00:52 PDT 2017","","","3MB8LZR5BGNIILIJGKAQUN4OWVDLK4","A3BVPQFBYGWJWX","Submitted","Tue Jun 27 11:05:03 PDT 2017","Tue Jun 27 11:10:57 PDT 2017","Fri Jun 30 11:10:57 PDT 2017","","","","354","100% (16/16)","100% (14/14)","100% (14/14)","0","Hey, what do you think about Jar Jar?","Maybe so, but if you evaluate them individually, they work a lot better than if you compare them to the original trilogy.","As little as possible! I don't think he was quite as bad as people say, though.","Oh, did you like him?","Not really, I just think some people took their dislike a little too seriously. They overthought it.","Don't you feel that he was over the top?","Yes, but he also fit the youthful theme on the first prequel. I think each movie had it's own feel.","How So?","Episode one was childhood, Episode two was our teen years. Episode 3 was becoming an adult.","Wow, now you are overthinking things.","x",""
"3Z33IC0JC0GYBADS0PG623TN501V9H","32SAKJ4DTR1U4RYS6XQO8F524T7VDD","Create a dialog on Star Wars movies for ten sentences","Create a dialog on Star Wars movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, star wars, creative, science fiction","$0.45","Mon Jun 26 13:00:52 PDT 2017","9","BatchId:2849344;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 13:00:52 PDT 2017","","","3QRYMNZ7FZB794BRM64X86V9K3PNTZ","A15340BRCER2UO","Submitted","Tue Jun 27 09:01:04 PDT 2017","Tue Jun 27 09:02:47 PDT 2017","Fri Jun 30 09:02:47 PDT 2017","","","","103","100% (130/130)","100% (117/117)","100% (110/110)","0","Wasn't Cloud City the coolest?","Yeah, he seemed to have better aim and intelligence.","Yeah, Lando really found a cool job as a city manager there.","Yeah, and he had that one bald assistant that had those head phones.","Oh yeah I remember him. Whatever happened to him?","I don't think they showed anything in movie.","I imagine he was shot be a stormtrooper at some point.","Nah, those stormtroopers could never hit anyone with their blasters.","Ha! That's true.","Maybe it was Bobba Fett.","x",""
"3Z33IC0JC0GYBADS0PG623TN501V9H","32SAKJ4DTR1U4RYS6XQO8F524T7VDD","Create a dialog on Star Wars movies for ten sentences","Create a dialog on Star Wars movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, star wars, creative, science fiction","$0.45","Mon Jun 26 13:00:52 PDT 2017","9","BatchId:2849344;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 13:00:52 PDT 2017","","","3TXD01ZLD5B0N9GA46FBETBBCZ04U9","A240OTT1T85UGT","Submitted","Mon Jun 26 16:23:37 PDT 2017","Mon Jun 26 16:24:20 PDT 2017","Thu Jun 29 16:24:20 PDT 2017","","","","43","100% (73/73)","100% (73/73)","100% (73/73)","0","What's your favorite Star Wars character?","This just got awkward!","Yoda!","Why him?","He's green","annndd?","Idk.. I like the color green","Oh, I see...","Do i need more of a reason?","I guess not..","x",""
"31ANT7FQN8WASMGWSAMLBMXCBP85HB","32SAKJ4DTR1U4RYS6XQO8F524T7VDD","Create a dialog on Star Wars movies for ten sentences","Create a dialog on Star Wars movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, star wars, creative, science fiction","$0.45","Mon Jun 26 13:00:52 PDT 2017","9","BatchId:2849344;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 13:00:52 PDT 2017","","","33LKR6A5KFE4VX42HJ6ZBZI6H24T1H","ARHBT4K14I7U","Submitted","Tue Jun 27 12:12:53 PDT 2017","Tue Jun 27 12:15:46 PDT 2017","Fri Jun 30 12:15:46 PDT 2017","","","","173","100% (38/38)","100% (38/38)","100% (26/26)","0","Do you like the new Star Wars movies","I agree, not in a bad way just a Star Wars way","yes I do","I love the way they did the cameos of Leia, Han, and Luke","Yes I think that was a great way to honor them","Although I am not thrilled that the franchise was sold to Disney","Yes it does not really seem right to me","I hope that they will stay true to the stories","There are so many stories so there is plenty to choose from","So far they have all of the cheesyness of the originals","x",""
